config,mu,throughput_per_day,non_battery_cost_per_day
3yr,0.0001,12.820851235003142,14.160266532190986
3yr,0.001,12.80702327841066,14.160274121724646
3yr,0.01,12.670572777780068,14.161022446928445
3yr,0.1,11.41067177758668,14.228765860543394
3yr,1.0,3.5037092102721683,19.48453877494355
2018,0.0001,12.526168542512535,12.98466375789013
2018,0.001,12.512646112450835,12.984671185270273
2018,0.01,12.378932791556572,12.985405454985994
2018,0.1,11.161929298414845,13.050528608849644
2018,1.0,2.7357732707623064,18.97558332593916
2019,0.0001,12.991462640566638,14.008224133905777
2019,0.001,12.977825900533233,14.00823163848621
2019,0.01,12.843381345052913,14.008968078725951
2019,0.1,11.611828860042193,14.07516683611271
2019,1.0,3.8633655114904286,19.29457890788687
2020,0.0001,12.95305156580511,15.451346070692628
2020,0.001,12.93876386573046,15.451353893852177
2020,0.01,12.797816843067416,15.452126899895875
2020,0.1,11.467733708303829,15.524002623512125
2020,1.0,3.9020331703161224,20.168237464734247
event_1d,0.0001,12.912253331435148,14.964978187588999
event_1d,0.001,12.898729920348016,14.964985601228172
event_1d,0.01,12.765613392734217,14.96571474346664
event_1d,0.1,11.547290912709009,15.031186875374544
event_1d,1.0,3.8557572779332294,20.209704088161953
event_2d,0.0001,12.885413325858687,15.054790672953702
event_2d,0.001,12.871860910973558,15.054798118105806
event_2d,0.01,12.738319523351961,15.055529605338993
event_2d,0.1,11.516270780974477,15.121196717143699
event_2d,1.0,3.86402301421433,20.266036465216505
event_4d,1e-05,12.835083187049456,15.244563420048637
event_4d,0.0001,12.833667204446146,15.24456350436942
event_4d,0.001,12.820005419526682,15.244571023284887
event_4d,0.01,12.685319151459904,15.245308787021282
event_4d,0.1,11.452882887607876,15.311526924345998
event_4d,1.0,3.884865574574257,20.38787998479712
event_8d,1e-05,12.70909414670304,16.21685469395275
event_8d,0.0001,12.707622962052834,16.216854776191667
event_8d,0.001,12.694041238276899,16.216862232662322
event_8d,0.01,12.560341732522891,16.217594518010014
event_8d,0.1,11.348759909288276,16.28253278674903
event_8d,1.0,3.921426355332516,21.250718689969574
