BUS_I,VCLASS
1001,HV
1002,HV
1003,MV
1004,HV
1032,LV
1034,LV
1101,HV
1102,HV
1131,LV
1201,HV
1202,HV
1232,LV
1301,HV
1302,HV
1303,HV
1331,LV
1333,LV
1401,HV
1402,HV
1403,MV
1431,LV
2000,MV
2030,LV
2100,MV
2130,LV
2201,HV
2202,MV
2203,MV
2233,LV
2301,HV
2302,MV
2332,LV
2400,HV
2401,HV
2402,HV
2403,HV
2404,HV
2405,MV
2406,MV
2407,MV
2408,MV
2409,MV
2410,MV
2411,MV
2431,LV
2434,LV
2438,LV
2439,LV
2501,HV
2502,MV
2503,MV
2533,LV
2600,HV
2601,HV
2602,HV
2603,HV
2604,HV
2605,HV
2606,HV
2607,HV
2608,MV
2609,MV
2610,MV
2611,MV
2612,MV
2613,MV
2614,MV
2615,MV
2616,MV
2617,MV
2618,MV
2619,MV
2620,MV
2621,MV
2630,LV
2631,LV
2634,LV
2637,LV
2638,LV
2901,HV
2902,HV
3101,MV
3102,MV
3103,MV
3104,MV
3105,MV
3133,LV
3135,LV
3201,MV
3202,MV
3203,MV
3204,MV
3205,MV
3234,LV
3301,HV
3302,MV
3303,MV
3304,MV
3305,MV
3333,LV
3401,MV
3402,MV
3403,MV
3404,MV
3405,MV
3432,LV
3433,LV
3501,MV
3531,LV
3601,MV
3631,LV
3701,MV
3731,LV
3801,HV
3802,HV
3803,HV
3804,MV
3805,MV
3806,MV
3831,LV
3835,LV
3836,LV
3891,HV
3892,HV
3893,HV
3894,HV
3895,HV
3896,HV
3897,HV
3901,HV
3902,HV
3903,HV
3904,HV
3905,HV
3906,HV
3907,MV
3908,MV
3909,MV
3910,MV
3911,MV
3912,MV
3913,MV
3914,MV
3915,MV
3916,MV
3917,MV
3918,MV
3919,MV
3920,MV
3921,MV
3922,MV
3923,MV
3924,MV
3925,MV
3926,MV
3931,LV
3932,LV
3933,LV
4001,HV
4002,HV
4003,HV
4004,HV
4005,HV
4006,HV
4007,HV
4008,HV
4009,MV
4010,MV
4031,LV
4035,LV
4039,LV
4090,HV
4091,HV
4092,HV
4093,HV
4094,HV
4095,HV
4096,HV
4097,HV
4101,HV
4102,HV
4103,HV
4104,MV
4131,LV
4132,LV
4201,HV
4202,HV
4203,HV
4204,HV
4231,LV
4232,LV
5001,HV
5002,HV
5003,MV
5004,MV
5031,LV
5032,LV
6101,HV
6102,HV
6103,HV
6104,MV
6132,LV
6201,HV
6202,HV
6203,MV
6204,MV
6205,MV
6231,LV
6235,LV
6301,HV
6302,HV
6303,MV
6304,MV
6305,MV
6333,LV
6335,LV
6401,HV
6402,MV
6403,HV
6404,HV
6433,LV
6501,HV
6502,HV
6503,HV
6504,HV
6505,HV
6506,HV
6507,HV
6508,HV
6509,HV
6510,MV
6533,LV
7001,HV
7002,HV
7031,LV
7032,LV
8001,HV
8002,HV
8003,MV
8004,MV
8005,MV
8033,LV
8034,LV
