GEOHASH,BUS_I,LAT,LON,NAME,GEN,LOAD
9r1867,3919,39.435556,-121.538056,PALERMO,,1.0
9qcts0,3920,38.93608,-121.463992,RIO_OSO,,1.0
9r321k,3921,40.808138,-121.936762,ROUND_MT,,1.0
9r13pb,3922,39.55548,-121.645379,TABLE_MT,,1.0
9q9w99,3923,37.71247,-121.565283,TESLA,1.0,1.0
9qc63x,3924,38.40437,-121.918134,VACA-DIX,1.0,1.0
9r1jcf,3925,40.397712,-122.265115,COTWDPGE,,0.0
9qcts0,3926,38.93608,-121.463992,RIO_OSO,,1.0
9r321k,3931,40.808138,-121.936762,ROUND_MT,2.0,
9q92vz,3932,36.737604,-121.732796,MOSSLAND,1.0,
9q9w99,3933,37.71247,-121.565283,TESLA,6.0,
9r3wzq,4001,42.004704,-121.318052,MALIN,,0.0
9r9uxw,4002,43.016085,-120.953695,SUMMER_L,,1.0
9rg8bx,4003,43.767338,-118.797842,BURNS,,0.0
9rcvn1,4004,44.481129,-121.01542,GRIZZLY,,1.0
c245ue,4005,45.677819,-120.733553,JOHN_DAY,,1.0
c21g7y,4006,45.60664,-121.115583,BIG_EDDY,,0.0
c21g7u,4007,45.594757,-121.113585,CELILOCA,,0.0
9r3wzq,4008,42.004704,-121.318052,MALIN,,1.0
c21g7y,4009,45.60664,-121.115583,BIG_EDDY,,1.0
c21g7u,4010,45.594757,-121.113585,CELILO,,0.0
9r3wzq,4031,42.004704,-121.318052,MALIN,4.0,
c245ue,4035,45.677819,-120.733553,JOHN_DAY,4.0,
c21g7y,4039,45.60664,-121.115583,DALLES21,3.0,
9r3wzq,4090,42.004704,-121.318052,MALIN1,,0.0
9rcvn1,4091,44.481129,-121.01542,GRIZZLY1,,0.0
9rcvn1,4092,44.481129,-121.01542,GRIZZLY2,,0.0
9rcvn1,4093,44.481129,-121.01542,GRIZZLY3,,0.0
9rcvn1,4094,44.481129,-121.01542,GRIZZLY4,,0.0
9rcvn1,4095,44.481129,-121.01542,GRIZZLY5,,0.0
9rcvn1,4096,44.481129,-121.01542,GRIZZLY6,,0.0
9rcvn1,4097,44.481129,-121.01542,GRIZZLY7,,0.0
c2e2u0,4101,47.947893,-118.996055,COULEE,,1.0
c26crp,4102,46.669392,-119.573343,HANFORD,,1.0
c2kx95,4103,47.746353,-117.373738,BELL,,1.0
