name,bus,gen,cap,cf,units
2081 Terzian Solar Project,9qd9xh,PV,1.2,0.0,1
2097 Helton Solar Project,9q9fy1,PV,1.5,0.0,1
2127 Harris Solar Project,9qct8r,PV,1.3,0.0,1
251 Wind,9q713t,WT,0.095,0.0,1
251 Wind,9q713t,WT,0.095,0.0,1
251 Wind,9q713t,WT,0.095,0.0,1
ABIQUIU_DAM,9we1bp,HT,15.6,0.006,1
AES_ALAMITOS_LLC,9q5bwz,CT,961.0,0.141,1
AES_ALAMITOS_LLC,9q5bwz,ST,961.0,0.141,1
AES_HUNTINGTON_BEACH_LLC,9mupsy,CT,218.0,0.164,1
AES_HUNTINGTON_BEACH_LLC,9mupsy,ST,218.0,0.164,1
AES_REDONDO_BEACH_LLC,9q5bwz,ST,1316.4,0.193,1
AFA Solar Farm,9wve62,PV,5.2,0.0,1
AFTON_GENERATING_STATION,9w1zzg,CC,287.0,0.061,1
AGNEWS_POWER_PLANT,9q9m24,CC,32.0,0.04,1
AGUA_FRIA,9w01f3,CT,306.8,0.034,1
AGUA_FRIA,9w01f3,ST,306.8,0.034,1
AGUA_MANSA_POWER_PLANT,9qh3ky,CT,60.5,0.089,1
AIDLIN_GEOTHERMAL_POWER_PLANT,9qben2,ST,25.0,0.014,1
AIRPORT_INDUSTRIAL,9wve62,ST,10.0,0.001,1
ALAMEDA,9q8yyz,CT,54.8,0.125,1
ALAMO,9q5sgb,HT,19.6,0.008,1
ALAMOSA,9wve62,CT,53.2,0.003,1
ALBENI_FALLS,c2kx95,HT,42.0,0.008,1
ALCOVA,9xkgmv,HT,41.4,0.004,1
ALDER,c237sz,HT,50.0,0.007,1
ALGONQUIN_POWER_SANGER_LLC,9qdbm8,CC,61.5,0.032,1
ALMOND_POWER_PLANT,9qcbq0,CT,223.5,0.131,1
AMALGAMATED_SUGAR_TWIN_FALLS,9rwgcr,ST,10.2,0.006,1
AMERESCO_OX_MOUNTAIN,9q9jb9,CT,11.4,1.0,1
AMERICAN_FALLS,9rx7st,HT,92.4,0.101,1
AMPERSAND_CHOWCHILLA_BIOMASS_LLC,9qd9xh,ST,12.5,0.006,1
ANDERSON_RANCH,9rwgcr,HT,40.0,0.022,1
"AP North Lake I, LP",9qj152,PV,20.0,0.0,1
APACHE_STATION,9w1wf0,CT,330.4,0.171,1
APACHE_STATION,9w1wf0,ST,330.4,0.171,1
ARAPAHOE_COMBUSTION_TURBINE_PROJECT,9wve62,CC,194.0,0.013,1
ARGUS_COGEN_PLANT,9q5zqv,ST,62.5,0.144,1
ARLINGTON_VALLEY_ENERGY_FACILITY,9mzqxj,CC,713.0,0.062,1
ARROWROCK_HYDROELECTRIC_PROJECT,9rwgcr,HT,15.0,0.008,1
ARVADA,c8h5zm,CT,22.5,0.004,1
AV Solar Ranch One,9q5fm0,PV,241.5,0.0,1
AVS Lancaster 1,9q5fm0,PV,3.7,0.0,1
A_G_WISHON,9qd9xh,HT,12.8,0.006,1
"Adams Community Solar Garden III, LLC",9wve62,PV,1.2,0.0,1
"Adams Community Solar Garden, LLC",9wve62,PV,1.2,0.0,1
Adams Nielson Solar,c26crp,PV,19.2,0.0,1
Adams Solar Center,9rcvn1,PV,10.0,0.0,1
"Adelanto Solar II, LLC",9mupsy,PV,7.0,0.0,1
Adelanto Solar Project,9mupsy,PV,10.0,0.0,1
"Adelanto Solar, LLC",9mupsy,PV,20.0,0.0,1
Adera Solar,9qd9xh,PV,20.0,0.0,1
Adobe Solar,9q713t,PV,19.57,0.0,1
Aerojet I,9qcem3,PV,3.0,0.0,1
Aerojet II,9qcem3,PV,2.7,0.0,1
Agua Caliente Solar Project,9mvgw4,PV,290.0,0.0,1
Air Force (Laramie),9xkgmv,WT,2.0,0.0,1
Airport 1 Solar (DIA),9wve62,PV,1.5,0.0,1
Airport Solar,9r3wzq,PV,47.3,0.0,1
Alamo Solar,9mupsy,PV,18.7,0.0,1
Alamogordo Solar Energy Center,9w1zzg,PV,4.9,0.0,1
Alamosa Solar South (CSG),9wve62,PV,1.6,0.0,1
Albuquerque Solar Energy Center,9we1bp,PV,2.0,0.0,1
Alcalde Solar Array,9we1bp,PV,2.4,0.0,1
"Alden Solar (CSG), LLC",9xkgmv,PV,1.6,0.0,1
"Algonquin SKIC 10 Solar, LLC",9q713t,PV,10.0,0.0,1
"Algonquin SKIC 20 Solar, LLC",9q713t,PV,22.0,0.0,1
Alite Wind Farm,9q713t,WT,3.0,0.0,1
Alite Wind Farm,9q713t,WT,3.0,0.0,1
Alite Wind Farm,9q713t,WT,3.0,0.0,1
Alite Wind Farm,9q713t,WT,3.0,0.0,1
Alite Wind Farm,9q713t,WT,3.0,0.0,1
Alite Wind Farm,9q713t,WT,3.0,0.0,1
Alite Wind Farm,9q713t,WT,3.0,0.0,1
Alite Wind Farm,9q713t,WT,3.0,0.0,1
"Alkali Solar, LLC",9r3wzq,PV,10.0,0.0,1
Almond,9qdbm8,PV,19.9,0.0,1
Alpaugh 50,9qdbm8,PV,50.0,0.0,1
Alpaugh North,9qdbm8,PV,20.0,0.0,1
Alpine Solar,9q5fm0,PV,66.0,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta I,9q713t,WT,1.5,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta II,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta III,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta IV,9q713t,WT,3.0,0.0,1
Alta Luna,9w1zzg,PV,28.1,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta V,9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
