bus,gen,cap,cf,units
9mudw2,HT,42.0,0.03,1
9mvgw4,HT,62.6,0.015,3
9q5epx,HT,11.0,0.143,1
9q5evq,HT,111.3,1.0,2
9q5sgb,HT,1775.8,0.694,3
9q5zqv,HT,51.9,0.119,2
9q713t,HT,26.4,0.002,1
9q9fy1,HT,449.2,0.382,2
9qc63x,HT,11.5,0.009,1
9qcbq0,HT,1028.1,0.6,9
9qcf5u,HT,244.7,0.315,6
9qcggm,HT,1136.3,0.996,14
9qcxqg,HT,650.7,0.959,11
9qd9xh,HT,649.7,0.32,7
9qdbm8,HT,165.0,0.085,1
9qe6tq,HT,1784.7,0.965,13
9qh3ky,HT,23.9,0.035,1
9qh8k2,HT,29.7,0.027,1
9qhe90,HT,308.9,1.0,2
9qndpr,HT,139.5,0.052,2
9qq5wv,HT,254.8,0.389,1
9qqk6u,HT,1039.4,0.287,1
9r0vxp,HT,1305.4,0.878,5
9r13pb,HT,928.2,0.995,12
9r1867,HT,696.0,0.999,3
9r1jcf,HT,12.1,0.047,1
9r321k,HT,801.8,0.928,10
9r4bc7,HT,99.4,0.219,3
9r88yx,HT,411.0,0.788,12
9rb6wg,HT,485.4,0.593,12
9rcvn1,HT,616.2,0.842,4
9rg8bx,HT,1266.7,0.664,4
9rkf69,HT,25.0,0.198,1
9rwgcr,HT,558.1,0.312,13
9rx7st,HT,143.5,0.156,3
9w01f3,HT,282.0,0.03,5
9w1zzg,HT,27.9,0.006,1
9w94m0,HT,1312.0,1.0,1
9we1bp,HT,344.6,0.123,6
9wve62,HT,526.6,0.034,3
9x27ep,HT,107.5,0.87,4
9x3mfn,HT,186.4,0.118,2
9x47er,HT,151.8,0.218,1
9x5w98,HT,40.4,0.013,2
9x6z6m,HT,33.0,0.013,2
9xkgmv,HT,411.5,0.041,8
c21g7u,HT,141.8,1.001,5
c21g7y,HT,3017.2,0.666,4
c237sz,HT,1478.2,0.216,19
c245ue,HT,2160.0,0.39,1
c26crp,HT,6421.0,0.532,10
c2967d,HT,1196.3,0.867,8
c2e2u0,HT,10217.2,0.995,6
c2kx95,HT,3792.5,0.681,15
c2r8x7,HT,635.6,0.649,2
c2u6xt,HT,1246.7,1.0,3
c82vu4,HT,390.1,0.334,10
c8h5zm,HT,448.5,0.075,2
