I,ID,PG,QG,QT,QB,VS,IREG,MBASE,ZR,ZX,RT,XT,GTAP,STAT,RMPCT,PT,PB,O1,F1,O2,F2,O3,F3,O4,F4,WMOD,WPF,NREG,gen
1032,C,712.0,-3.332,200.0,-200.0,1.014,1002,873.0,0.0,0.2,0.0,0.0,1.0,1,100.0,873.0,0.0,1,1.0,,,,,,,,,,Steam
1034,C,1847.0,262.628,500.0,-500.0,1.03,1004,2100.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1944.0,0.0,1,1.0,,,,,,,,,,Steam
1131,C,530.0,-46.791,308.0,-308.0,1.01,1101,1268.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1268.0,0.0,1,1.0,,,,,,,,,,Steam
1232,C,2728.0,0.604,1208.0,-1208.0,1.08,1202,4977.0,0.0,0.2,0.0,0.0,1.0,1,100.0,4977.0,0.0,1,1.0,,,,,,,,,,Steam
1333,C,218.0,217.32,303.0,-303.0,1.005,1303,418.0,0.0,0.2,0.0,0.0,1.0,1,100.0,418.0,0.0,1,1.0,,,,,,,,,,Steam
2030,E,605.0,142.477,350.0,-350.0,1.0,2000,699.0,0.0,0.2,0.0,0.0,1.0,1,100.0,699.0,0.0,1,1.0,,,,,,,,,,Steam
2130,E,573.0,28.722,254.0,-254.0,1.035,2100,831.0,0.0,0.2,0.0,0.0,1.0,1,100.0,831.0,0.0,1,1.0,,,,,,,,,,Steam
2634,C,1537.0,-18.88,950.0,-950.0,1.03,2604,1900.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1618.0,0.0,1,1.0,,,,,,,,,,Steam
4035,C,173.7,-122.614,255.0,-255.0,1.08,4005,642.0,0.0,0.2,0.0,0.0,1.0,1,100.0,642.0,0.0,1,1.0,,,,,,,,,,Steam
4231,C,999.0,485.229,728.0,-728.0,1.12,4201,1460.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1460.0,0.0,1,1.0,,,,,,,,,,Steam
5032,C,3646.8,410.28,2977.0,-2977.0,1.055,5002,13039.0,0.0,0.2,0.0,0.0,1.0,1,100.0,13039.0,0.0,1,1.0,,,,,,,,,,Steam
6231,C,705.15,-104.087,1256.0,-1256.0,1.06,6201,2488.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2488.0,0.0,1,1.0,,,,,,,,,,Steam
6333,C,2837.7,330.576,1671.0,-1671.0,1.03,6303,4594.0,0.0,0.2,0.0,0.0,1.0,1,100.0,4594.0,0.0,1,1.0,,,,,,,,,,Steam
6335,C,2274.3,260.575,968.0,-968.0,1.06,6305,3000.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2660.0,0.0,1,1.0,,,,,,,,,,Steam
6433,C,194.0,74.552,283.0,-283.0,1.11,6403,391.0,0.0,0.2,0.0,0.0,1.0,1,100.0,391.0,0.0,1,1.0,,,,,,,,,,Steam
6433,E,372.0,59.0,59.0,-59.0,1.11,6403,751.0,0.0,0.2,0.0,0.0,1.0,1,100.0,751.0,0.0,1,1.0,,,,,,,,,,Steam
6533,C,1318.501,78.734,1924.0,-1924.0,1.065,6503,3276.0,0.0,0.2,0.0,0.0,1.0,1,100.0,3276.0,0.0,1,1.0,,,,,,,,,,Steam
7031,C,1105.199,380.609,1419.0,-1419.0,1.02,7001,3127.0,0.0,0.2,0.0,0.0,1.0,1,100.0,3127.0,0.0,1,1.0,,,,,,,,,,Steam
7032,C,1057.5,22.012,826.0,-826.0,1.015,7002,1821.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1821.0,0.0,1,1.0,,,,,,,,,,Steam
