I,ID,PG,QG,QT,QB,VS,IREG,MBASE,ZR,ZX,RT,XT,GTAP,STAT,RMPCT,PT,PB,O1,F1,O2,F2,O3,F3,O4,F4,WMOD,WPF,NREG,gen
3531,CE,783.0,30.853,1004.0,-599.0,1.0,3501,1424.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1424.0,0.0,1,1.0,,,,,,,,,,Geothermal
3531,NE,293.0,30.853,253.0,-181.0,1.0,3501,533.0,0.0,0.2,0.0,0.0,1.0,1,100.0,533.0,0.0,1,1.0,,,,,,,,,,Geothermal
