id,model,startup,shutdown,cost
FCNGN4CC_C,2,0,0,"0,80,0"
FCNGN4CC_G,2,0,0,"0,50,0"
FCNGN4CC_S,2,0,0,"0,50,0"
SJUAN G4_C,2,0,0,"0,80,0"
SJUAN G4_G,2,0,0,"0,50,0"
SJUAN G4_W,2,0,0,"0,0,0"
CORONADO_C,2,0,0,"0,80,0"
CORONADO_G,2,0,0,"0,50,0"
NAVAJO 2_C,2,0,0,"0,80,0"
NAVAJO 2_H,2,0,0,"0,10,0"
HOOVER_G,2,0,0,"0,50,0"
HOOVER_H,2,0,0,"0,10,0"
H ALLEN_C,2,0,0,"0,80,0"
H ALLEN_G,2,0,0,"0,50,0"
H ALLEN_S,2,0,0,"0,50,0"
PALOVRD2_G,2,0,0,"0,50,0"
PALOVRD2_N,2,0,0,"0,10,0"
PALOVRD2_S,2,0,0,"0,50,0"
MEXICO_E,2,0,0,"0,0,0"
MEXICO_G,2,0,0,"0,50,0"
IMPERIAL_E,2,0,0,"0,0,0"
IMPERIAL_G,2,0,0,"0,50,0"
IMPERIAL_H,2,0,0,"0,10,0"
IMPERIAL_S,2,0,0,"0,50,0"
MISSION_DG,2,0,0,"0,0,0"
MISSION_EG,2,0,0,"0,0,0"
MISSION_TG,2,0,0,"0,50,0"
IMPRLVLY_S,2,0,0,"0,50,0"
LUGO_S,2,0,0,"0,50,0"
VINCENT_S,2,0,0,"0,50,0"
MESA CAL_EG,2,0,0,"0,0,0"
MESA CAL_ND,2,0,0,"0,10,0"
MESA CAL_RG,2,0,0,"0,0,0"
MESA CAL_S,2,0,0,"0,50,0"
MESA CAL_SG,2,0,0,"0,50,0"
MESA CAL_SH,2,0,0,"0,50,0"
MESA CAL_SW,2,0,0,"0,50,0"
MESA CAL_WG,2,0,0,"0,0,0"
MIRALOMA_S,2,0,0,"0,50,0"
S.ONOFRE_S,2,0,0,"0,50,0"
HAYNES3G_G,2,0,0,"0,50,0"
OLIVE_S,2,0,0,"0,50,0"
INTERM1G_C,2,0,0,"0,80,0"
OWENS G_H,2,0,0,"0,10,0"
CASTAI4G_H,2,0,0,"0,10,0"
SANMATEO_NG,2,0,0,"0,25,0"
SANMATEO_SC,2,0,0,"0,50,0"
POTRERO_MG,2,0,0,"0,0,0"
POTRERO_NG,2,0,0,"0,25,0"
PITSBURG_DG,2,0,0,"0,0,0"
PITSBURG_MG,2,0,0,"0,0,0"
PITSBURG_NG,2,0,0,"0,25,0"
PITSBURG_NW,2,0,0,"0,10,0"
METCALF_CG,2,0,0,"0,80,0"
METCALF_NG,2,0,0,"0,25,0"
HELMS PP_NP,2,0,0,"0,10,0"
MC CALL_NG,2,0,0,"0,25,0"
MC CALL_S,2,0,0,"0,50,0"
FULTON_CE,2,0,0,"0,80,0"
FULTON_NE,2,0,0,"0,10,0"
FULTON_NH,2,0,0,"0,10,0"
HUMBOLDT_NB,2,0,0,"0,10,0"
HUMBOLDT_NG,2,0,0,"0,25,0"
SUMMIT_NH,2,0,0,"0,10,0"
DIABLO1_NN,2,0,0,"0,10,0"
MIDWAY_ND,2,0,0,"0,10,0"
MIDWAY_NG,2,0,0,"0,25,0"
MIDWAY_S,2,0,0,"0,50,0"
MORROBAY_DG,2,0,0,"0,0,0"
ROUND MT_NB,2,0,0,"0,10,0"
ROUND MT_NH,2,0,0,"0,10,0"
MOSSLAND_S,2,0,0,"0,50,0"
TESLA_CG,2,0,0,"0,80,0"
TESLA_NB,2,0,0,"0,10,0"
TESLA_ND,2,0,0,"0,10,0"
TESLA_NG,2,0,0,"0,25,0"
TESLA_NH,2,0,0,"0,10,0"
TESLA_NW,2,0,0,"0,10,0"
TESLA_S,2,0,0,"0,50,0"
MALIN_G,2,0,0,"0,50,0"
MALIN_H,2,0,0,"0,10,0"
MALIN_S,2,0,0,"0,50,0"
MALIN_W,2,0,0,"0,0,0"
JOHN DAY_C,2,0,0,"0,80,0"
JOHN DAY_G,2,0,0,"0,50,0"
JOHN DAY_H,2,0,0,"0,10,0"
JOHN DAY_W,2,0,0,"0,0,0"
