bus,gen,cap,cf,units
9mudw2,WT,182.95,0.0,83
9mupsy,WT,9.45,0.0,7
9mvgw4,WT,264.18,0.0,112
9q5fm0,WT,3.475,0.0,5
9q713t,WT,3353.151,0.0,1764
9q8yyz,WT,0.225,0.0,1
9q92vz,WT,16.29,0.0,8
9q9fy1,WT,17.01,0.0,162
9q9m24,WT,225.785,0.0,328
9q9wtp,WT,3.5,0.0,3
9qc0p1,WT,113.9,0.0,71
9qc63x,WT,1097.15,0.0,528
9qj152,WT,655.63,0.0,650
9qndpr,WT,359.6,0.0,131
9r1jcf,WT,102.7,0.0,45
9rb6wg,WT,0.25,0.0,1
9rg8bx,WT,153.65,0.0,92
9rpbwn,WT,240.3,0.0,125
9rwgcr,WT,431.0,0.0,230
9rx7st,WT,701.3,0.0,358
9w1wf0,WT,176.1,0.0,80
9w1zzg,WT,150.2,0.0,62
9w3h8n,WT,699.16,0.0,213
9wbmjr,WT,217.0,0.0,106
9wdb95,WT,102.4,0.0,64
9we1bp,WT,1744.375,0.0,670
9wve62,WT,4044.755,0.0,2034
9x0gc5,WT,19.785,0.0,11
9x0ryy,WT,3.29,0.0,2
9x3mfn,WT,284.7,0.0,147
9x5w98,WT,1037.07,0.0,357
9xkgmv,WT,3723.59,0.0,1956
c21g7y,WT,1256.5,0.0,601
c237sz,WT,142.8,0.0,42
c245ue,WT,2870.5,0.0,1345
c26crp,WT,1966.41,0.0,1327
c2kx95,WT,1104.5,0.0,527
c82vu4,WT,770.75,0.0,501
c8h5zm,WT,1094.29,0.0,424
