bus,gen,cap,cf,units
9muccv,CT,634.4,0.316,7
9mudw2,CT,246.1,0.173,5
9mumuf,CT,617.8,0.553,2
9mupsy,CT,287.8,0.217,3
9mvffm,CT,24.9,0.041,1
9mvgw4,CT,333.5,0.082,2
9q5bwz,CT,2178.8,0.319,11
9q5cts,CT,292.0,0.176,1
9q5cw0,CT,11.8,0.083,1
9q5dy2,CT,209.8,0.113,5
9q5epx,CT,65.8,0.856,2
9q5f6t,CT,290.7,0.246,2
9q5fm0,CT,100.3,0.056,1
9q5fq8,CT,132.8,0.477,1
9q5zqv,CT,48.2,0.111,1
9q613c,CT,38.9,0.044,1
9q6tde,CT,111.6,1.0,2
9q713t,CT,1611.1,0.141,23
9q8yyz,CT,54.8,0.125,1
9q92vz,CT,47.3,0.023,1
9q97v8,CT,135.0,0.15,1
9q9fy1,CT,73.8,0.062,2
9q9jb9,CT,11.4,1.0,1
9q9m24,CT,64.6,0.081,1
9q9w99,CT,199.6,0.373,1
9q9wtp,CT,220.5,0.384,3
9qc0p1,CT,51.0,0.122,1
9qc26h,CT,922.0,0.292,3
9qc63x,CT,201.5,0.15,4
9qcbq0,CT,361.0,0.212,3
9qcem3,CT,236.5,0.267,3
9qct8r,CT,143.3,0.177,3
9qd2ds,CT,682.2,0.982,4
9qd9xh,CT,41.3,0.02,1
9qdbm8,CT,213.2,0.11,2
9qh0rw,CT,259.5,1.001,3
9qh18k,CT,568.7,0.988,4
9qh3ky,CT,492.8,0.725,8
9qh8k2,CT,44.0,0.04,2
9qj152,CT,1058.5,0.225,4
9qndpr,CT,121.0,0.045,1
9qw0kp,CT,80.0,0.362,1
9r0vxp,CT,91.5,0.061,1
9r3wzq,CT,117.6,0.145,1
9rb6wg,CT,13.1,0.016,1
9rwgcr,CT,443.7,0.249,2
9rx7st,CT,15.9,0.017,1
9w01f3,CT,2962.4,0.326,10
9w1wf0,CT,330.4,0.171,1
9w1zzg,CT,460.2,0.099,3
9wdb95,CT,122.1,0.032,2
9we1bp,CT,157.4,0.056,2
9wve62,CT,2599.4,0.169,13
9x0gc5,CT,16.5,0.012,1
9x0mgn,CT,48.0,0.033,1
9x0ryy,CT,564.8,0.661,7
9x27ep,CT,8.0,0.065,1
9x3mfn,CT,144.0,0.091,1
9x47er,CT,26.6,0.038,1
9x6z6m,CT,11.5,0.004,1
9xkgmv,CT,1737.0,0.17,7
c237sz,CT,505.7,0.074,3
c245ue,CT,49.3,0.009,2
c2967d,CT,69.9,0.051,1
c2c10y,CT,169.2,0.224,1
c2e2u0,CT,28.9,0.003,1
c2kx95,CT,254.2,0.046,3
c2r8x7,CT,203.1,0.207,1
c8h5zm,CT,430.5,0.073,10
