bus,gen,cap,cf,units
9mudw2,ST,3.3,0.002,1
9mumuf,ST,499.8,0.447,1
9mupsy,ST,240.3,0.181,3
9mvffm,ST,326.8,0.535,6
9mvgw4,ST,1008.8,0.248,15
9mzqxj,ST,4209.6,0.365,1
9pr8ne,ST,116.0,0.576,2
9q5bwz,ST,3047.0,0.447,6
9q5cts,ST,325.0,0.196,2
9q5dy2,ST,1612.0,0.864,1
9q5f6t,ST,230.2,0.195,1
9q5fm0,ST,100.3,0.056,1
9q5zqv,ST,334.7,0.77,4
9q603v,ST,2323.0,1.0,1
9q713t,ST,62.0,0.006,1
9q8yyz,ST,301.3,0.689,2
9q92vz,ST,699.0,0.345,1
9q9m24,ST,5.5,0.007,1
9q9peh,ST,82.2,0.229,2
9q9wtp,ST,54.0,0.094,1
9qben2,ST,1772.4,0.994,6
9qc0p1,ST,50.0,0.119,1
9qcbq0,ST,96.2,0.057,2
9qcjcp,ST,28.6,1.0,1
9qct8r,ST,28.0,0.035,1
9qcts0,ST,47.1,0.223,2
9qcxqg,ST,27.5,0.041,1
9qd2ds,ST,12.5,0.018,1
9qd9xh,ST,12.5,0.006,1
9qdbm8,ST,28.0,0.014,1
9qe6tq,ST,55.0,0.029,3
9qh18k,ST,7.0,0.012,1
9qh8k2,ST,522.4,0.467,2
9qhsdk,ST,464.0,0.353,3
9qj152,ST,55.5,0.012,1
9qq5wv,ST,399.8,0.611,3
9qw0kp,ST,17.7,0.08,2
9r1jcf,ST,85.1,0.33,2
9r321k,ST,64.0,0.074,3
9r4bc7,ST,51.2,0.113,2
9r88yx,ST,91.5,0.176,2
9rb6wg,ST,143.1,0.176,4
9rg8bx,ST,33.0,0.017,1
9rpbwn,ST,820.0,0.41,1
9rwgcr,ST,10.2,0.006,1
9rx7st,ST,18.0,0.02,1
9w01f3,ST,1438.6,0.158,6
9w1wf0,ST,1223.6,0.634,4
9w1zzg,ST,2787.2,0.597,3
9wbmjr,ST,1661.0,0.558,4
9wdb95,ST,3484.2,0.903,2
9we1bp,ST,161.4,0.057,2
9wve62,ST,3459.5,0.226,13
9x0gc5,ST,1102.4,0.805,3
9x0ryy,ST,265.8,0.311,3
9x27ep,ST,8.0,0.065,1
9x3mfn,ST,903.0,0.573,3
9x47er,ST,499.5,0.717,1
9x5w98,ST,1905.6,0.618,3
9x6z6m,ST,2441.9,0.951,1
9xkgmv,ST,3062.0,0.301,4
c21g7y,ST,10.0,0.002,1
c237sz,ST,932.8,0.136,6
c26crp,ST,1200.0,0.099,1
c2967d,ST,43.0,0.031,2
c2e2u0,ST,28.9,0.003,1
c2kx95,ST,113.8,0.02,1
c8h5zm,ST,3879.5,0.649,11
