I,ID,PG,QG,QT,QB,VS,IREG,MBASE,ZR,ZX,RT,XT,GTAP,STAT,RMPCT,PT,PB,O1,F1,O2,F2,O3,F3,O4,F4,WMOD,WPF,NREG,gen
1032,G,856.0,-3.332,357.0,-357.0,1.014,1002,1050.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1050.0,0.0,1,1.0,,,,,,,,,,Gas
1034,G,2565.0,262.628,918.0,-918.0,1.03,1004,2900.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2700.0,0.0,1,1.0,,,,,,,,,,Gas
1131,G,2064.0,-46.791,1916.0,-1916.0,1.01,1101,4934.0,0.0,0.2,0.0,0.0,1.0,1,100.0,4934.0,0.0,1,1.0,,,,,,,,,,Gas
1331,G,1986.0,24.69,841.0,-841.0,1.045,1301,2167.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2167.0,0.0,1,1.0,,,,,,,,,,Gas
1333,G,3662.0,217.32,2746.0,-2746.0,1.005,1303,7011.0,0.0,0.2,0.0,0.0,1.0,1,100.0,7011.0,0.0,1,1.0,,,,,,,,,,Gas
1431,G,5129.0,409.166,3559.0,-3559.0,1.035,1401,9170.0,0.0,0.2,0.0,0.0,1.0,1,100.0,9170.0,0.0,1,1.0,,,,,,,,,,Gas
2030,G,1853.0,142.477,1070.0,-1070.0,1.0,2000,2140.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2140.0,0.0,1,1.0,,,,,,,,,,Gas
2130,G,404.0,28.722,200.0,-200.0,1.035,2100,586.0,0.0,0.2,0.0,0.0,1.0,1,100.0,586.0,0.0,1,1.0,,,,,,,,,,Gas
2233,DG,285.0,125.466,304.0,-118.0,1.005,2203,1035.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1035.0,0.0,1,1.0,,,,,,,,,,Gas
2233,EG,506.0,125.466,611.0,-181.0,1.005,2203,1837.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1837.0,0.0,1,1.0,,,,,,,,,,Gas
2233,TG,202.0,125.466,206.0,-155.0,1.005,2203,733.0,0.0,0.2,0.0,0.0,1.0,1,100.0,733.0,0.0,1,1.0,,,,,,,,,,Gas
2438,EG,503.0,32.102,728.0,-454.0,1.009,2408,2292.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2292.0,0.0,1,1.0,,,,,,,,,,Gas
2438,RG,1195.999,32.102,1902.0,-1168.0,1.009,2408,5451.0,0.0,0.2,0.0,0.0,1.0,1,100.0,5451.0,0.0,1,1.0,,,,,,,,,,Gas
2438,SG,901.0,32.102,2301.0,-1053.0,1.009,2408,4110.0,0.0,0.2,0.0,0.0,1.0,1,100.0,4110.0,0.0,1,1.0,,,,,,,,,,Gas
2438,WG,1276.0,32.102,1910.0,-1150.0,1.009,2408,5817.0,0.0,0.2,0.0,0.0,1.0,1,100.0,5817.0,0.0,1,1.0,,,,,,,,,,Gas
2630,G,2282.0,184.814,1346.0,-1346.0,1.004,2610,3947.0,0.0,0.2,0.0,0.0,1.0,1,100.0,3947.0,0.0,1,1.0,,,,,,,,,,Gas
3133,NG,31.0,-12.551,42.0,-29.0,0.99272,3103,80.0,0.0,0.2,0.0,0.0,1.0,1,100.0,62.0,0.0,1,1.0,,,,,,,,,,Gas
3135,MG,206.0,42.757,239.0,-201.0,1.0,3105,541.0,0.0,0.2,0.0,0.0,1.0,1,100.0,541.0,0.0,1,1.0,,,,,,,,,,Gas
3135,NG,14.0,42.757,100.0,-85.0,1.0,3105,38.0,0.0,0.2,0.0,0.0,1.0,1,100.0,38.0,0.0,1,1.0,,,,,,,,,,Gas
3234,DG,104.0,101.0,101.0,-75.0,1.01,3204,177.0,0.0,0.2,0.0,0.0,1.0,1,100.0,177.0,0.0,1,1.0,,,,,,,,,,Gas
3234,MG,2261.0,118.878,1244.0,-1234.0,1.01,3204,3853.0,0.0,0.2,0.0,0.0,1.0,1,100.0,3853.0,0.0,1,1.0,,,,,,,,,,Gas
3234,NG,608.0,118.878,382.0,-212.0,1.01,3204,1037.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1037.0,0.0,1,1.0,,,,,,,,,,Gas
