bus,geocode,wind[MVA],solar[MVA],generation[MVA],load[MVA],storage[MVA],nearest,distance[km],total.csv,pv.csv,wt.csv
1001,9wdb95,102.4,72.0,3686.1,,0.0,,,OK,OK,OK
1002,9wdb95,,,,0.0,,,,OK,OK,OK
1003,9wdb95,,,,0.0,,,,OK,OK,OK
1004,9we1bp,1744.4,358.0,730.4,0.0,0.0,,,OK,OK,OK
1032,9wdb95,0.0,0.0,0.0,,0.0,,,OK,OK,OK
1034,9we1bp,0.0,0.0,0.0,,0.0,,,OK,OK,OK
1101,9w1zzg,150.2,312.3,4212.3,0.0,0.0,,,OK,OK,OK
1102,9w1wf0,176.1,198.5,1554.0,0.0,0.0,,,OK,OK,OK
1131,9w1zzg,0.0,0.0,0.0,,0.0,,,OK,OK,OK
1201,9w3h8n,699.2,0.0,0.0,0.0,0.0,,,OK,,OK
1202,9w94m0,0.0,0.0,1312.0,0.0,0.0,,,OK,,
1232,9w94m0,0.0,0.0,0.0,,0.0,,,OK,,
1301,9qqk6u,0.0,2578.1,1039.4,0.0,0.0,,,OK,OK,
1302,9qw0kp,0.0,116.0,105.2,0.0,0.0,,,OK,OK,
1303,9qw0kp,,,,0.0,,,,OK,OK,
1331,9qqk6u,0.0,0.0,0.0,,0.0,,,OK,OK,
1333,9qw0kp,0.0,0.0,0.0,,0.0,,,OK,OK,
1401,9mzqxj,0.0,0.0,11247.2,0.0,280.0,,,OK,,
1402,9w01f3,0.0,1795.6,7248.8,0.0,22.0,,,OK,OK,
1403,9qndpr,359.6,107.3,2214.5,,0.0,,,OK,OK,OK
1431,9mzqxj,0.0,0.0,0.0,,0.0,,,OK,,
2000,9mtzm4,,,,0.0,,9mvgw4,69.6,OK,OK,OK
2030,9mtzm4,0.0,0.0,0.0,,0.0,9mvgw4,69.6,OK,OK,OK
2100,9mvgw4,264.2,2332.7,1467.5,0.0,0.0,,,OK,OK,OK
2130,9mvgw4,0.0,0.0,0.0,,0.0,,,OK,OK,OK
2201,9muccv,0.0,0.0,1322.9,,0.0,9mudw2,13.9,OK,OK,OK
2202,9muccv,,,,0.0,,9mudw2,13.9,OK,OK,OK
2203,9mudw2,183.0,132.8,1059.1,0.0,47.8,,,OK,OK,OK
2233,9mudw2,0.0,0.0,0.0,,0.0,,,OK,OK,OK
2301,9mvffm,0.0,0.0,481.1,,129.4,9mvgw4,21.3,OK,OK,OK
2302,9mvffm,,,,,,9mvgw4,21.3,OK,OK,OK
2332,9mvffm,0.0,0.0,0.0,,0.0,9mvgw4,21.3,OK,OK,OK
2400,9qj152,655.6,2926.8,1114.0,0.0,0.0,,,OK,OK,OK
2401,9qhe90,0.0,0.0,308.9,0.0,0.0,9mupsy,76.7,OK,OK,OK
2402,9qh3ky,0.0,0.0,596.5,0.0,82.9,9mupsy,39.7,OK,OK,OK
2403,9qh8k2,0.0,0.0,1118.5,0.0,0.0,9qj152,56.7,OK,OK,OK
2404,9qhh0n,,,,,,9q5fm0,36.1,OK,OK,OK
2405,9q5epx,0.0,0.0,76.8,0.0,0.0,9q5fm0,24.1,OK,OK,OK
2406,9q5fq8,0.0,0.0,278.6,0.0,0.0,9q5fm0,9.2,OK,OK,OK
2407,9q5bwz,0.0,0.0,6804.5,0.0,29.9,9q5fm0,26.6,OK,OK,OK
2408,9qh18k,0.0,0.0,575.7,0.0,0.0,9q5fm0,21.0,OK,OK,OK
2409,9qh3ky,,,,0.0,,9mupsy,39.7,OK,OK,OK
2410,9q5evq,0.0,0.0,111.3,0.0,0.0,9q5sgb,16.5,OK,OK,
2411,9qhh0n,,,,0.0,,9q5fm0,36.1,OK,OK,OK
2431,9qhe90,0.0,0.0,0.0,,0.0,9mupsy,76.7,OK,OK,OK
