bus,gen,cap,cf,units
9muccv,CC,688.5,0.342,1
9mudw2,CC,764.4,0.538,7
9mupsy,CC,19.0,0.014,1
9mvffm,CC,129.4,0.212,1
9mvgw4,CC,62.6,0.015,1
9mzqxj,CC,7037.6,0.612,9
9q5bwz,CC,1578.7,0.23,7
9q5cts,CC,1044.0,0.629,4
9q5cw0,CC,130.0,0.917,1
9q5dy2,CC,31.1,0.017,1
9q5f6t,CC,660.8,0.559,3
9q5fm0,CC,100.3,0.056,1
9q5fq8,CC,145.8,0.524,2
9q5sgb,CC,779.0,0.304,1
9q713t,CC,2442.2,0.217,4
9q8yyc,CC,13.4,0.749,1
9q8yyz,CC,77.8,0.178,1
9q92vz,CC,832.2,0.411,2
9q97v8,CC,765.0,0.85,2
9q9fy1,CC,300.6,0.256,1
9q9hq4,CC,27.0,0.794,1
9q9jk9,CC,655.0,1.0,1
9q9m24,CC,492.1,0.616,3
9q9peh,CC,275.9,0.771,2
9q9w99,CC,336.1,0.627,1
9q9wtp,CC,288.9,0.503,1
9qc0p1,CC,163.5,0.39,2
9qc26h,CC,2241.5,0.708,3
9qcbq0,CC,66.3,0.039,1
9qcem3,CC,333.4,0.377,3
9qcf5u,CC,530.0,0.684,1
9qct8r,CC,636.0,0.787,1
9qcts0,CC,164.0,0.777,1
9qd9xh,CC,41.3,0.02,1
9qdbm8,CC,97.7,0.051,2
9qh3ky,CC,79.8,0.117,2
9qh8k2,CC,522.4,0.467,2
9qhsdk,CC,852.0,0.647,1
9qndpr,CC,1954.0,0.728,3
9r0vxp,CC,91.5,0.061,1
9r106e,CC,712.4,0.998,1
9r3wzq,CC,501.5,0.619,1
9rb6wg,CC,11.0,0.013,1
9rg8bx,CC,318.5,0.167,1
9rpbwn,CC,820.0,0.41,1
9w01f3,CC,2565.8,0.282,4
9w1zzg,CC,937.0,0.2,2
9wdb95,CC,79.8,0.021,1
9we1bp,CC,67.0,0.024,1
9wve62,CC,2638.0,0.172,7
9x06gc,CC,789.0,1.0,2
9x0mgn,CC,1385.0,0.967,1
9x0ryy,CC,9.6,0.011,1
9x5w98,CC,84.0,0.027,1
9xkgmv,CC,1074.1,0.105,4
c21g7y,CC,248.0,0.055,1
c237sz,CC,3551.4,0.521,7
c245ue,CC,284.3,0.051,1
c26crp,CC,2393.6,0.198,5
c2967d,CC,69.9,0.051,1
c2c10y,CC,587.4,0.776,3
c2kx95,CC,301.5,0.054,1
