bus,Bus  Number,Bus  Name,Base kV,Owner Name,Code,Voltage (pu),Angle (deg),Normal Vmax (pu),Normal Vmin (pu),Emergency Vmax (pu),Emergency Vmin (pu),Lat,Long
9wdb95,1001,FOURCORN,500,,1,1.0272,18.95,1.1,0.9,1.1,0.9,36.670897,-108.581419
9wdb95,1002,FOURCORN,345,,1,1.014,23.32,1.1,0.9,1.1,0.9,36.670897,-108.581419
9wdb95,1003,FOURCORN,230,,1,0.9732,14.65,1.1,0.9,1.1,0.9,36.670897,-108.581419
9we1bp,1004,SAN JUAN,345,,1,1.03,36.16,1.1,0.9,1.1,0.9,36.910483,-108.278462
9wdb95,1032,FCNGN4CC,20,,2,1.0176,23.89,1.1,0.9,1.1,0.9,36.670897,-108.581419
9we1bp,1034,SJUAN G4,20,,2,1.0315,37.78,1.1,0.9,1.1,0.9,36.910483,-108.278462
9w1zzg,1101,CORONADO,500,,1,1.01,-4.7,1.1,0.9,1.1,0.9,35.131373,-109.690674
9w1wf0,1102,CHOLLA,345,,1,0.9809,6.63,1.1,0.9,1.1,0.9,34.940278,-110.300278
9w1zzg,1131,CORONADO,20,,2,1.0107,-3.97,1.1,0.9,1.1,0.9,35.131373,-109.690674
9w3h8n,1201,MOENKOPI,500,,1,1.0845,0.06,1.1,0.9,1.1,0.9,35.985019,-111.090655
9w94m0,1202,NAVAJO,500,,1,1.08,3.13,1.1,0.9,1.1,0.9,36.961002,-110.864429
9w94m0,1232,NAVAJO 2,20,,2,1.0807,3.96,1.1,0.9,1.1,0.9,36.961002,-110.864429
9qqk6u,1301,MEAD,500,,1,1.045,-4.67,1.1,0.9,1.1,0.9,35.929472,-114.835922
9qw0kp,1302,H ALLEN,500,,1,1.0274,-3.78,1.1,0.9,1.1,0.9,36.649771,-115.134207
9qw0kp,1303,H ALLEN,345,,1,1.005,-6.03,1.1,0.9,1.1,0.9,36.649771,-115.134207
9qqk6u,1331,HOOVER,20,,2,1.0452,-3.59,1.1,0.9,1.1,0.9,35.929472,-114.835922
9qw0kp,1333,H ALLEN,20,,2,1.0088,-4.58,1.1,0.9,1.1,0.9,36.649771,-115.134207
9mzqxj,1401,PALOVRDE,500,,1,1.035,-9.17,1.1,0.9,1.1,0.9,33.513802,-113.239936
9w01f3,1402,WESTWING,500,,1,1.0576,-14.59,1.1,0.9,1.1,0.9,34.067027,-112.396715
9qndpr,1403,PARKER,230,,1,1.0363,-9.43,1.1,0.9,1.1,0.9,34.144722,-114.289722
9mzqxj,1431,PALOVRD2,20,,2,1.0407,-6.82,1.1,0.9,1.1,0.9,33.513802,-113.239936
9mtzm4,2000,MEXICO,230,,1,1.0,-17.03,1.1,0.9,1.1,0.9,32.227887,-115.436076
9mtzm4,2030,MEXICO,20,,2,1.0015,-16.33,1.1,0.9,1.1,0.9,32.227887,-115.436076
9mvgw4,2100,IMPERIAL,230,,1,1.035,-10.75,1.1,0.9,1.1,0.9,32.971469,-115.394435
9mvgw4,2130,IMPERIAL,20,,2,1.0358,-10.4,1.1,0.9,1.1,0.9,32.971469,-115.394435
9muccv,2201,MIGUEL,500,,1,0.9859,-28.25,1.1,0.9,1.1,0.9,32.680823,-116.982615
9muccv,2202,MIGUEL,230,,1,0.984,-29.76,1.1,0.9,1.1,0.9,32.680823,-116.982615
9mudw2,2203,MISSION,230,,1,1.005,-30.87,1.1,0.9,1.1,0.9,32.784153,-117.137829
9mudw2,2233,MISSION,20,,2,1.0074,-30.59,1.1,0.9,1.1,0.9,32.784153,-117.137829
9mvffm,2301,IMPRLVLY,500,,1,1.0336,-13.54,1.1,0.9,1.1,0.9,32.856407,-115.56459
9mvffm,2302,IMPRLVLY,230,,1,1.035,-12.51,1.1,0.9,1.1,0.9,32.856407,-115.56459
9mvffm,2332,IMPRLVLY,20,,2,1.0356,-12.27,1.1,0.9,1.1,0.9,32.856407,-115.56459
9qj152,2400,DEVERS,500,,1,1.0234,-18.5,1.1,0.9,1.1,0.9,33.927377,-116.57522
9qhe90,2401,LUGO,500,,1,1.0497,-12.78,1.1,0.9,1.1,0.9,34.369347,-117.368876
9qh3ky,2402,MIRALOMA,500,,1,1.0295,-18.21,1.1,0.9,1.1,0.9,34.008174,-117.564527
9qh8k2,2403,VALLEY,500,,1,1.0217,-22.29,1.1,0.9,1.1,0.9,33.796667,-117.224444
9qhh0n,2404,VINCENT,500,,1,1.0353,-8.27,1.1,0.9,1.1,0.9,34.488498,-118.12147
9q5epx,2405,SYLMAR S,230,,1,1.0107,-11.16,1.1,0.9,1.1,0.9,34.317296,-118.495046
9q5fq8,2406,EAGLROCK,230,,1,1.0068,-16.47,1.1,0.9,1.1,0.9,34.150436,-118.184526
9q5bwz,2407,LITEHIPE,230,,1,0.9684,-24.44,1.1,0.9,1.1,0.9,33.879856,-118.175222
9qh18k,2408,MESA CAL,230,,1,1.009,-11.4,1.1,0.9,1.1,0.9,34.037233,-118.11012
9qh3ky,2409,MIRALOMA,230,,1,1.02,-19.83,1.1,0.9,1.1,0.9,34.008174,-117.564527
9q5evq,2410,PARDEE,230,,1,1.0054,-15.02,1.1,0.9,1.1,0.9,34.442694,-118.58844
9qhh0n,2411,VINCENT,230,,1,1.0202,-10.53,1.1,0.9,1.1,0.9,34.488498,-118.12147
9qhe90,2431,LUGO,20,,2,1.05,-12.75,1.1,0.9,1.1,0.9,34.369347,-117.368876
9qhh0n,2434,VINCENT,20,,2,1.02,-10.51,1.1,0.9,1.1,0.9,34.488498,-118.12147
9qh18k,2438,MESA CAL,20,,2,1.0101,-9.98,1.1,0.9,1.1,0.9,34.037233,-118.11012
9qh3ky,2439,MIRALOMA,20,,2,1.0198,-19.78,1.1,0.9,1.1,0.9,34.008174,-117.564527
9qh0rw,2501,SERRANO,500,,1,1.024,-20.82,1.1,0.9,1.1,0.9,33.828436,-117.79013
9qh0rw,2502,SERRANO,230,,1,1.0213,-22.6,1.1,0.9,1.1,0.9,33.828436,-117.79013
9mumuf,2503,S.ONOFRE,230,,1,1.009,-25.91,1.1,0.9,1.1,0.9,33.370212,-117.557619
9mumuf,2533,S.ONOFRE,20,,2,1.0101,-25.38,1.1,0.9,1.1,0.9,33.370212,-117.557619
9qhkxd,2600,ADELANTO,500,,1,1.0537,-7.78,1.1,0.9,1.1,0.9,34.552197,-117.437004
9q5epc,2601,RINALDI,500,,1,1.0464,-8.85,1.1,0.9,1.1,0.9,34.285768,-118.484219
9q5f6t,2602,STA E,500,,1,1.0208,-9.03,1.1,0.9,1.1,0.9,34.176429,-118.360306
9qhsdk,2603,VICTORVL,500,,1,1.0544,-8.44,1.1,0.9,1.1,0.9,34.565195,-117.32157
9rpbwn,2604,INTERMT,345,,1,1.03,36.26,1.1,0.9,1.1,0.9,39.500381,-112.580826
