bus,Bus  Number,Bus  Name,Base kV,Owner Name,Code,Voltage (pu),Angle (deg),Normal Vmax (pu),Normal Vmin (pu),Emergency Vmax (pu),Emergency Vmin (pu),Lat,Long
9q5cw0,2605,STA B1,287,,1,1.0201,-7.22,1.1,0.9,1.1,0.9,34.015353,-118.204015
9q5cw0,2606,STA B2,287,,1,1.0201,-7.22,1.1,0.9,1.1,0.9,34.015353,-118.204015
9qhsdk,2607,VICTORVL,287,,1,1.0467,-8.07,1.1,0.9,1.1,0.9,34.565195,-117.32157
9q5sgb,2608,CASTAIC,230,,1,1.015,-9.5,1.1,0.9,1.1,0.9,34.589863,-118.663274
9q5fm0,2609,GLENDAL,230,,1,0.9986,-7.89,1.1,0.9,1.1,0.9,34.146111,-118.255
9mupsy,2610,HAYNES,230,,1,1.004,6.14,1.1,0.9,1.1,0.9,33.697565,-117.911364
9q5g0q,2611,OLIVE,230,,1,1.015,-9.64,1.1,0.9,1.1,0.9,34.31131,-118.455696
9q5epc,2612,RINALDI,230,,1,1.0136,-9.98,1.1,0.9,1.1,0.9,34.285768,-118.484219
9q5cts,2613,RIVER,230,,1,0.9937,-4.52,1.1,0.9,1.1,0.9,34.037697,-118.230212
9q5cw0,2614,STA BLD,230,,1,1.0012,-6.06,1.1,0.9,1.1,0.9,34.015353,-118.204015
9q5f6t,2615,STA E,230,,1,1.0044,-9.21,1.1,0.9,1.1,0.9,34.176429,-118.360306
9q5cw0,2616,STA F,230,,1,0.9957,-4.84,1.1,0.9,1.1,0.9,34.015353,-118.204015
9q5fj1,2617,STA G,230,,1,0.9967,-6.5,1.1,0.9,1.1,0.9,34.10948,-118.254629
9q5dy2,2618,STA J,230,,1,1.0108,-11.09,1.1,0.9,1.1,0.9,34.234263,-118.550256
9q5epx,2619,SYLMARLA,230,,1,1.0121,-9.65,1.1,0.9,1.1,0.9,34.317296,-118.495046
9qh8k2,2620,VALLEY,230,,1,1.0088,-10.11,1.1,0.9,1.1,0.9,33.796667,-117.224444
9q5cw0,2621,STA B,138,,1,1.0121,-7.07,1.1,0.9,1.1,0.9,34.015353,-118.204015
9mupsy,2630,HAYNES3G,20,,2,1.0049,6.79,1.1,0.9,1.1,0.9,33.697565,-117.911364
9q5g0q,2631,OLIVE,20,,2,1.0152,-9.58,1.1,0.9,1.1,0.9,34.31131,-118.455696
9rpbwn,2634,INTERM1G,20,,2,1.0307,36.68,1.1,0.9,1.1,0.9,39.500381,-112.580826
9q5epc,2637,OWENS G,20,,2,1.0141,-9.95,1.1,0.9,1.1,0.9,34.285768,-118.484219
9q5sgb,2638,CASTAI4G,20,,2,1.0151,-9.44,1.1,0.9,1.1,0.9,34.589863,-118.663274
9qq5wv,2901,ELDORADO,500,,1,1.0981,-6.36,1.1,0.9,1.1,0.9,35.799967,-115.012448
9q5zqv,2902,MOHAVE,500,,1,1.11,-8.39,1.1,0.9,1.1,0.9,35.0525,-118.173889
9q8yyz,3101,EMBRCDRD,230,,1,0.9796,-5.51,1.1,0.9,1.1,0.9,37.788555,-122.395045
9q8yqr,3102,MARTIN,230,,1,0.9849,-4.24,1.1,0.9,1.1,0.9,37.704337,-122.410274
9q9jb9,3103,SANMATEO,230,,1,0.9927,-2.21,1.1,0.9,1.1,0.9,37.582985,-122.318546
9q8yqr,3104,MARTIN,115,,1,0.984,-10.08,1.1,0.9,1.1,0.9,37.704337,-122.410274
9q8yyc,3105,POTRERO,115,,1,1.0,-10.51,1.1,0.9,1.1,0.9,37.75843,-122.398
9q9jb9,3133,SANMATEO,20,,2,0.9929,-2.2,1.1,0.9,1.1,0.9,37.582985,-122.318546
9q8yyc,3135,POTRERO,20,,2,1.0005,-10.45,1.1,0.9,1.1,0.9,37.75843,-122.398
9qc0p1,3201,C.COSTA,230,,1,0.9977,-1.02,1.1,0.9,1.1,0.9,37.978056,-122.031111
9q9pk4,3202,MORAGA,230,,1,0.9974,-0.81,1.1,0.9,1.1,0.9,37.848161,-122.16088
9q9m24,3203,NEWARK,230,,1,0.9981,-1.19,1.1,0.9,1.1,0.9,37.501131,-121.987444
9qc26h,3204,PITSBURG,230,,1,1.01,2.52,1.1,0.9,1.1,0.9,38.037129,-121.897096
9q9peh,3205,SOBRANTE,230,,1,0.9985,0.1,1.1,0.9,1.1,0.9,37.905327,-122.208867
9qc26h,3234,PITSBURG,20,,2,1.0126,3.63,1.1,0.9,1.1,0.9,38.037129,-121.897096
9q97v8,3301,METCALF,500,,1,1.0008,2.11,1.1,0.9,1.1,0.9,37.222363,-121.746496
9q9hgh,3302,JEFFERSN,230,,1,0.9823,-4.16,1.1,0.9,1.1,0.9,37.4198065,-122.2042168
9q97v8,3303,METCALF,230,,1,1.0,-0.72,1.1,0.9,1.1,0.9,37.222363,-121.746496
9q9hq4,3304,MONTAVIS,230,,1,0.9884,-2.86,1.1,0.9,1.1,0.9,37.322286,-122.0737899
9q9jk9,3305,RAVENSWD,230,,1,0.9938,-2.57,1.1,0.9,1.1,0.9,37.494231,-122.138182
9q97v8,3333,METCALF,20,,2,1.0021,-0.49,1.1,0.9,1.1,0.9,37.222363,-121.746496
9qd9xh,3401,GREGG,230,,1,0.9593,-11.18,1.1,0.9,1.1,0.9,36.850535,-119.92442
9qe6tq,3402,HELMS PP,230,,1,0.9614,-11.19,1.1,0.9,1.1,0.9,37.039937,-118.946978
9qdbm8,3403,MC CALL,230,,1,1.0,1.27,1.1,0.9,1.1,0.9,36.609214,-119.639632
9qd2ds,3404,PANOCHE,230,,1,0.9856,-4.98,1.1,0.9,1.1,0.9,36.675814,-120.46628
9qct8r,3405,WILSON,230,,1,0.955,-12.99,1.1,0.9,1.1,0.9,38.978333,-121.625833
9qe6tq,3432,HELMS PP,20,,2,0.9614,-11.19,1.1,0.9,1.1,0.9,37.039937,-118.946978
9qdbm8,3433,MC CALL,20,,2,1.0004,1.62,1.1,0.9,1.1,0.9,36.609214,-119.639632
9qben2,3501,FULTON,230,,1,1.0,3.94,1.1,0.9,1.1,0.9,38.497952,-122.761324
9qben2,3531,FULTON,20,,2,1.0005,4.25,1.1,0.9,1.1,0.9,38.497952,-122.761324
9pr8ne,3601,HUMBOLDT,115,,1,1.015,12.88,1.1,0.9,1.1,0.9,40.801944,-124.163611
9pr8ne,3631,HUMBOLDT,20,,2,1.0149,12.91,1.1,0.9,1.1,0.9,40.801944,-124.163611
9r4bc7,3701,SUMMIT,115,,1,1.0,-0.96,1.1,0.9,1.1,0.9,39.527222,-119.821944
9r4bc7,3731,SUMMIT,20,,2,1.0003,-0.9,1.1,0.9,1.1,0.9,39.527222,-119.821944
9q603v,3801,DIABLO,500,,1,1.049,2.99,1.1,0.9,1.1,0.9,35.230747,-120.855104
9q6tde,3802,GATES,500,,1,1.0323,-2.51,1.1,0.9,1.1,0.9,36.144321,-120.124187
9q713t,3803,MIDWAY,500,,1,1.042,-4.53,1.1,0.9,1.1,0.9,35.408481,-119.456003
9q6tde,3804,GATES,230,,1,0.9973,-4.31,1.1,0.9,1.1,0.9,36.144321,-120.124187
9q713t,3805,MIDWAY,230,,1,1.035,-4.27,1.1,0.9,1.1,0.9,35.408481,-119.456003
9q613c,3806,MORROBAY,230,,1,1.019,-1.17,1.1,0.9,1.1,0.9,35.38543,-120.858669
9q603v,3831,DIABLO1,20,,2,1.0491,3.54,1.1,0.9,1.1,0.9,35.230747,-120.855104
9q713t,3835,MIDWAY,20,,2,1.0357,-4.17,1.1,0.9,1.1,0.9,35.408481,-119.456003
9q613c,3836,MORROBAY,20,,2,1.0191,-0.98,1.1,0.9,1.1,0.9,35.38543,-120.858669
9q6tde,3891,GATES1,500,,1,1.0527,-7.68,1.1,0.9,1.1,0.9,36.144321,-120.124187
9q713t,3892,MIDWAY1,500,,1,1.0337,-0.29,1.1,0.9,1.1,0.9,35.408481,-119.456003
9q713t,3893,MIDWAY2,500,,1,1.0351,-12.5,1.1,0.9,1.1,0.9,35.408481,-119.456003
9q713t,3894,MIDWAY3,500,,1,1.0334,-0.21,1.1,0.9,1.1,0.9,35.408481,-119.456003
9q713t,3895,MIDWAY4,500,,1,1.0354,-12.53,1.1,0.9,1.1,0.9,35.408481,-119.456003
9q713t,3896,MIDWAY5,500,,1,1.0339,0.0,1.1,0.9,1.1,0.9,35.408481,-119.456003
9q713t,3897,MIDWAY6,500,,1,1.0369,-12.32,1.1,0.9,1.1,0.9,35.408481,-119.456003
9q9fy1,3901,LOSBANOS,500,,1,1.0176,0.32,1.1,0.9,1.1,0.9,37.054001,-121.022616
9q92vz,3902,MOSSLAND,500,,1,1.0,3.84,1.1,0.9,1.1,0.9,36.737604,-121.732796
9q9w99,3903,TESLA,500,,1,1.0062,5.23,1.1,0.9,1.1,0.9,37.71247,-121.565283
9qc63x,3904,VACA-DIX,500,,1,1.0018,5.82,1.1,0.9,1.1,0.9,38.40437,-121.918134
9r13pb,3905,TABLE MT,500,,1,1.0142,13.31,1.1,0.9,1.1,0.9,39.55548,-121.645379
9r321k,3906,ROUND MT,500,,1,1.057,19.69,1.1,0.9,1.1,0.9,40.808138,-121.936762
9qcbq0,3907,BELLOTA,230,,1,0.9648,-10.8,1.1,0.9,1.1,0.9,38.01622,-121.015147
9qcem3,3908,BRIGHTON,230,,1,0.9646,-9.6,1.1,0.9,1.1,0.9,38.547942,-121.407942
9qcxqg,3909,COLGATE,230,,1,0.9653,-5.34,1.1,0.9,1.1,0.9,39.2617,-121.337
9qcjcp,3910,CORTINA,230,,1,0.9528,-3.98,1.1,0.9,1.1,0.9,39.018333,-122.290278
9r1jcf,3911,COTWDPGE,230,,1,1.0267,13.09,1.1,0.9,1.1,0.9,40.397712,-122.265115
9r10zd,3912,GLENN,230,,1,1.0009,2.77,1.1,0.9,1.1,0.9,39.521944,-122.013889
9qcggm,3913,GOLDHILL,230,,1,0.9853,-5.64,1.1,0.9,1.1,0.9,38.657961,-121.137023
9qbbed,3914,IGNACIO,230,,1,0.9891,0.15,1.1,0.9,1.1,0.9,38.070278,-122.538611
9qbcde,3915,LAKEVILE,230,,1,0.992,0.04,1.1,0.9,1.1,0.9,38.249937,-122.583996
9r106e,3916,LOGAN CR,230,,1,0.9981,1.89,1.1,0.9,1.1,0.9,39.435504,-122.23327
9q9fy1,3917,LOSBANOS,230,,1,1.001,-3.13,1.1,0.9,1.1,0.9,37.054001,-121.022616
9q92vz,3918,MOSSLAND,230,,1,0.9924,-1.13,1.1,0.9,1.1,0.9,36.737604,-121.732796
9r1867,3919,PALERMO,230,,1,0.9673,-2.8,1.1,0.9,1.1,0.9,39.435556,-121.538056
9qcts0,3920,RIO OSO,230,,1,0.9775,-4.91,1.1,0.9,1.1,0.9,38.93608,-121.463992
9r321k,3921,ROUND MT,230,,1,1.07,23.2,1.1,0.9,1.1,0.9,40.808138,-121.936762
9r13pb,3922,TABLE MT,230,,1,0.984,2.89,1.1,0.9,1.1,0.9,39.55548,-121.645379
9q9w99,3923,TESLA,230,,3,1.0161,-0.28,1.1,0.9,1.1,0.9,37.71247,-121.565283
9qc63x,3924,VACA-DIX,230,,1,0.997,0.25,1.1,0.9,1.1,0.9,38.40437,-121.918134
9r1jcf,3925,COTWDPGE,115,,1,1.022,12.97,1.1,0.9,1.1,0.9,40.397712,-122.265115
9qcts0,3926,RIO OSO,115,,1,0.9853,-4.02,1.1,0.9,1.1,0.9,38.93608,-121.463992
9r321k,3931,ROUND MT,20,,2,1.0712,23.56,1.1,0.9,1.1,0.9,40.808138,-121.936762
9q92vz,3932,MOSSLAND,20,,2,0.9997,4.22,1.1,0.9,1.1,0.9,36.737604,-121.732796
9q9w99,3933,TESLA,20,,2,1.02,0.0,1.1,0.9,1.1,0.9,37.71247,-121.565283
9r3wzq,4001,MALIN,500,,1,1.08,23.27,1.1,0.9,1.1,0.9,42.004704,-121.318052
9r9uxw,4002,SUMMER L,500,,1,1.0919,31.22,1.1,0.9,1.1,0.9,43.016085,-120.953695
9rg8bx,4003,BURNS,500,,1,1.0889,43.62,1.1,0.9,1.1,0.9,43.767338,-118.797842
9rcvn1,4004,GRIZZLY,500,,1,1.0898,32.21,1.1,0.9,1.1,0.9,44.481129,-121.01542
c245ue,4005,JOHN DAY,500,,1,1.08,40.69,1.1,0.9,1.1,0.9,45.677819,-120.733553
c21g7y,4006,BIG EDDY,500,,1,1.0767,37.91,1.1,0.9,1.1,0.9,45.60664,-121.115583
c21g7u,4007,CELILOCA,500,,1,1.0767,37.77,1.1,0.9,1.1,0.9,45.594757,-121.113585
9r3wzq,4008,MALIN,345,,1,1.0756,21.03,1.1,0.9,1.1,0.9,42.004704,-121.318052
c21g7y,4009,BIG EDDY,230,,1,1.08,36.02,1.1,0.9,1.1,0.9,45.60664,-121.115583
c21g7u,4010,CELILO,230,,1,1.0789,35.66,1.1,0.9,1.1,0.9,45.594757,-121.113585
9r3wzq,4031,MALIN,20,,2,1.0846,23.7,1.1,0.9,1.1,0.9,42.004704,-121.318052
c245ue,4035,JOHN DAY,20,,2,1.0802,41.31,1.1,0.9,1.1,0.9,45.677819,-120.733553
c21g7y,4039,DALLES21,20,,2,1.084,36.63,1.1,0.9,1.1,0.9,45.60664,-121.115583
9r3wzq,4090,MALIN1,500,,1,1.0905,30.06,1.1,0.9,1.1,0.9,42.004704,-121.318052
9rcvn1,4091,GRIZZLY1,500,,1,1.0947,31.78,1.1,0.9,1.1,0.9,44.481129,-121.01542
9rcvn1,4092,GRIZZLY2,500,,1,1.093,25.48,1.1,0.9,1.1,0.9,44.481129,-121.01542
9rcvn1,4093,GRIZZLY3,500,,1,1.0944,24.61,1.1,0.9,1.1,0.9,44.481129,-121.01542
9rcvn1,4094,GRIZZLY4,500,,1,1.0893,31.27,1.1,0.9,1.1,0.9,44.481129,-121.01542
9rcvn1,4095,GRIZZLY5,500,,1,1.0926,25.1,1.1,0.9,1.1,0.9,44.481129,-121.01542
9rcvn1,4096,GRIZZLY6,500,,1,1.0943,24.19,1.1,0.9,1.1,0.9,44.481129,-121.01542
9rcvn1,4097,GRIZZLY7,500,,1,1.0889,31.22,1.1,0.9,1.1,0.9,44.481129,-121.01542
c2e2u0,4101,COULEE,500,,1,1.128,65.58,1.1,0.9,1.1,0.9,47.947893,-118.996055
c26crp,4102,HANFORD,500,,1,1.096,55.21,1.1,0.9,1.1,0.9,46.669392,-119.573343
c2kx95,4103,BELL,500,,1,1.0675,48.87,1.1,0.9,1.1,0.9,47.746353,-117.373738
c2kx95,4104,BELL,230,,1,1.0398,36.92,1.1,0.9,1.1,0.9,47.746353,-117.373738
c2e2u0,4131,COULEE,20,,2,1.1321,67.68,1.1,0.9,1.1,0.9,47.947893,-118.996055
c26crp,4132,HANFORD,20,,2,1.1004,57.02,1.1,0.9,1.1,0.9,46.669392,-119.573343
c2967d,4201,NORTH,500,,1,1.12,58.23,1.1,0.9,1.1,0.9,48.22276,-121.837459
c237sz,4202,WCASCADE,500,,1,1.06,39.05,1.1,0.9,1.1,0.9,47.065363,-121.779859
9rb6wg,4203,WILLAMET,500,,1,1.0164,33.96,1.1,0.9,1.1,0.9,44.051652,-123.091142
9r88yx,4204,MERIDIAN,500,,1,1.0683,24.03,1.1,0.9,1.1,0.9,42.358895,-122.760172
c2967d,4231,NORTH G3,20,,2,1.1271,59.26,1.1,0.9,1.1,0.9,48.22276,-121.837459
c237sz,4232,WCASCADE,20,,2,1.0638,39.3,1.1,0.9,1.1,0.9,47.065363,-121.779859
c2c10y,5001,CANADA,500,,1,1.05,63.7,1.1,0.9,1.1,0.9,49.429986,-122.303722
c2c10y,5002,CANALB,500,,1,1.055,66.15,1.1,0.9,1.1,0.9,49.429986,-122.303722
c2u6xt,5003,CA230TO,230,,1,1.0464,61.42,1.1,0.9,1.1,0.9,49.686968,-117.438199
c2u6xt,5004,CA230,230,,1,1.053,49.16,1.1,0.9,1.1,0.9,49.686968,-117.438199
c2c10y,5031,CANAD G1,20,,2,1.0561,65.65,1.1,0.9,1.1,0.9,49.429986,-122.303722
c2c10y,5032,CMAIN GM,20,,2,1.0602,68.84,1.1,0.9,1.1,0.9,49.429986,-122.303722
9rwgcr,6101,MIDPOINT,500,,1,1.0539,58.79,1.1,0.9,1.1,0.9,42.888986,-114.199277
9rwgcr,6102,MIDPOINT,345,,1,1.03,63.01,1.1,0.9,1.1,0.9,42.888986,-114.199277
9rx7st,6103,BORAH,345,,1,1.014,61.37,1.1,0.9,1.1,0.9,42.835449,-113.348619
9rx7st,6104,BORAH,230,,1,1.0066,50.18,1.1,0.9,1.1,0.9,42.835449,-113.348619
9rwgcr,6132,MIDPOINT,20,,2,1.0279,64.14,1.1,0.9,1.1,0.9,42.888986,-114.199277
c8h5zm,6201,COLSTRP,500,,1,1.06,58.65,1.1,0.9,1.1,0.9,45.689474,-106.552322
c2r8x7,6202,GARRISON,500,,1,1.0901,53.3,1.1,0.9,1.1,0.9,46.515909,-112.878383
c8h5zm,6203,COLSTRP,230,,1,1.0051,57.75,1.1,0.9,1.1,0.9,45.689474,-106.552322
c2r8x7,6204,GARRISON,230,,1,1.0471,54.21,1.1,0.9,1.1,0.9,46.515909,-112.878383
c82vu4,6205,MONTANA,230,,1,1.05,65.72,1.1,0.9,1.1,0.9,47.432975,-111.260716
c8h5zm,6231,COLSTRP,20,,2,1.0593,58.91,1.1,0.9,1.1,0.9,45.689474,-106.552322
c82vu4,6235,MONTA G1,20,,2,1.0509,66.13,1.1,0.9,1.1,0.9,47.432975,-111.260716
9x6z6m,6301,BRIDGER,345,,1,1.0152,62.94,1.1,0.9,1.1,0.9,42.083869,-108.529745
9xkgmv,6302,LARAMIE,345,,1,1.0058,17.62,1.1,0.9,1.1,0.9,41.383369,-105.567246
9x6z6m,6303,BRIDGER2,230,,1,1.03,80.28,1.1,0.9,1.1,0.9,42.083869,-108.529745
9xkgmv,6304,LARAMIE,230,,1,0.9907,30.43,1.1,0.9,1.1,0.9,41.383369,-105.567246
9x3mfn,6305,NAUGHTON,230,,1,1.06,79.54,1.1,0.9,1.1,0.9,41.826887,-110.64461
9x6z6m,6333,BRIDGER,20,,2,1.0336,81.4,1.1,0.9,1.1,0.9,42.083869,-108.529745
9x3mfn,6335,NAUGHT,20,,2,1.065,80.34,1.1,0.9,1.1,0.9,41.826887,-110.64461
9r50xy,6401,TRACYSPP,345,,1,1.0271,9.14,1.1,0.9,1.1,0.9,39.499336,-119.188176
9r4bc7,6402,SUMITSPP,115,,1,1.0062,3.01,1.1,0.9,1.1,0.9,39.527222,-119.821944
9rkf69,6403,VALMY,345,,1,1.11,39.07,1.1,0.9,1.1,0.9,41.182805,-116.954457
9rn2tf,6404,GONDER,345,,1,1.0539,31.64,1.1,0.9,1.1,0.9,39.476861,-114.70735
9rkf69,6433,VALMY,20,,2,1.1132,39.38,1.1,0.9,1.1,0.9,41.182805,-116.954457
9x27ep,6501,BENLOMND,345,,1,1.013,41.74,1.1,0.9,1.1,0.9,41.439081,-112.006907
9x0mgn,6502,CAMP WIL,345,,1,1.0106,40.49,1.1,0.9,1.1,0.9,40.423164974,-112.007999968
9x47er,6503,EMERY,345,,1,1.065,51.22,1.1,0.9,1.1,0.9,40.030278,-109.188333
9x06gc,6504,MONA,345,,1,1.0111,40.43,1.1,0.9,1.1,0.9,39.868637,-111.977164
9wdr2q,6505,PINTO,345,,1,1.0367,34.9,1.1,0.9,1.1,0.9,37.870747,-109.314458
9wdr2q,6506,PINTO PS,345,,1,1.035,31.35,1.1,0.9,1.1,0.9,37.870747,-109.314458
9wbmjr,6507,SIGURD,345,,1,1.0245,39.66,1.1,0.9,1.1,0.9,38.887109,-111.917677
9x0gc5,6508,SPAN FRK,345,,1,1.022,43.02,1.1,0.9,1.1,0.9,40.053045,-111.394196
9x0ryy,6509,TERMINAL,345,,1,1.0116,40.53,1.1,0.9,1.1,0.9,40.772832,-111.846293
9x27ep,6510,BENLOMND,230,,1,0.9636,44.28,1.1,0.9,1.1,0.9,41.439081,-112.006907
9x47er,6533,EMERY,20,,2,1.0679,52.16,1.1,0.9,1.1,0.9,40.030278,-109.188333
9wve62,7001,COLOEAST,345,,1,1.02,16.02,1.1,0.9,1.1,0.9,38.542595,-104.660626
9x5w98,7002,CRAIG,345,,1,1.015,18.67,1.1,0.9,1.1,0.9,40.521809,-107.506652
9wve62,7031,COLOEAST,20,,2,1.025,17.41,1.1,0.9,1.1,0.9,38.542595,-104.660626
9x5w98,7032,CRAIG,20,,2,1.0135,19.52,1.1,0.9,1.1,0.9,40.521809,-107.506652
9r0vxp,8001,OLINDA,500,,1,1.0439,13.33,1.1,0.9,1.1,0.9,40.382027,-122.384572
9q9wtp,8002,TRACY,500,,1,1.0093,4.65,1.1,0.9,1.1,0.9,37.74752,-121.416448
9r1jcf,8003,COTWDWAP,230,,1,1.075,12.92,1.1,0.9,1.1,0.9,40.397712,-122.265115
9qcf5u,8004,RNCHSECO,230,,1,1.0,-10.03,1.1,0.9,1.1,0.9,38.344823,-121.123005
9q9wtp,8005,TRACYPMP,230,,1,0.9801,-5.05,1.1,0.9,1.1,0.9,37.74752,-121.416448
