bus,BUS_I,ID,PG,QG,QT,QB,VS,IREG,MBASE,ZR,ZX,RT,XT,GTAP,STAT,RMPCT,PT,PB,O1,F1,O2,F2,O3,F3,O4,F4,WMOD,WPF,NREG,GENTYPE,Bus  Name,Base kV,Owner Name,Code,Voltage (pu),Angle (deg),Normal Vmax (pu),Normal Vmin (pu),Emergency Vmax (pu),Emergency Vmin (pu),Lat,Long
9we1bp,1034,W,1598.0,262.628,800.0,-800.0,1.03,1004,1682.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1682.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Wind,SJUAN G4,20,,2,1.0315,37.78,1.1,0.9,1.1,0.9,36.910483,-108.278462
9qh18k,2438,SW,704.0,32.102,561.0,-553.0,1.009,2408,3210.0,0.0,0.2,0.0,0.0,1.0,1,100.0,3210.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Wind,MESA CAL,20,,2,1.0101,-9.98,1.1,0.9,1.1,0.9,34.037233,-118.11012
9qc26h,3234,NW,1021.0,118.878,150.0,-110.0,1.01,3204,1740.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1740.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Wind,PITSBURG,20,,2,1.0126,3.63,1.1,0.9,1.1,0.9,38.037129,-121.897096
9q9w99,3933,NW,346.372,88.652,200.0,-200.0,1.02,3933,740.0,0.0,0.2,0.0,0.0,1.0,1,100.0,740.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Wind,TESLA,20,,2,1.02,0.0,1.1,0.9,1.1,0.9,37.71247,-121.565283
9r3wzq,4031,W,208.8,-168.528,240.0,-240.0,1.08,4001,635.0,0.0,0.2,0.0,0.0,1.0,1,100.0,635.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Wind,MALIN,20,,2,1.0846,23.7,1.1,0.9,1.1,0.9,42.004704,-121.318052
c245ue,4035,W,697.5,-122.614,800.0,-800.0,1.08,4005,2578.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2578.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Wind,JOHN DAY,20,,2,1.0802,41.31,1.1,0.9,1.1,0.9,45.677819,-120.733553
c21g7y,4039,W,712.8,380.224,500.0,-500.0,1.08,4009,1290.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1290.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Wind,DALLES21,20,,2,1.084,36.63,1.1,0.9,1.1,0.9,45.60664,-121.115583
c2e2u0,4131,W,555.3,120.0,120.0,-120.0,1.128,4101,790.0,0.0,0.2,0.0,0.0,1.0,1,100.0,790.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Wind,COULEE,20,,2,1.1321,67.68,1.1,0.9,1.1,0.9,47.947893,-118.996055
c26crp,4132,W,270.0,52.261,160.0,-160.0,1.096,4102,400.0,0.0,0.2,0.0,0.0,1.0,1,100.0,300.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Wind,HANFORD,20,,2,1.1004,57.02,1.1,0.9,1.1,0.9,46.669392,-119.573343
c237sz,4232,W,316.8,-3.607,108.0,-108.0,1.06,4202,695.0,0.0,0.2,0.0,0.0,1.0,1,100.0,695.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Wind,WCASCADE,20,,2,1.0638,39.3,1.1,0.9,1.1,0.9,47.065363,-121.779859
