bus,BUS_I,ID,PG,QG,QT,QB,VS,IREG,MBASE,ZR,ZX,RT,XT,GTAP,STAT,RMPCT,PT,PB,O1,F1,O2,F2,O3,F3,O4,F4,WMOD,WPF,NREG,GENTYPE,Bus  Name,Base kV,Owner Name,Code,Voltage (pu),Angle (deg),Normal Vmax (pu),Normal Vmin (pu),Emergency Vmax (pu),Emergency Vmin (pu),Lat,Long
9wdb95,1032,S,520.0,-3.332,360.0,-360.0,1.014,1002,638.0,0.0,0.2,0.0,0.0,1.0,1,100.0,638.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,FCNGN4CC,20,,2,1.0176,23.89,1.1,0.9,1.1,0.9,36.670897,-108.581419
9qw0kp,1333,S,1266.0,217.32,1300.0,-1300.0,1.005,1303,2423.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2423.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,H ALLEN,20,,2,1.0088,-4.58,1.1,0.9,1.1,0.9,36.649771,-115.134207
9mzqxj,1431,S,1353.0,409.166,1000.0,-1000.0,1.035,1401,2419.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2419.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,PALOVRD2,20,,2,1.0407,-6.82,1.1,0.9,1.1,0.9,33.513802,-113.239936
9mvgw4,2130,S,79.0,28.722,86.0,-86.0,1.035,2100,115.0,0.0,0.2,0.0,0.0,1.0,1,100.0,115.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,IMPERIAL,20,,2,1.0358,-10.4,1.1,0.9,1.1,0.9,32.971469,-115.394435
9mvffm,2332,S,878.0,42.001,590.0,-364.0,1.035,2302,1333.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1333.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,IMPRLVLY,20,,2,1.0356,-12.27,1.1,0.9,1.1,0.9,32.856407,-115.56459
9qhe90,2431,S,500.0,-46.886,800.0,-800.0,1.05,2431,1666.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1666.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,LUGO,20,,2,1.05,-12.75,1.1,0.9,1.1,0.9,34.369347,-117.368876
9qhh0n,2434,S,500.0,-337.252,500.0,-500.0,1.02,2434,1489.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1489.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,VINCENT,20,,2,1.02,-10.51,1.1,0.9,1.1,0.9,34.488498,-118.12147
9qh18k,2438,S,251.0,32.102,800.0,-800.0,1.009,2408,1146.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1146.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,MESA CAL,20,,2,1.0101,-9.98,1.1,0.9,1.1,0.9,34.037233,-118.11012
9qh3ky,2439,S,1000.0,-242.186,800.0,-800.0,1.02,2409,1666.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1666.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,MIRALOMA,20,,2,1.0198,-19.78,1.1,0.9,1.1,0.9,34.008174,-117.564527
9mumuf,2533,S,1899.0,127.613,1100.0,-820.0,1.009,2503,1999.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1999.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,S.ONOFRE,20,,2,1.0101,-25.38,1.1,0.9,1.1,0.9,33.370212,-117.557619
