name,gentype
EXXONMOBIL_OIL_TORRANCE_REFINERY,CT
TESORO_WILMINGTON_CALCINER,CT
WILMINGTON_HYDROGEN_PLANT,CT
SIMPLOT_LEASING_DON_PLANT,CT
KENNECOTT_POWER_PLANT,CT
SIMPLOT_PHOSPHATES,CT
OREG_1_INC,CT
OREG_2_INC,CT
