I,ID,PG,QG,QT,QB,VS,IREG,MBASE,ZR,ZX,RT,XT,GTAP,STAT,RMPCT,PT,PB,O1,F1,O2,F2,O3,F3,O4,F4,WMOD,WPF,NREG,gen
1232,H,657.0,0.604,628.0,-628.0,1.08,1202,1199.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1199.0,0.0,1,1.0,,,,,,,,,,Hydro
1331,H,2133.0,24.69,1219.0,-1219.0,1.045,1301,2328.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2328.0,0.0,1,1.0,,,,,,,,,,Hydro
2130,H,273.0,28.722,250.0,-250.0,1.035,2100,396.0,0.0,0.2,0.0,0.0,1.0,1,100.0,396.0,0.0,1,1.0,,,,,,,,,,Hydro
2637,H,83.0,40.647,110.0,-110.0,1.01357,2612,200.0,0.0,0.2,0.0,0.0,1.0,1,100.0,87.0,0.0,1,1.0,,,,,,,,,,Hydro
2638,H,200.0,7.74,100.0,-100.0,1.015,2608,407.0,0.0,0.2,0.0,0.0,1.0,1,100.0,407.0,0.0,1,1.0,,,,,,,,,,Hydro
3531,NH,13.0,13.0,13.0,-10.0,1.0,3501,24.0,0.0,0.2,0.0,0.0,1.0,1,100.0,24.0,0.0,1,1.0,,,,,,,,,,Hydro
3731,NH,222.0,-121.0,200.0,-121.0,1.0,3701,400.0,0.0,0.2,0.0,0.0,1.0,1,100.0,243.0,0.0,1,1.0,,,,,,,,,,Hydro
3931,NH,1212.0,72.471,1284.0,-946.0,1.07,3921,2875.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2875.0,0.0,1,1.0,,,,,,,,,,Hydro
3933,NH,1275.022,88.652,1256.0,-1041.0,1.02,3933,2774.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2724.0,0.0,1,1.0,,,,,,,,,,Hydro
4031,H,313.199,-168.528,489.0,-489.0,1.08,4001,952.0,0.0,0.2,0.0,0.0,1.0,1,100.0,952.0,0.0,1,1.0,,,,,,,,,,Hydro
4035,H,966.6,-122.614,1836.0,-1836.0,1.08,4005,3572.0,0.0,0.2,0.0,0.0,1.0,1,100.0,3572.0,0.0,1,1.0,,,,,,,,,,Hydro
4039,H,1455.3,380.224,1459.0,-1459.0,1.08,4009,2839.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2839.0,0.0,1,1.0,,,,,,,,,,Hydro
4131,H,7418.7,543.401,6482.0,-6482.0,1.128,4101,12613.0,0.0,0.2,0.0,0.0,1.0,1,100.0,12613.0,0.0,1,1.0,,,,,,,,,,Hydro
4132,H,3835.801,52.261,2847.0,-2847.0,1.096,4102,5539.0,0.0,0.2,0.0,0.0,1.0,1,100.0,5539.0,0.0,1,1.0,,,,,,,,,,Hydro
4231,H,2406.601,485.229,1808.0,-1808.0,1.12,4201,3517.0,0.0,0.2,0.0,0.0,1.0,1,100.0,3517.0,0.0,1,1.0,,,,,,,,,,Hydro
4232,H,222.3,-3.607,287.0,-287.0,1.06,4202,558.0,0.0,0.2,0.0,0.0,1.0,1,100.0,558.0,0.0,1,1.0,,,,,,,,,,Hydro
5031,H,5976.0,534.329,4399.0,-4399.0,1.05,5001,10747.0,0.0,0.2,0.0,0.0,1.0,1,100.0,10747.0,0.0,1,1.0,,,,,,,,,,Hydro
6132,H,1992.599,-387.445,1072.0,-1072.0,1.03,6102,2541.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2541.0,0.0,1,1.0,,,,,,,,,,Hydro
6235,H,1040.4,49.769,347.0,-347.0,1.05,6205,2671.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2671.0,0.0,1,1.0,,,,,,,,,,Hydro
6335,H,259.2,260.575,406.0,-406.0,1.06,6305,400.0,0.0,0.2,0.0,0.0,1.0,1,100.0,303.0,0.0,1,1.0,,,,,,,,,,Hydro
6533,H,90.0,75.0,75.0,-75.0,1.065,6503,275.0,0.0,0.2,0.0,0.0,1.0,1,100.0,275.0,0.0,1,1.0,,,,,,,,,,Hydro
7032,H,390.6,22.012,346.0,-346.0,1.015,7002,672.0,0.0,0.2,0.0,0.0,1.0,1,100.0,672.0,0.0,1,1.0,,,,,,,,,,Hydro
8033,H,1182.0,259.732,786.0,-786.0,1.075,8003,1394.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1394.0,0.0,1,1.0,,,,,,,,,,Hydro
8034,H,427.0,239.367,344.0,-344.0,1.0,8004,544.0,0.0,0.2,0.0,0.0,1.0,1,100.0,544.0,0.0,1,1.0,,,,,,,,,,Hydro
