name,type,latitude,longitude,node
"Valley Center 2",PV,33.233067,-117.001487,9mudw2
"Desert Green Solar Farm, LLC",PV,33.26524,-116.327979,9mudw2
"Solar Borrego I",PV,33.293521,-116.352258,9mudw2
"Ramona 2",PV,33.010667,-116.874251,9mudw2
"SDCWA-Twin Oaks",PV,33.210648,-117.178261,9mudw2
"Valley Center",PV,33.249653,-117.02176,9mudw2
"Granger",PV,33.269396,-117.057731,9mudw2
"Jacumba Solar Farm",PV,32.618331,-116.132302,9mudw2
"Vallecitos Water District",PV,33.210674,-117.176837,9mudw2
"Genentech-Oceanside Hybrid",PV,33.212308,-117.301917,9mudw2
"Ocotillo Wells",PV,33.081506,-116.085629,9mudw2
"Ramona 1",PV,33.010432,-116.872109,9mudw2
"Valley Center 1",PV,33.230008,-117.003108,9mudw2
"Ramona Solar Energy",PV,33.019293,-116.860202,9mudw2
"Expressway Solar C2",PV,34.584613,-117.342225,9mupsy
"Navajo Solar Power Generation Station 1, LLC",PV,34.550338,-117.192742,9mupsy
"Expressway Solar B",PV,34.58338,-117.341455,9mupsy
"Powhatan Solar Power Generation Station 1, LLC",PV,34.496399,-117.143443,9mupsy
"Expressway Solar A",PV,34.582289,-117.341622,9mupsy
"PVN Milliken, LLC",PV,34.038508,-117.565779,9mupsy
"Colton Solar Two, LLC",PV,34.042263,-117.361811,9mupsy
"Colton Solar One, LLC",PV,34.094045,-117.319013,9mupsy
"Mitchell Solar, LLC",PV,34.765216,-117.323349,9mupsy
"Otoe Solar Power Generation Station 1, LLC",PV,34.544533,-117.192798,9mupsy
"Stateline Solar",PV,35.587142,-115.428453,9mupsy
"SEPV9 Power Plant",PV,34.189891,-116.091639,9mupsy
"Newberry Solar 1, LLC",PV,34.853599,-116.683863,9mupsy
"Adelanto Solar Project",PV,34.547517,-117.440508,9mupsy
"Lone Valley Solar Park I, LLC",PV,34.398252,-116.869667,9mupsy
"RE Victor Phelan Solar One, LLC",PV,34.51231,-117.481927,9mupsy
"Victor Valley CC CPV Solar",PV,34.480112,-117.257817,9mupsy
"SEPV 2",PV,34.174111,-116.152878,9mupsy
"Crafton Hills College Solar Farm",PV,34.043323,-117.097058,9mupsy
"Rudy Solar, LLC",PV,34.766753,-117.323333,9mupsy
"Watts 3115",PV,34.601219,-117.643653,9mupsy
"SunEdison Walmart Apple Valley DC",PV,34.594302,-117.194878,9mupsy
"Cascade Solar",PV,34.166356,-116.235876,9mupsy
"Nunn",PV,34.50918,-117.153822,9mupsy
"SEPV 8",PV,34.171191,-116.153642,9mupsy
"Madelyn Solar, LLC",PV,34.768035,-117.323327,9mupsy
"Adelanto Solar II, LLC",PV,34.553839,-117.369657,9mupsy
"SCE-Snowline-White Road (South)",PV,34.412889,-117.469435,9mupsy
"SCE-Snowline-Duncan Road (South)",PV,34.471409,-117.561967,9mupsy
"Sheep Creek Community Solar Farm",PV,34.571844,-117.575966,9mupsy
"Victor Mesa Linda D2",PV,34.509602,-117.387321,9mupsy
"Victor Mesa Linda C2",PV,34.511014,-117.387081,9mupsy
"Victor Mesa Linda B2",PV,34.512587,-117.387399,9mupsy
"Victor Dry Farm Ranch A",PV,34.497624,-117.470659,9mupsy
"Victor Dry Farm Ranch B",PV,34.497824,-117.4723,9mupsy
"Sunray 3",PV,34.862847,-116.831184,9mupsy
"Sunray 2",PV,34.858925,-116.814282,9mupsy
"Lockhart Solar PV, LLC",PV,35.027723,-117.356338,9mupsy
"CA Institute for Women",PV,33.947505,-117.639748,9mupsy
"Longboat Solar, LLC",PV,34.904059,-117.103149,9mupsy
"Target Shafter",PV,34.112021,-117.273426,9mupsy
"Phelan Pinon Hills CSD Solar",PV,34.578988,-117.579412,9mupsy
"Hudson-High Desert Hybrid",PV,34.625739,-117.369334,9mupsy
"Alamo Solar",PV,34.685814,-117.345262,9mupsy
"Lone Valley Solar Park II, LLC",PV,34.406096,-116.862059,9mupsy
"Adelanto Solar, LLC",PV,34.553793,-117.377244,9mupsy
"Industry Solar Power Generation Station 1, LLC",PV,34.552307,-117.456763,9mupsy
"Coronus Adelanto West 2",PV,34.548893,-117.467441,9mupsy
"Coronus Adelanto West 1",PV,34.54982,-117.466688,9mupsy
"SCE-Snowline-White Road (North)",PV,34.418022,-117.469811,9mupsy
"SCE-Snowline-White Rd (Central)",PV,34.415766,-117.46979,9mupsy
"SCE-Snowline-Duncan Road (North)",PV,34.474054,-117.563433,9mupsy
"BCE Los Alamitos 2",PV,33.787047,-118.047406,9mupsy
"BCE Los Alamitos 1",PV,33.788017,-118.065589,9mupsy
"Arizona Western College PV",PV,32.686077,-114.495993,9mvgw4
"Crown Cooling Facility",PV,32.967109,-115.532695,9mvgw4
"Titan Solar 1 (CA)",PV,33.101457,-116.00026,9mvgw4
"Valencia 2",PV,32.910699,-115.512279,9mvgw4
"Valencia 3",PV,32.885328,-115.537213,9mvgw4
"Centinela State Prison",PV,32.825456,-115.775311,9mvgw4
"Calipatria State Prison",PV,33.166494,-115.495569,9mvgw4
"Community Solar 1",PV,32.983337,-115.481892,9mvgw4
"Mount Signal Solar Farm II",PV,32.660359,-115.629932,9mvgw4
"Wister Solar",PV,33.273731,-115.505335,9mvgw4
"Heber Solar",PV,32.714021,-115.540541,9mvgw4
"Imperial Valley Solar, LLC",PV,32.675733,-115.596466,9mvgw4
"Wistaria Ranch Solar",PV,32.661415,-115.606286,9mvgw4
"Centinela Solar Energy",PV,32.690795,-115.644149,9mvgw4
"Imperial Solar Energy Center South",PV,32.658612,-115.668611,9mvgw4
"Mount Signal Solar Farm V",PV,32.668292,-115.559746,9mvgw4
"Drew Solar LLC",PV,32.69098,-115.667807,9mvgw4
"Imperial Solar Energy Center West",PV,32.7622,-115.783372,9mvgw4
"Imperial Valley Solar Company 1, LLC",PV,33.245914,-115.495117,9mvgw4
"Midway Solar Farm III",PV,33.158419,-115.531909,9mvgw4
"IVC Solar",PV,32.831965,-115.506304,9mvgw4
"USG 2",PV,32.790409,-115.863285,9mvgw4
"Valencia 1 Solar CA",PV,33.043676,-115.627653,9mvgw4
"SEPV Imperial Dixieland East",PV,32.793446,-115.772764,9mvgw4
"SEPV Imperial Dixieland West",PV,32.793358,-115.781481,9mvgw4
"Solar Gen 2 Solar Facility",PV,33.085561,-115.471515,9mvgw4
"Midway Solar Farm I",PV,33.165607,-115.54926,9mvgw4
"Sol Orchard El Centro PV",PV,32.800989,-115.546392,9mvgw4
"Imperial Valley Solar Co (IVSC) 2, LLC",PV,33.252638,-115.497801,9mvgw4
"Calipatria Solar Farm",PV,33.165624,-115.531885,9mvgw4
"Seville 2",PV,33.109168,-116.002991,9mvgw4
"Seville 1",PV,33.116481,-116.001614,9mvgw4
"Campo Verde Solar",PV,32.745065,-115.726842,9mvgw4
"Midway Solar Farm II",PV,33.165443,-115.54063,9mvgw4
"Citizens Imperial Solar",PV,33.186401,-115.428877,9mvgw4
"USG 1",PV,32.793208,-115.857433,9mvgw4
"Hyder II Hybrid",PV,33.026566,-113.356482,9mvgw4
"Hyder Solar Hybrid",PV,33.027149,-113.348204,9mvgw4
"Foothills Solar Plant Hybrid",PV,32.6395,-114.431353,9mvgw4
"Agua Caliente Solar Project",PV,32.981357,-113.498003,9mvgw4
"Redwood Coast Airport Microgrid",PV,40.967375,-124.104405,9pr8ne
"Maclay Solar Project",PV,34.319539,-118.431426,9q5fm0
"Radiance Solar 5",PV,34.664956,-118.286848,9q5fm0
"Occidental College Solar Project",PV,34.128028,-118.206682,9q5fm0
"L-8 Solar Project",PV,34.654383,-117.973256,9q5fm0
"Little Rock Pham Solar",PV,34.600019,-117.949057,9q5fm0
"Vinam",PV,34.669019,-118.061156,9q5fm0
"Rutan",PV,34.64378,-118.162135,9q5fm0
"Arrache 8083",PV,34.647943,-118.061071,9q5fm0
"Arrache 4013",PV,34.650621,-118.051936,9q5fm0
"Heliocentric",PV,34.654388,-117.971144,9q5fm0
"TA-High Desert, LLC",PV,34.707428,-118.304671,9q5fm0
"Horn",PV,34.708588,-118.274109,9q5fm0
"Radiance Solar 4",PV,34.665582,-118.288133,9q5fm0
"Irwindale Brew Yard, LLC",PV,34.122638,-117.939375,9q5fm0
"Ma",PV,34.69513,-118.062578,9q5fm0
"AV Solar Ranch One",PV,34.792128,-118.435099,9q5fm0
"SEPV Palmdale East",PV,34.612272,-117.939586,9q5fm0
"SEPV 1",PV,34.618626,-117.939522,9q5fm0
"Division 2",PV,34.708936,-118.129736,9q5fm0
"Division 1",PV,34.708325,-118.12854,9q5fm0
"Kettering Solar 2",PV,34.701868,-118.124822,9q5fm0
"Kettering Solar 1",PV,34.701058,-118.124893,9q5fm0
"Rodeo Solar D2",PV,34.711913,-118.291986,9q5fm0
"Rodeo Solar C2",PV,34.712088,-118.290546,9q5fm0
"Lancaster Baptist Church",PV,34.696333,-118.06252,9q5fm0
"SEPV 18",PV,34.613611,-117.936188,9q5fm0
"Western Antelope Dry Ranch",PV,34.72545,-118.308755,9q5fm0
"TA-Acacia, LLC",PV,34.69278,-118.327867,9q5fm0
"Sierra Solar Greenworks",PV,34.698237,-118.337643,9q5fm0
"Elevation Solar C",PV,34.726891,-118.302936,9q5fm0
"Western Antelope Blue Sky B",PV,34.727199,-118.313086,9q5fm0
"Summer North Solar",PV,34.727542,-118.296354,9q5fm0
"Summer Solar A2",PV,34.723656,-118.293789,9q5fm0
"Lancaster Dry Farm Ranch B",PV,34.716572,-118.291834,9q5fm0
"North Lancaster Ranch",PV,34.721409,-118.311349,9q5fm0
"Lancaster WAD B",PV,34.779062,-118.19108,9q5fm0
"Arrache 4006",PV,34.655113,-118.051145,9q5fm0
"Lancaster Little Rock",PV,34.603161,-117.936631,9q5fm0
