I,ID,PG,QG,QT,QB,VS,IREG,MBASE,ZR,ZX,RT,XT,GTAP,STAT,RMPCT,PT,PB,O1,F1,O2,F2,O3,F3,O4,F4,WMOD,WPF,NREG,gen
3631,NB,30.0,-14.0,20.0,-14.0,1.015,3601,96.0,0.0,0.2,0.0,0.0,1.0,1,100.0,96.0,0.0,1,1.0,,,,,,,,,,Biomass
3931,NB,235.0,72.471,151.0,-115.0,1.07,3921,567.0,0.0,0.2,0.0,0.0,1.0,1,100.0,567.0,0.0,1,1.0,,,,,,,,,,Biomass
3933,NB,161.484,77.0,77.0,-55.0,1.02,3933,345.0,0.0,0.2,0.0,0.0,1.0,1,100.0,345.0,0.0,1,1.0,,,,,,,,,,Biomass
4131,B,450.0,150.0,150.0,-150.0,1.128,4101,711.0,0.0,0.2,0.0,0.0,1.0,1,100.0,711.0,0.0,1,1.0,,,,,,,,,,Biomass
6132,B,45.0,-20.0,20.0,-20.0,1.03,6102,122.0,0.0,0.2,0.0,0.0,1.0,1,100.0,122.0,0.0,1,1.0,,,,,,,,,,Biomass
