name,node,bus,gen,cap,cf,units
AES_ALAMITOS_LLC,wecc240_psse_N_2407,9q5bwz,CT,961.0,0.141,1
AES_ALAMITOS_LLC,wecc240_psse_N_2407,9q5bwz,ST,961.0,0.141,1
HAYNES,wecc240_psse_N_2407,9q5bwz,CC,579.7,0.085,1
HAYNES,wecc240_psse_N_2407,9q5bwz,CT,579.7,0.085,1
HAYNES,wecc240_psse_N_2407,9q5bwz,ST,579.7,0.085,1
CASTAIC,wecc240_psse_N_2608,9q5sgb,HT,1682.0,0.657,1
ORMOND_BEACH,wecc240_psse_N_2618,9q5dy2,ST,1612.0,0.864,1
DYNEGY_MOSS_LANDING_POWER_PLANT,wecc240_psse_N_3902,9q92vz,CC,699.0,0.345,1
DYNEGY_MOSS_LANDING_POWER_PLANT,wecc240_psse_N_3902,9q92vz,ST,699.0,0.345,1
AES_REDONDO_BEACH_LLC,wecc240_psse_N_2407,9q5bwz,ST,1316.4,0.193,1
GEYSERS_UNIT_5-20,wecc240_psse_N_3501,9qben2,ST,1273.0,0.713,1
LA_PALOMA_GENERATING_LLC,wecc240_psse_N_3803,9q713t,CC,1200.0,0.107,1
HELMS_PUMPED_STORAGE,wecc240_psse_N_3402,9qe6tq,HT,1053.0,0.57,1
MOUNTAINVIEW_GENERATING_STATION,wecc240_psse_N_2403,9qh8k2,CC,518.4,0.463,1
MOUNTAINVIEW_GENERATING_STATION,wecc240_psse_N_2403,9qh8k2,ST,518.4,0.463,1
ENCINA,wecc240_psse_N_2503,9mumuf,CT,499.8,0.447,1
ENCINA,wecc240_psse_N_2503,9mumuf,ST,499.8,0.447,1
DELTA_ENERGY_CENTER,wecc240_psse_N_3204,9qc26h,CC,943.5,0.298,1
SCATTERGOOD,wecc240_psse_N_2613,9q5cts,CC,292.0,0.176,1
SCATTERGOOD,wecc240_psse_N_2613,9q5cts,CT,292.0,0.176,1
SCATTERGOOD,wecc240_psse_N_2613,9q5cts,ST,292.0,0.176,1
HIGH_DESERT_POWER_PLANT,wecc240_psse_N_2603,9qhsdk,CC,852.0,0.647,1
MARSH_LANDING_GENERATING_STATION,wecc240_psse_N_3204,9qc26h,CT,828.0,0.262,1
CPV_SENTINEL_ENERGY_PROJECT,wecc240_psse_N_2400,9qj152,CT,800.0,0.17,1
PASTORIA_ENERGY_FACILITY_LLC,wecc240_psse_N_2608,9q5sgb,CC,779.0,0.304,1
SHASTA,wecc240_psse_N_8001,9r0vxp,HT,714.0,0.48,1
COLUSA_GENERATING_STATION,wecc240_psse_N_3916,9r106e,CC,712.4,0.998,1
VALLEY_CA,wecc240_psse_N_2602,9q5f6t,CC,230.2,0.195,1
VALLEY_CA,wecc240_psse_N_2602,9q5f6t,CT,230.2,0.195,1
VALLEY_CA,wecc240_psse_N_2602,9q5f6t,ST,230.2,0.195,1
OTAY_MESA_GENERATING_PROJECT,wecc240_psse_N_2201,9muccv,,689.0,0.342,1
OTAY_MESA_GENERATING_PROJECT_2,wecc240_psse_N_2201,9muccv,CC,688.5,0.342,1
LOS_MEDANOS_ENERGY_CENTER,wecc240_psse_N_3204,9qc26h,CC,678.3,0.214,1
RUSSELL_CITY_ENERGY_CENTER,wecc240_psse_N_3305,9q9jk9,CC,655.0,1.0,1
EDWARD_C_HYATT,wecc240_psse_N_3919,9r1867,HT,644.1,0.925,1
SUTTER_ENERGY_CENTER,wecc240_psse_N_3405,9qct8r,CC,636.0,0.787,1
METCALF_ENERGY_CENTER,wecc240_psse_N_3301,9q97v8,CC,635.0,0.706,1
ELK_HILLS_POWER_LLC,wecc240_psse_N_3803,9q713t,CC,623.0,0.055,1
GATEWAY_GENERATING_STATION,wecc240_psse_N_3204,9qc26h,CC,619.7,0.196,1
SUNRISE_POWER_LLC,wecc240_psse_N_3803,9q713t,CC,605.4,0.054,1
BLYTHE_ENERGY_INC,wecc240_psse_N_1403,9qndpr,CC,591.0,0.22,1
PALOMAR_ENERGY,wecc240_psse_N_2203,9mudw2,CC,559.0,0.393,1
HARBOR,wecc240_psse_N_2407,9q5bwz,CC,274.1,0.04,1
HARBOR,wecc240_psse_N_2407,9q5bwz,CT,274.1,0.04,1
EL_SEGUNDO_ENERGY_CENTER_LLC,wecc240_psse_N_2613,9q5cts,CC,537.4,0.324,1
COSUMNES,wecc240_psse_N_8004,9qcf5u,CC,530.0,0.684,1
WALNUT_CREEK_ENERGY_PARK,wecc240_psse_N_2408,9qh18k,CT,500.0,0.869,1
AES_HUNTINGTON_BEACH_LLC,wecc240_psse_N_2610,9mupsy,CT,218.0,0.164,1
AES_HUNTINGTON_BEACH_LLC,wecc240_psse_N_2610,9mupsy,ST,218.0,0.164,1
PANOCHE_ENERGY_CENTER,wecc240_psse_N_3404,9qd2ds,CT,432.0,0.622,1
W_R_GIANELLI,wecc240_psse_N_3901,9q9fy1,HT,424.0,0.361,1
WATSON_COGENERATION,wecc240_psse_N_2407,9q5bwz,CC,405.0,0.059,1
EL_CENTRO,wecc240_psse_N_2301,9mvffm,CC,129.4,0.212,1
EL_CENTRO,wecc240_psse_N_2301,9mvffm,ES,129.4,0.212,1
EL_CENTRO,wecc240_psse_N_2301,9mvffm,ST,129.4,0.212,1
MAGNOLIA_POWER_PROJECT,wecc240_psse_N_2602,9q5f6t,CC,387.6,0.328,1
TRACY_COMBINED_CYCLE_POWER_PLANT,wecc240_psse_N_3903,9q9w99,CC,336.1,0.627,1
PIO_PICO_ENERGY_CENTER,wecc240_psse_N_2201,9muccv,CT,321.0,0.16,1
COLGATE,wecc240_psse_N_3909,9qcxqg,HT,315.0,0.464,1
LOS_ESTEROS_CRITICAL_ENERGY_CENTER,wecc240_psse_N_3203,9q9m24,CC,306.1,0.383,1
GRAYSON,wecc240_psse_N_2609,9q5fm0,CC,100.3,0.056,1
GRAYSON,wecc240_psse_N_2609,9q5fm0,CT,100.3,0.056,1
GRAYSON,wecc240_psse_N_2609,9q5fm0,ST,100.3,0.056,1
WALNUT_ENERGY_CENTER,wecc240_psse_N_3901,9q9fy1,CC,300.6,0.256,1
KERN_RIVER_COGENERATION,wecc240_psse_N_3803,9q713t,CT,300.0,0.027,1
SYCAMORE_COGENERATION,wecc240_psse_N_3803,9q713t,CT,300.0,0.027,1
NEW_MELONES,wecc240_psse_N_3907,9qcbq0,HT,300.0,0.175,1
LODI_ENERGY_CENTER,wecc240_psse_N_8002,9q9wtp,CC,288.9,0.503,1
MOJAVE_SOLAR_PROJECT,wecc240_psse_N_2603,9qhsdk,ST,280.0,0.213,1
DEVIL_CANYON,wecc240_psse_N_2401,9qhe90,HT,276.2,0.894,1
WHITE_ROCK_SLAB_CREEK,wecc240_psse_N_3913,9qcggm,HT,266.5,0.234,1
GLENARM,wecc240_psse_N_2406,9q5fq8,CC,132.8,0.477,1
GLENARM,wecc240_psse_N_2406,9q5fq8,CT,132.8,0.477,1
COLLIERVILLE_POWERHOUSE,wecc240_psse_N_3907,9qcbq0,HT,253.0,0.148,1
LONG_BEACH_GENERATION_LLC,wecc240_psse_N_2407,9q5bwz,CC,126.0,0.018,1
LONG_BEACH_GENERATION_LLC,wecc240_psse_N_2407,9q5bwz,CT,126.0,0.018,1
GENESIS_SOLAR_ENERGY_PROJECT,wecc240_psse_N_2100,9mvgw4,ST,250.0,0.062,1
CROCKETT_COGEN_PROJECT,wecc240_psse_N_3205,9q9peh,CC,247.4,0.691,1
MIDWAY_SUNSET_COGEN,wecc240_psse_N_3803,9q713t,CT,234.0,0.021,1
ALMOND_POWER_PLANT,wecc240_psse_N_3907,9qcbq0,CT,223.5,0.131,1
DYNEGY_OAKLAND_POWER_PLANT,wecc240_psse_N_3101,9q8yyz,ST,223.5,0.511,1
CANYON_POWER_PLANT,wecc240_psse_N_2501,9qh0rw,CT,200.0,0.771,1
MARIPOSA_ENERGY_PROJECT,wecc240_psse_N_3903,9q9w99,CT,199.6,0.373,1
WOODLAND,wecc240_psse_N_3907,9qcbq0,CC,66.3,0.039,1
WOODLAND,wecc240_psse_N_3907,9qcbq0,CT,66.3,0.039,1
WOODLAND,wecc240_psse_N_3907,9qcbq0,IC,66.3,0.039,1
FOLSOM,wecc240_psse_N_3913,9qcggm,HT,198.6,0.174,1
RIVERSIDE_ENERGY_RESOURCE_CENTER,wecc240_psse_N_2402,9qh3ky,CT,196.0,0.288,1
SCA_COGEN_2,wecc240_psse_N_3908,9qcem3,CC,96.7,0.109,1
SCA_COGEN_2,wecc240_psse_N_3908,9qcem3,CT,96.7,0.109,1
REDDING_POWER,wecc240_psse_N_8001,9r0vxp,CC,91.5,0.061,1
REDDING_POWER,wecc240_psse_N_8001,9r0vxp,CT,91.5,0.061,1
EL_SEGUNDO_COGEN,wecc240_psse_N_2613,9q5cts,CC,180.1,0.108,1
SPRING_CREEK,wecc240_psse_N_8001,9r0vxp,HT,180.0,0.121,1
CALISTOGA_POWER_PLANT,wecc240_psse_N_3501,9qben2,ST,176.4,0.099,1
BIG_CREEK_3,wecc240_psse_N_3402,9qe6tq,HT,174.5,0.094,1
SPA_COGEN_3,wecc240_psse_N_3908,9qcem3,CC,173.9,0.197,1
DON_PEDRO,wecc240_psse_N_3907,9qcbq0,HT,170.8,0.1,1
JAMES_B_BLACK,wecc240_psse_N_3906,9r321k,HT,168.6,0.195,1
HUMBOLDT_BAY,wecc240_psse_N_3601,9pr8ne,IC,83.5,0.415,1
HUMBOLDT_BAY,wecc240_psse_N_3601,9pr8ne,ST,83.5,0.415,1
PINE_FLAT,wecc240_psse_N_3403,9qdbm8,HT,165.0,0.085,1
ROSEVILLE_ENERGY_PARK,wecc240_psse_N_3920,9qcts0,CC,164.0,0.777,1
JAYBIRD,wecc240_psse_N_3913,9qcggm,HT,161.6,0.142,1
CAMINO,wecc240_psse_N_3913,9qcggm,HT,157.8,0.138,1
DION_R_HOLM,wecc240_psse_N_3401,9qd9xh,HT,156.8,0.077,1
RICHMOND_COGEN,wecc240_psse_N_3101,9q8yyz,CC,77.8,0.178,1
RICHMOND_COGEN,wecc240_psse_N_3101,9q8yyz,ST,77.8,0.178,1
JUDGE_F_CARR,wecc240_psse_N_8001,9r0vxp,HT,154.4,0.104,1
DONALD_VON_RAESFELD_POWER_PLANT,wecc240_psse_N_3203,9q9m24,CC,154.0,0.193,1
INDIGO_ENERGY_FACILITY,wecc240_psse_N_2400,9qj152,CT,149.7,0.032,1
POE,wecc240_psse_N_3905,9r13pb,HT,142.8,0.153,1
MCCLURE,wecc240_psse_N_3907,9qcbq0,CT,71.2,0.042,1
MCCLURE,wecc240_psse_N_3907,9qcbq0,ST,71.2,0.042,1
PIT_5,wecc240_psse_N_3906,9r321k,HT,141.6,0.164,1
TRINITY,wecc240_psse_N_8001,9r0vxp,HT,140.0,0.094,1
MIDWAY_PEAKING_LLC,wecc240_psse_N_3404,9qd2ds,CT,139.8,0.201,1
KERCKHOFF_2,wecc240_psse_N_3401,9qd9xh,HT,139.5,0.069,1
GILROY_PEAKING_ENERGY_CENTER,wecc240_psse_N_3301,9q97v8,CT,135.0,0.15,1
HAAS,wecc240_psse_N_3402,9qe6tq,HT,135.0,0.073,1
IVANPAH_3,wecc240_psse_N_2901,9qq5wv,ST,133.4,0.204,1
IVANPAH_2,wecc240_psse_N_2901,9qq5wv,ST,133.4,0.204,1
KING_CITY_POWER_PLANT,wecc240_psse_N_3902,9q92vz,CC,133.2,0.066,1
IVANPAH_1,wecc240_psse_N_2901,9qq5wv,ST,133.0,0.203,1
MALBURG,wecc240_psse_N_2605,9q5cw0,CC,130.0,0.917,1
GILROY_POWER_PLANT,wecc240_psse_N_3301,9q97v8,CC,130.0,0.144,1
ROCK_CREEK,wecc240_psse_N_3905,9r13pb,HT,126.0,0.135,1
CARSON_ICE-GEN_PROJECT,wecc240_psse_N_3908,9qcem3,CC,62.8,0.071,1
CARSON_ICE-GEN_PROJECT,wecc240_psse_N_3908,9qcem3,CT,62.8,0.071,1
MIDDLE_FORK,wecc240_psse_N_3913,9qcggm,HT,122.4,0.107,1
KINGS_RIVER,wecc240_psse_N_3403,9qdbm8,CT,121.0,0.062,1
NILAND_GAS_TURBINE_PLANT,wecc240_psse_N_2100,9mvgw4,CT,121.0,0.03,1
RIPON_GENERATION_STATION,wecc240_psse_N_8002,9q9wtp,CT,121.0,0.211,1
PARKER_DAM,wecc240_psse_N_1403,9qndpr,HT,120.0,0.045,1
ORANGE_GROVE_PEAKING_FACILITY,wecc240_psse_N_2503,9mumuf,CT,118.0,0.106,1
CARIBOU_2,wecc240_psse_N_3905,9r13pb,HT,117.9,0.126,1
BELDEN,wecc240_psse_N_3905,9r13pb,HT,117.9,0.126,1
KESWICK,wecc240_psse_N_8001,9r0vxp,HT,117.0,0.079,1
R_C_KIRKWOOD,wecc240_psse_N_3401,9qd9xh,HT,115.5,0.057,1
THERMALITO,wecc240_psse_N_3905,9r13pb,HT,115.1,0.123,1
FOSTER_WHEELER_MARTINEZ,wecc240_psse_N_3201,9qc0p1,CC,113.5,0.271,1
GEOTHERMAL_1,wecc240_psse_N_3501,9qben2,ST,110.0,0.062,1
GEOTHERMAL_2,wecc240_psse_N_3501,9qben2,ST,110.0,0.062,1
PIT_7,wecc240_psse_N_3906,9r321k,HT,109.8,0.127,1
HARBOR_COGEN,wecc240_psse_N_2407,9q5bwz,CC,107.4,0.016,1
MIRAMAR_ENERGY_FACILITY,wecc240_psse_N_2203,9mudw2,CT,106.0,0.075,1
PIT_4,wecc240_psse_N_3906,9r321k,HT,103.4,0.119,1
ELECTRA,wecc240_psse_N_8004,9qcf5u,HT,102.5,0.132,1
MOCCASIN,wecc240_psse_N_3907,9qcbq0,HT,100.0,0.058,1
MARTINEZ_REFINING,wecc240_psse_N_3201,9qc0p1,CC,50.0,0.119,1
MARTINEZ_REFINING,wecc240_psse_N_3201,9qc0p1,ST,50.0,0.119,1
BIG_CREEK_4,wecc240_psse_N_3401,9qd9xh,HT,100.0,0.049,1
LARKSPUR_ENERGY_FACILITY,wecc240_psse_N_2201,9muccv,CT,99.8,0.05,1
HENRIETTA_PEAKER,wecc240_psse_N_3802,9q6tde,CT,98.0,0.878,1
BALCH_2,wecc240_psse_N_3402,9qe6tq,HT,97.2,0.053,1
EXCHEQUER,wecc240_psse_N_3401,9qd9xh,HT,94.5,0.047,1
SOUTH_BELRIDGE_COGENERATION_FACILITY,wecc240_psse_N_3803,9q713t,CT,94.2,0.008,1
COACHELLA,wecc240_psse_N_2400,9qj152,CT,92.4,0.02,1
COSO_FINANCE_PARTNERS,wecc240_psse_N_2902,9q5zqv,ST,92.2,0.212,1
HANFORD_ENERGY_PARK_PEAKER,wecc240_psse_N_3403,9qdbm8,CT,92.2,0.048,1
SEGS_IX,wecc240_psse_N_2603,9qhsdk,ST,92.0,0.07,1
SEGS_VIII,wecc240_psse_N_2603,9qhsdk,ST,92.0,0.07,1
COSO_POWER_DEVELOPERS,wecc240_psse_N_2902,9q5zqv,ST,90.0,0.207,1
COSO_ENERGY_DEVELOPERS,wecc240_psse_N_2902,9q5zqv,ST,90.0,0.207,1
BIG_CREEK_1,wecc240_psse_N_3402,9qe6tq,HT,88.4,0.048,1
EQUILON_LOS_ANGELES_REFINING,wecc240_psse_N_2407,9q5bwz,ST,83.0,0.012,1
FRESNO_COGEN_PARTNERS,wecc240_psse_N_3401,9qd9xh,CC,41.3,0.02,1
FRESNO_COGEN_PARTNERS,wecc240_psse_N_3401,9qd9xh,CT,41.3,0.02,1
STANISLAUS,wecc240_psse_N_3907,9qcbq0,HT,81.9,0.048,1
PIT_3,wecc240_psse_N_3906,9r321k,HT,80.1,0.093,1
SECOND_IMPERIAL_GEOTHERMAL,wecc240_psse_N_2301,9mvffm,ST,80.0,0.131,1
RALSTON,wecc240_psse_N_3913,9qcggm,HT,79.2,0.069,1
PIT_6,wecc240_psse_N_3906,9r321k,HT,79.2,0.091,1
SONOMA_CALIFORNIA_GEOTHERMAL,wecc240_psse_N_3501,9qben2,ST,78.0,0.044,1
MCCLELLAN_CA,wecc240_psse_N_3908,9qcem3,CT,77.0,0.087,1
W_E_WARNE,wecc240_psse_N_2608,9q5sgb,HT,74.2,0.029,1
LOON_LAKE,wecc240_psse_N_3701,9r4bc7,HT,74.1,0.163,1
CARIBOU_1,wecc240_psse_N_3905,9r13pb,HT,73.8,0.079,1
CRESTA,wecc240_psse_N_3905,9r13pb,HT,73.8,0.079,1
DONNELLS,wecc240_psse_N_3907,9qcbq0,HT,72.0,0.042,1
SAN_FRANCISQUITO_1,wecc240_psse_N_2410,9q5evq,HT,69.3,0.623,1
PIT_1,wecc240_psse_N_3906,9r321k,HT,69.2,0.08,1
OXNARD,wecc240_psse_N_2618,9q5dy2,CT,68.7,0.037,1
LOS_ANGELES_REFINERY_WILMINGTON,wecc240_psse_N_2407,9q5bwz,ST,68.5,0.01,1
BUCKS_CREEK,wecc240_psse_N_3905,9r13pb,HT,66.0,0.071,1
SAN_GABRIEL_FACILITY,wecc240_psse_N_2402,9qh3ky,CT,33.0,0.049,1
SAN_GABRIEL_FACILITY,wecc240_psse_N_2402,9qh3ky,ES,33.0,0.049,1
GIANERA,wecc240_psse_N_3203,9q9m24,CT,64.6,0.081,1
NORTH_BRAWLEY_GEOTHERMAL_PLANT,wecc240_psse_N_2100,9mvgw4,ST,64.0,0.016,1
ARGUS_COGEN_PLANT,wecc240_psse_N_2902,9q5zqv,ST,62.5,0.144,1
HEBER_GEOTHERMAL,wecc240_psse_N_2301,9mvffm,ST,62.5,0.102,1
MT_POSO_COGENERATION,wecc240_psse_N_3803,9q713t,ST,62.0,0.006,1
ALGONQUIN_POWER_SANGER_LLC,wecc240_psse_N_3403,9qdbm8,CC,61.5,0.032,1
LAKE_ONE,wecc240_psse_N_2602,9q5f6t,CT,60.5,0.051,1
CALPEAK_POWER_VACA_DIXON_PEAKER_PLANT,wecc240_psse_N_3904,9qc63x,CT,60.5,0.045,1
CALPEAK_POWER_PANOCHE_PEAKER_PLANT,wecc240_psse_N_3404,9qd2ds,CT,60.5,0.087,1
AGUA_MANSA_POWER_PLANT,wecc240_psse_N_2402,9qh3ky,CT,60.5,0.089,1
CALPEAK_POWER_BORDER_PEAKER_PLANT,wecc240_psse_N_2201,9muccv,CT,60.5,0.03,1
CENTER_PEAKER,wecc240_psse_N_2407,9q5bwz,CT,29.9,0.004,1
CENTER_PEAKER,wecc240_psse_N_2407,9q5bwz,ES,29.9,0.004,1
GRAPELAND_PEAKER,wecc240_psse_N_2402,9qh3ky,CT,29.9,0.044,1
GRAPELAND_PEAKER,wecc240_psse_N_2402,9qh3ky,ES,29.9,0.044,1
WOODLEAF,wecc240_psse_N_3909,9qcxqg,HT,59.0,0.087,1
CALPEAK_POWER_ENTERPRISE_PEAKER_PLANT,wecc240_psse_N_2203,9mudw2,CT,58.9,0.041,1
SALTON_SEA_POWER_LLC_-_UNIT_5,wecc240_psse_N_2100,9mvgw4,ST,58.3,0.014,1
ELLWOOD,wecc240_psse_N_3803,9q713t,CT,58.0,0.005,1
THUMS,wecc240_psse_N_2407,9q5bwz,CT,57.4,0.008,1
CARSON_COGENERATION,wecc240_psse_N_2407,9q5bwz,CC,55.8,0.008,1
DESERT_VIEW_POWER,wecc240_psse_N_2400,9qj152,ST,55.5,0.012,1
NAVAL_STATION_ENERGY_FACILITY,wecc240_psse_N_2203,9mudw2,CC,55.2,0.039,1
JOHN_L_FEATHERSTONE_PLANT,wecc240_psse_N_2100,9mvgw4,ST,55.0,0.014,1
WHEELABRATOR_SHASTA,wecc240_psse_N_3911,9r1jcf,ST,54.9,0.213,1
PHILLIPS_66_RODEO_REFINERY,wecc240_psse_N_3205,9q9peh,ST,54.9,0.153,1
ALAMEDA,wecc240_psse_N_3101,9q8yyz,CT,54.8,0.125,1
STOCKTON_BIOMASS,wecc240_psse_N_8002,9q9wtp,ST,54.0,0.094,1
SALTON_SEA_POWER_GEN_CO_-_UNIT_3,wecc240_psse_N_2100,9mvgw4,ST,53.9,0.013,1
DRUM_2,wecc240_psse_N_3909,9qcxqg,HT,53.1,0.078,1
TIGER_CREEK,wecc240_psse_N_8004,9qcf5u,HT,52.2,0.067,1
GOAL_LINE_LP,wecc240_psse_N_2203,9mudw2,CC,51.4,0.036,1
VALERO_REFINERY_COGENERATION_UNIT_1,wecc240_psse_N_3201,9qc0p1,CT,51.0,0.122,1
PUENTE_HILLS_ENERGY_RECOVERY,wecc240_psse_N_2408,9qh18k,CT,50.0,0.087,1
COMBUSTION_TURBINE_PROJECT_NO_2,wecc240_psse_N_8002,9q9wtp,CT,50.0,0.087,1
ESCONDIDO_POWER_PLANT,wecc240_psse_N_2203,9mudw2,CT,49.9,0.035,1
PANOCHE_PEAKER,wecc240_psse_N_3404,9qd2ds,CT,49.9,0.072,1
EL_CAJON_ENERGY_CENTER,wecc240_psse_N_2201,9muccv,CT,49.9,0.025,1
MCGRATH_PEAKER,wecc240_psse_N_2618,9q5dy2,CT,49.8,0.027,1
KERN_FRONT,wecc240_psse_N_3803,9q713t,CT,49.8,0.004,1
ROCKWOOD,wecc240_psse_N_2301,9mvffm,CT,24.9,0.041,1
ROCKWOOD,wecc240_psse_N_2301,9mvffm,ST,24.9,0.041,1
WALNUT,wecc240_psse_N_3901,9q9fy1,CT,49.8,0.042,1
BARRE_PEAKER,wecc240_psse_N_2610,9mupsy,CT,49.8,0.038,1
DOUBLE_C,wecc240_psse_N_3803,9q713t,CT,49.8,0.004,1
HIGH_SIERRA,wecc240_psse_N_3803,9q713t,CT,49.8,0.004,1
MIRA_LOMA_PEAKER,wecc240_psse_N_2402,9qh3ky,CT,49.8,0.073,1
CHOWCHILLA_II,wecc240_psse_N_3401,9qd9xh,IC,49.6,0.024,1
RIPON_MILL,wecc240_psse_N_8002,9q9wtp,CT,49.5,0.086,1
EXXONMOBIL_OIL_TORRANCE_REFINERY,wecc240_psse_N_2407,9q5bwz,CT,24.6,0.004,1
EXXONMOBIL_OIL_TORRANCE_REFINERY,wecc240_psse_N_2407,9q5bwz,CT,24.6,0.004,1
DRUM_1,wecc240_psse_N_3909,9qcxqg,HT,49.2,0.073,1
CLEARWATER_POWER_PLANT,wecc240_psse_N_2402,9qh3ky,CC,49.0,0.072,1
YUBA_CITY_COGEN_PARTNERS,wecc240_psse_N_3405,9qct8r,CT,49.0,0.061,1
KERN_RIVER_EASTRIDGE_COGEN,wecc240_psse_N_3803,9q713t,CT,48.8,0.004,1
CUYAMACA_PEAK_ENERGY_PLANT,wecc240_psse_N_2201,9muccv,CT,48.7,0.024,1
KINGS_RIVER_PH,wecc240_psse_N_3402,9qe6tq,HT,48.6,0.026,1
