name,node,bus,gen,cap,cf,units
PALO_VERDE,wecc240_psse_N_1401,9mzqxj,ST,4209.6,0.365,1
SPRINGERVILLE,wecc240_psse_N_1101,9w1zzg,ST,1779.2,0.381,1
SANTAN,wecc240_psse_N_1402,9w01f3,CC,1326.0,0.146,1
HARQUAHALA_GENERATING_PROJECT,wecc240_psse_N_1401,9mzqxj,CC,1325.1,0.115,1
GLEN_CANYON_DAM,wecc240_psse_N_1202,9w94m0,HT,1312.0,1.0,1
WEST_PHOENIX,wecc240_psse_N_1402,9w01f3,CC,402.5,0.044,1
WEST_PHOENIX,wecc240_psse_N_1402,9w01f3,CT,402.5,0.044,1
WEST_PHOENIX,wecc240_psse_N_1402,9w01f3,ST,402.5,0.044,1
RED_HAWK,wecc240_psse_N_1401,9mzqxj,CC,1140.3,0.099,1
HOOVER_DAM_AZ,wecc240_psse_N_1301,9qqk6u,HT,1039.4,0.287,1
CHOLLA,wecc240_psse_N_1102,9w1wf0,ST,839.9,0.435,1
CORONADO,wecc240_psse_N_1101,9w1zzg,ST,821.8,0.176,1
COOLIDGE_GENERATION_STATION,wecc240_psse_N_1402,9w01f3,CT,726.0,0.08,1
ARLINGTON_VALLEY_ENERGY_FACILITY,wecc240_psse_N_1401,9mzqxj,CC,713.0,0.062,1
SOUTH_POINT_ENERGY_CENTER,wecc240_psse_N_1403,9qndpr,CC,708.0,0.264,1
MESQUITE_GENERATING_STATION_BLOCK_1,wecc240_psse_N_1401,9mzqxj,CC,691.6,0.06,1
MESQUITE_GENERATING_STATION_BLOCK_2,wecc240_psse_N_1401,9mzqxj,CC,691.6,0.06,1
APACHE_STATION,wecc240_psse_N_1102,9w1wf0,CT,330.4,0.171,1
APACHE_STATION,wecc240_psse_N_1102,9w1wf0,ST,330.4,0.171,1
GRIFFITH_ENERGY_LLC,wecc240_psse_N_1403,9qndpr,CC,655.0,0.244,1
DESERT_BASIN,wecc240_psse_N_1402,9w01f3,CC,646.1,0.071,1
GILA_RIVER_POWER_BLOCK_2,wecc240_psse_N_1401,9mzqxj,CC,619.0,0.054,1
GILA_RIVER_POWER_BLOCK_3,wecc240_psse_N_1401,9mzqxj,CC,619.0,0.054,1
GILA_RIVER_POWER_STATION,wecc240_psse_N_1401,9mzqxj,CC,619.0,0.054,1
SUNDEVIL_POWER_HOLDINGS_-_GILA_RIVER,wecc240_psse_N_1401,9mzqxj,CC,619.0,0.054,1
AGUA_FRIA,wecc240_psse_N_1402,9w01f3,CT,306.8,0.034,1
AGUA_FRIA,wecc240_psse_N_1402,9w01f3,ST,306.8,0.034,1
SUNDANCE,wecc240_psse_N_1402,9w01f3,CT,605.0,0.067,1
KYRENE,wecc240_psse_N_1402,9w01f3,CC,191.2,0.021,1
KYRENE,wecc240_psse_N_1402,9w01f3,CT,191.2,0.021,1
KYRENE,wecc240_psse_N_1402,9w01f3,ST,191.2,0.021,1
H_WILSON_SUNDT_GENERATING_STATION,wecc240_psse_N_1402,9w01f3,CT,279.2,0.031,1
H_WILSON_SUNDT_GENERATING_STATION,wecc240_psse_N_1402,9w01f3,ST,279.2,0.031,1
YUCCA,wecc240_psse_N_2100,9mvgw4,CT,212.5,0.052,1
YUCCA,wecc240_psse_N_2100,9mvgw4,ST,212.5,0.052,1
OCOTILLO,wecc240_psse_N_1402,9w01f3,CT,166.7,0.018,1
OCOTILLO,wecc240_psse_N_1402,9w01f3,ST,166.7,0.018,1
SOLANA_GENERATING_STATION,wecc240_psse_N_1401,9mzqxj,ES,280.0,0.024,1
DAVIS_DAM,wecc240_psse_N_2901,9qq5wv,HT,254.8,0.389,1
SAGUARO,wecc240_psse_N_1402,9w01f3,CT,92.2,0.01,1
SAGUARO,wecc240_psse_N_1402,9w01f3,ST,92.2,0.01,1
HORSE_MESA,wecc240_psse_N_1402,9w01f3,HT,129.5,0.014,1
BLACK_MOUNTAIN_GENERATING_STATION,wecc240_psse_N_1403,9qndpr,CT,121.0,0.045,1
NORTH_LOOP,wecc240_psse_N_1402,9w01f3,CT,107.8,0.012,1
DEMOSS_PETRIE,wecc240_psse_N_1402,9w01f3,CT,85.0,0.009,1
MORMON_FLAT,wecc240_psse_N_1402,9w01f3,HT,63.5,0.007,1
YUMA_COGENERATION_ASSOCIATES,wecc240_psse_N_2100,9mvgw4,CC,62.6,0.015,1
WADDELL,wecc240_psse_N_1402,9w01f3,HT,40.0,0.004,1
ROOSEVELT,wecc240_psse_N_1402,9w01f3,HT,36.0,0.004,1
NOVO_BIOPOWER_PLANT,wecc240_psse_N_1102,9w1wf0,ST,27.2,0.014,1
DOUGLAS,wecc240_psse_N_1102,9w1wf0,ST,26.1,0.014,1
HEADGATE_ROCK,wecc240_psse_N_1403,9qndpr,HT,19.5,0.007,1
STEWART_MOUNTAIN,wecc240_psse_N_1402,9w01f3,HT,13.0,0.001,1
IRON_HORSE_BATTERY_STORAGE,wecc240_psse_N_1402,9w01f3,ES,12.0,0.001,1
PIMA_ENERGY_STORAGE_SYSTEM,wecc240_psse_N_1402,9w01f3,ES,10.0,0.001,1
DIABLO_CANYON,wecc240_psse_N_3801,9q603v,ST,2323.0,1.0,1
