bus,gen,cap,cf,units
9mudw2,PV,132.8,0.0,14
9mupsy,PV,765.1,0.0,54
9mvgw4,PV,2332.67,0.0,40
9pr8ne,PV,1.8,0.0,1
9q5fm0,PV,1491.42,0.0,78
9q5sgb,PV,3.7,0.0,1
9q613c,PV,846.8,0.0,7
9q713t,PV,3731.2,0.0,96
9q8yyc,PV,4.5,0.0,1
9q8yyz,PV,3.0,0.0,1
9q92vz,PV,430.1,0.0,8
9q9fy1,PV,334.1,0.0,8
9q9hq4,PV,7.0,0.0,3
9q9m24,PV,4.9,0.0,2
9q9wtp,PV,7.0,0.0,4
9qben2,PV,13.8,0.0,8
9qc0p1,PV,40.5,0.0,7
9qc63x,PV,39.0,0.0,13
9qcbq0,PV,92.2,0.0,6
9qcem3,PV,313.58,0.0,31
9qcggm,PV,4.3,0.0,3
9qct8r,PV,1.3,0.0,1
9qd9xh,PV,1232.0,0.0,49
9qdbm8,PV,1435.23,0.0,55
9qe6tq,PV,7.0,0.0,3
9qj152,PV,2926.84,0.0,42
9qndpr,PV,107.3,0.0,7
9qqk6u,PV,2578.09,0.0,29
9qw0kp,PV,116.0,0.0,3
9r106e,PV,1.5,0.0,1
9r13pb,PV,7.1,0.0,3
9r1jcf,PV,11.4,0.0,2
9r3wzq,PV,191.0,0.0,20
9r4bc7,PV,303.34,0.0,12
9r88yx,PV,19.9,0.0,2
9rb6wg,PV,164.0,0.0,62
9rcvn1,PV,115.7,0.0,7
9rg8bx,PV,136.2,0.0,16
9rkf69,PV,101.0,0.0,1
9rpbwn,PV,120.0,0.0,3
9rwgcr,PV,342.0,0.0,8
9rx7st,PV,40.0,0.0,2
9w01f3,PV,1795.58,0.0,50
9w1wf0,PV,198.5,0.0,6
9w1zzg,PV,312.34,0.0,19
9wbmjr,PV,1096.58,0.0,29
9wdb95,PV,72.0,0.0,5
9we1bp,PV,358.0,0.0,34
9wve62,PV,1909.17,0.0,85
9x0gc5,PV,180.0,0.0,2
9x0ryy,PV,1.3,0.0,1
9x3mfn,PV,57.6,0.0,1
9x47er,PV,18.6,0.0,5
9x5w98,PV,18.8,0.0,8
9x6z6m,PV,80.0,0.0,1
9xkgmv,PV,165.0,0.0,39
c245ue,PV,172.0,0.0,2
c26crp,PV,88.4,0.0,6
c2r8x7,PV,86.0,0.0,3
c82vu4,PV,8.0,0.0,3
c8h5zm,PV,83.0,0.0,2
