name,type,latitude,longitude,node
"Tule",WT,32.760899,-116.29908,9mudw2
"Kumeyaay Phase I",WT,32.725296,-116.346985,9mudw2
"Kumeyaay Phase I",WT,32.707096,-116.330589,9mudw2
"Kumeyaay Phase I",WT,32.717796,-116.34079,9mudw2
"Kumeyaay Phase I",WT,32.730595,-116.345688,9mudw2
"Kumeyaay Phase I",WT,32.72879,-116.346115,9mudw2
"Tule",WT,32.749065,-116.284233,9mudw2
"Tule",WT,32.777653,-116.333107,9mudw2
"Tule",WT,32.78981,-116.329414,9mudw2
"Tule",WT,32.722862,-116.276443,9mudw2
"Kumeyaay Phase I",WT,32.708195,-116.331787,9mudw2
"Tule",WT,32.774254,-116.306526,9mudw2
"Tule",WT,32.772335,-116.300179,9mudw2
"Tule",WT,32.738239,-116.263664,9mudw2
"Tule",WT,32.787628,-116.328232,9mudw2
"Tule",WT,32.785423,-116.327248,9mudw2
"Tule",WT,32.783554,-116.313568,9mudw2
"Tule",WT,32.780209,-116.333061,9mudw2
"Tule",WT,32.772171,-116.296799,9mudw2
"Kumeyaay Phase I",WT,32.733913,-116.344841,9mudw2
"Kumeyaay Phase I",WT,32.732296,-116.34539,9mudw2
"Kumeyaay Phase I",WT,32.713997,-116.337685,9mudw2
"Golden Acorn Casino",WT,32.701496,-116.351318,9mudw2
"Kumeyaay Phase I",WT,32.705894,-116.329491,9mudw2
"Kumeyaay Phase I",WT,32.715294,-116.338692,9mudw2
"Tule",WT,32.785416,-116.317375,9mudw2
"Kumeyaay Phase I",WT,32.727097,-116.346786,9mudw2
"Kumeyaay Phase I",WT,32.712795,-116.336586,9mudw2
"Tule",WT,32.72707,-116.251144,9mudw2
"Tule",WT,32.784554,-116.339249,9mudw2
"Tule",WT,32.782314,-116.334854,9mudw2
"Tule",WT,32.720901,-116.275017,9mudw2
"Tule",WT,32.776768,-116.294472,9mudw2
"Tule",WT,32.725357,-116.277275,9mudw2
"Tule",WT,32.789234,-116.320778,9mudw2
"Tule",WT,32.736179,-116.282692,9mudw2
"Tule",WT,32.778351,-116.30619,9mudw2
"Tule",WT,32.742283,-116.280434,9mudw2
"Tule",WT,32.810207,-116.338966,9mudw2
"Tule",WT,32.777542,-116.297516,9mudw2
"Kumeyaay Phase I",WT,32.710495,-116.33419,9mudw2
"Tule",WT,32.770554,-116.288452,9mudw2
"Tule",WT,32.747116,-116.282875,9mudw2
"Tule",WT,32.769958,-116.285515,9mudw2
"Tule",WT,32.775333,-116.332047,9mudw2
"Kumeyaay Phase I",WT,32.716595,-116.339691,9mudw2
"Tule",WT,32.731361,-116.281334,9mudw2
"Kumeyaay Phase I",WT,32.711697,-116.335289,9mudw2
"Tule",WT,32.808048,-116.337692,9mudw2
"Tule",WT,32.735565,-116.264275,9mudw2
"Tule",WT,32.745228,-116.28109,9mudw2
"Tule",WT,32.772964,-116.303329,9mudw2
"Tule",WT,32.758354,-116.298508,9mudw2
"Tule",WT,32.750587,-116.286171,9mudw2
"Kumeyaay Phase I",WT,32.702396,-116.326187,9mudw2
"Tule",WT,32.726929,-116.254211,9mudw2
"Kumeyaay Phase I",WT,32.709293,-116.333092,9mudw2
"Kumeyaay Phase I",WT,32.703495,-116.327385,9mudw2
"Tule",WT,32.787563,-116.319183,9mudw2
"Tule",WT,32.80608,-116.336044,9mudw2
"Tule",WT,32.729149,-116.255173,9mudw2
"Tule",WT,32.727028,-116.278801,9mudw2
"Tule",WT,32.793793,-116.324547,9mudw2
"Tule",WT,32.765369,-116.279617,9mudw2
"Tule",WT,32.767384,-116.280518,9mudw2
"Tule",WT,32.73394,-116.281975,9mudw2
"Tule",WT,32.778614,-116.300552,9mudw2
"Tule",WT,32.763577,-116.275726,9mudw2
"Tule",WT,32.773628,-116.317253,9mudw2
"Tule",WT,32.771603,-116.294441,9mudw2
"Tule",WT,32.763645,-116.298752,9mudw2
"Kumeyaay Phase I",WT,32.723995,-116.345985,9mudw2
"Tule",WT,32.739479,-116.281921,9mudw2
"Kumeyaay Phase I",WT,32.722897,-116.344788,9mudw2
"Tule",WT,32.767395,-116.28511,9mudw2
"Tule",WT,32.791683,-116.322693,9mudw2
"Tule",WT,32.718918,-116.273338,9mudw2
"Kumeyaay Phase I",WT,32.721695,-116.343689,9mudw2
"Tule",WT,32.729,-116.280281,9mudw2
"Kumeyaay Phase I",WT,32.704697,-116.328384,9mudw2
"Kumeyaay Phase I",WT,32.720367,-116.342712,9mudw2
"Tule",WT,32.771351,-116.290787,9mudw2
"Kumeyaay Phase I",WT,32.719093,-116.341789,9mudw2
"Cemex Black Mountain Quarry",WT,34.623199,-117.112556,9mupsy
"Inland Empire Utility Agency",WT,34.084896,-117.52639,9mupsy
"Barstow Marine Logistics Base",WT,34.862396,-116.959785,9mupsy
"Cemex River Plant",WT,34.561996,-117.30719,9mupsy
"Cemex River Plant",WT,34.560097,-117.305885,9mupsy
"Cemex Black Mountain Quarry",WT,34.621078,-117.11113,9mupsy
"Victorville Wind Project",WT,34.557693,-117.358292,9mupsy
"Ocotillo Wind I",WT,32.760593,-116.050491,9mvgw4
"Ocotillo Wind I",WT,32.758396,-116.05629,9mvgw4
"Ocotillo Wind I",WT,32.734596,-116.053688,9mvgw4
"Ocotillo Wind I",WT,32.731297,-116.083389,9mvgw4
"Ocotillo Wind I",WT,32.744293,-116.051285,9mvgw4
"Ocotillo Wind I",WT,32.736496,-116.031792,9mvgw4
"Ocotillo Wind I",WT,32.760094,-116.071991,9mvgw4
"Ocotillo Wind I",WT,32.736095,-116.079887,9mvgw4
"Ocotillo Wind I",WT,32.766796,-116.028885,9mvgw4
"Ocotillo Wind I",WT,32.767395,-116.041985,9mvgw4
"Ocotillo Wind I",WT,32.760296,-115.981789,9mvgw4
"Ocotillo Wind I",WT,32.747795,-116.071686,9mvgw4
"Ocotillo Wind I",WT,32.755295,-116.078491,9mvgw4
"Ocotillo Wind I",WT,32.765396,-116.006989,9mvgw4
"Ocotillo Wind I",WT,32.740993,-116.048187,9mvgw4
"Ocotillo Wind I",WT,32.732895,-116.076889,9mvgw4
"Ocotillo Wind I",WT,32.767094,-115.992287,9mvgw4
"Ocotillo Wind I",WT,32.748295,-116.060684,9mvgw4
"Ocotillo Wind I",WT,32.759193,-116.033287,9mvgw4
"Ocotillo Wind I",WT,32.762596,-115.976791,9mvgw4
"Ocotillo Wind I",WT,32.735596,-116.099991,9mvgw4
"Ocotillo Wind I",WT,32.760296,-116.011688,9mvgw4
"Ocotillo Wind I",WT,32.761993,-115.996086,9mvgw4
"Ocotillo Wind I",WT,32.763294,-115.999191,9mvgw4
"Ocotillo Wind I",WT,32.749096,-116.053391,9mvgw4
"Ocotillo Wind I",WT,32.767094,-116.008492,9mvgw4
"Ocotillo Wind I",WT,32.745193,-116.060585,9mvgw4
"Ocotillo Wind I",WT,32.734196,-116.06739,9mvgw4
"Ocotillo Wind I",WT,32.763893,-116.038986,9mvgw4
"Ocotillo Wind I",WT,32.764095,-115.98819,9mvgw4
"Ocotillo Wind I",WT,32.765594,-115.98999,9mvgw4
"Ocotillo Wind I",WT,32.709595,-115.986389,9mvgw4
"Ocotillo Wind I",WT,32.749596,-116.061989,9mvgw4
"Ocotillo Wind I",WT,32.735096,-116.077896,9mvgw4
"Ocotillo Wind I",WT,32.738495,-116.056389,9mvgw4
"Ocotillo Wind I",WT,32.756496,-116.069489,9mvgw4
"Ocotillo Wind I",WT,32.754894,-116.046387,9mvgw4
"Ocotillo Wind I",WT,32.731396,-116.067085,9mvgw4
"Ocotillo Wind I",WT,32.711555,-115.993088,9mvgw4
"Ocotillo Wind I",WT,32.746815,-116.051895,9mvgw4
"Ocotillo Wind I",WT,32.727997,-116.071487,9mvgw4
"Ocotillo Wind I",WT,32.736496,-116.055084,9mvgw4
"Ocotillo Wind I",WT,32.737797,-116.090691,9mvgw4
"Ocotillo Wind I",WT,32.765194,-116.041389,9mvgw4
"Ocotillo Wind I",WT,32.739994,-116.058891,9mvgw4
"Ocotillo Wind I",WT,32.741493,-116.084785,9mvgw4
"Ocotillo Wind I",WT,32.737694,-116.068291,9mvgw4
"Ocotillo Wind I",WT,32.761295,-115.971886,9mvgw4
"Ocotillo Wind I",WT,32.760395,-116.03569,9mvgw4
"Ocotillo Wind I",WT,32.765293,-115.970688,9mvgw4
"Ocotillo Wind I",WT,32.763996,-116.014885,9mvgw4
"Ocotillo Wind I",WT,32.733196,-116.040886,9mvgw4
"Ocotillo Wind I",WT,32.740894,-116.069489,9mvgw4
"Ocotillo Wind I",WT,32.758194,-116.070686,9mvgw4
"Ocotillo Wind I",WT,32.745995,-116.045486,9mvgw4
"Ocotillo Wind I",WT,32.751793,-116.088989,9mvgw4
"Ocotillo Wind I",WT,32.71833,-116.002792,9mvgw4
"Ocotillo Wind I",WT,32.729595,-116.073189,9mvgw4
"Ocotillo Wind I",WT,32.751095,-116.05529,9mvgw4
"Ocotillo Wind I",WT,32.758995,-116.022186,9mvgw4
"Ocotillo Wind I",WT,32.731895,-116.039185,9mvgw4
"Ocotillo Wind I",WT,32.720196,-115.990387,9mvgw4
"Ocotillo Wind I",WT,32.763794,-116.065186,9mvgw4
"Ocotillo Wind I",WT,32.763195,-116.020187,9mvgw4
"Ocotillo Wind I",WT,32.763996,-115.978889,9mvgw4
"Ocotillo Wind I",WT,32.757896,-115.979691,9mvgw4
"Ocotillo Wind I",WT,32.754196,-116.076485,9mvgw4
"Ocotillo Wind I",WT,32.765095,-116.000587,9mvgw4
