node,location,new_MAPE,new_MPED,old_MAPE,old_MPED
9r9uxw,SUMMER L (4002),13.1,16.3,20.9,20.5
9rg8bx,BURNS (4003),19.0,18.5,18.3,14.7
9rcvn1,GRIZZLY (4004),10.4,11.8,20.1,18.7
c245ue,JOHN DAY (4005),13.2,17.1,24.7,18.3
c21g7y,BIG EDDY (4006),13.8,17.3,19.9,15.7
c21g7u,CELILOCA (4007),9.5,12.0,14.0,10.9
c2e2u0,COULEE (4101),13.7,16.2,17.4,15.3
c26crp,HANFORD (4102),8.7,11.2,25.5,17.4
c2kx95,BELL (4103),6.5,7.9,13.3,9.8
c2967d,NORTH (4201),8.8,10.5,25.2,19.1
c237sz,WCASCADE (4202),7.6,9.7,15.7,13.8
9rb6wg,WILLAMET (4203),11.1,14.2,24.9,17.8
9r88yx,MERIDIAN (4204),13.8,16.1,23.8,19.6
c2c10y,CANADA (5001),16.4,18.9,30.8,21.2
c2u6xt,CA230TO (5003),7.0,8.7,12.0,16.7
9rwgcr,MIDPOINT (6101),9.8,11.2,9.7,10.6
9rx7st,BORAH (6103),9.6,10.9,14.4,13.7
c8h5zm,COLSTRP (6201),14.3,17.4,10.5,12.1
c2r8x7,GARRISON (6202),14.6,16.3,10.2,14.4
c82vu4,MONTANA (6205),12.4,16.0,16.9,13.3
9x6z6m,BRIDGER (6301),14.4,15.4,8.3,10.6
9xkgmv,LARAMIE (6302),12.8,15.6,9.6,11.5
9x3mfn,NAUGHTON (6305),11.3,13.5,11.7,15.1
9r50xy,TRACYSPP (6401),12.1,14.4,15.9,14.3
9rkf69,VALMY (6403),13.4,15.5,25.6,19.6
9rn2tf,GONDER (6404),18.4,20.0,24.8,29.8
9x27ep,BENLOMND (6501),7.7,9.3,4.1,5.3
9x47er,EMERY (6503),9.1,11.4,9.8,10.3
9wdr2q,PINTO (6505),13.5,15.4,14.4,14.8
9wbmjr,SIGURD (6507),10.8,13.5,9.2,11.1
9x0gc5,SPAN FRK (6508),8.1,9.9,4.6,5.6
9x0ryy,TERMINAL (6509),7.8,9.6,2.8,5.0
9wve62,COLOEAST (7001),8.3,10.3,10.6,12.5
9x5w98,CRAIG (7002),8.1,9.9,9.0,11.8
9r0vxp,OLINDA (8001),14.1,16.7,7.9,10.2
9q9wtp,TRACY (8002),7.7,9.6,23.0,12.3
9qcf5u,RNCHSECO (8004),12.0,13.5,14.2,14.7
