node,location,new_MAPE,new_MPED,old_MAPE,old_MPED
9wdb95,FOURCORN (1001),9.0,10.8,10.0,9.9
9we1bp,SAN JUAN (1004),9.6,11.2,15.8,9.6
9w1zzg,CORONADO (1101),11.0,13.9,21.0,13.6
9w1wf0,CHOLLA (1102),9.9,11.7,22.2,19.8
9w3h8n,MOENKOPI (1201),8.7,11.5,8.7,10.1
9w94m0,NAVAJO (1202),17.6,16.9,6.8,8.8
9qqk6u,MEAD (1301),8.1,10.4,19.5,20.5
9qw0kp,H ALLEN (1302),13.2,15.1,35.6,20.0
9mzqxj,PALOVRDE (1401),9.2,11.8,16.3,13.3
9w01f3,WESTWING (1402),10.2,11.4,35.8,21.5
9qndpr,PARKER (1403),12.3,14.8,34.0,34.0
9mvgw4,IMPERIAL (2100),8.8,10.6,25.1,20.4
9mudw2,MISSION (2203),8.8,10.1,13.3,7.7
9qj152,DEVERS (2400),8.8,9.2,15.8,14.0
9rpbwn,INTERMT (2604),9.9,11.5,7.9,8.0
9q5sgb,CASTAIC (2608),9.3,11.4,7.3,7.4
9q5fm0,GLENDAL (2609),7.1,8.8,17.3,13.4
9mupsy,HAYNES (2610),8.0,9.4,13.2,6.9
9q5zqv,MOHAVE (2902),8.8,10.1,19.1,13.1
9q8yqr,MARTIN (3102),6.3,8.1,11.3,4.2
9q9jb9,SANMATEO (3103),7.8,10.1,11.7,5.6
9qc0p1,C.COSTA (3201),7.8,9.8,16.8,9.0
9q9m24,NEWARK (3203),7.7,9.9,12.3,6.6
9q97v8,METCALF (3301),7.5,9.5,9.7,5.5
9q9hq4,MONTAVIS (3304),8.8,10.9,10.7,7.9
9qd9xh,GREGG (3401),9.6,11.8,21.8,14.4
9qe6tq,HELMS PP (3402),7.7,9.8,22.2,17.5
9qdbm8,MC CALL (3403),7.5,9.4,21.7,13.2
9qct8r,WILSON (3405),8.8,10.9,24.1,12.0
9qben2,FULTON (3501),7.8,9.9,13.1,9.2
9pr8ne,HUMBOLDT (3601),9.4,11.7,14.8,10.7
9r4bc7,SUMMIT (3701),8.2,10.0,10.7,8.3
9q6tde,GATES (3802),7.5,9.2,18.5,14.5
9q713t,MIDWAY (3803),8.1,9.9,8.1,4.9
9q613c,MORROBAY (3806),9.6,12.0,12.1,9.8
9q9fy1,LOSBANOS (3901),9.2,11.4,24.5,16.0
9q92vz,MOSSLAND (3902),9.6,12.5,15.4,12.0
9qc63x,VACA-DIX (3904),7.8,9.9,21.3,11.6
9r13pb,TABLE MT (3905),8.6,10.5,22.1,15.4
9r321k,ROUND MT (3906),9.5,11.3,29.1,17.4
9qcbq0,BELLOTA (3907),9.8,12.0,14.6,16.4
9qcem3,BRIGHTON (3908),7.4,9.2,22.9,13.1
9qcxqg,COLGATE (3909),10.9,13.6,23.8,15.1
9qcjcp,CORTINA (3910),11.8,15.1,18.4,13.8
9r1jcf,COTWDPGE (3911),12.9,16.4,29.5,21.0
9qcggm,GOLDHILL (3913),7.8,9.5,13.8,12.8
9qbbed,IGNACIO (3914),8.7,10.8,13.9,10.4
9qbcde,LAKEVILE (3915),8.1,10.0,14.8,8.7
9r106e,LOGAN CR (3916),15.6,17.9,31.5,22.5
9r3wzq,MALIN (4001),20.8,23.9,15.8,18.6
