county,building_type,floorarea[sf]
G0400010,hospital,578855.0
G0400010,largehotel,131958.0
G0400010,primaryschool,1720092.0
G0400010,retailstandalone,128802.0
G0400010,retailstripmall,112982.0
G0400010,secondaryschool,1239922.0
G0400010,smallhotel,81317.0
G0400010,smalloffice,21125.0
G0400010,warehouse,41329.0
G0600010,fullservicerestaurant,5555744.0
G0600010,hospital,5788549.0
G0600010,largehotel,10933651.0
G0600010,largeoffice,21897854.0
G0600010,mediumoffice,25884763.0
G0600010,outpatient,10717383.0
G0600010,primaryschool,23307246.0
G0600010,quickservicerestaurant,842450.0
G0600010,retailstandalone,24104067.0
G0600010,retailstripmall,22050062.0
G0600010,secondaryschool,13482852.0
G0600010,smallhotel,1003393.0
G0600010,smalloffice,22547654.0
G0600010,warehouse,77008282.0
G0800010,fullservicerestaurant,1273426.0
G0800010,largehotel,6409382.0
G0800010,mediumoffice,2847324.0
G0800010,outpatient,4804344.0
G0800010,primaryschool,9460506.0
G0800010,quickservicerestaurant,630712.0
G0800010,retailstandalone,5285408.0
G0800010,retailstripmall,3846269.0
G0800010,secondaryschool,5943291.0
G0800010,smallhotel,110359.0
G0800010,smalloffice,4006750.0
G0800010,warehouse,40401155.0
G1600010,fullservicerestaurant,2924372.0
G1600010,hospital,578855.0
G1600010,largehotel,565534.0
G1600010,mediumoffice,11130448.0
G1600010,outpatient,8130428.0
G1600010,primaryschool,7941091.0
G1600010,quickservicerestaurant,486549.0
G1600010,retailstandalone,8490293.0
G1600010,retailstripmall,6699074.0
G1600010,secondaryschool,2073483.0
G1600010,smallhotel,496614.0
G1600010,smalloffice,13773645.0
G1600010,warehouse,14943492.0
G3000010,fullservicerestaurant,33808.0
G3000010,retailstandalone,151531.0
G3000010,retailstripmall,39933.0
G3000010,secondaryschool,31259.0
G3000010,smallhotel,50823.0
G3000010,smalloffice,176044.0
G3000010,warehouse,354251.0
G3200010,primaryschool,860046.0
G3200010,quickservicerestaurant,36041.0
G3200010,retailstandalone,227297.0
G3200010,retailstripmall,121748.0
G3200010,smallhotel,348501.0
G3200010,smalloffice,123230.0
G3200010,warehouse,402665.0
G3500010,fullservicerestaurant,4372472.0
G3500010,hospital,7525114.0
G3500010,largehotel,19228145.0
G3500010,largeoffice,8067631.0
G3500010,mediumoffice,10095058.0
G3500010,outpatient,10717383.0
G3500010,primaryschool,15050805.0
G3500010,quickservicerestaurant,693783.0
G3500010,retailstandalone,16712376.0
G3500010,retailstripmall,12552727.0
G3500010,secondaryschool,5784915.0
G3500010,smallhotel,2175228.0
G3500010,smalloffice,15111576.0
G3500010,warehouse,19414140.0
G4100010,fullservicerestaurant,84519.0
G4100010,largehotel,131958.0
G4100010,retailstandalone,106072.0
G4100010,retailstripmall,190901.0
G4100010,smallhotel,239595.0
G4100010,smalloffice,126751.0
G4100010,warehouse,361336.0
G4900010,hospital,1157710.0
G4900010,retailstandalone,31822.0
G4900010,retailstripmall,34089.0
G4900010,smallhotel,108907.0
G4900010,smalloffice,21125.0
G4900010,warehouse,7085.0
G5300010,primaryschool,860046.0
G5300010,retailstandalone,122740.0
G5300010,retailstripmall,49673.0
G5300010,smallhotel,50823.0
G5300010,smalloffice,123230.0
G5600010,fullservicerestaurant,152135.0
G5600010,mediumoffice,258848.0
G5600010,primaryschool,860046.0
G5600010,quickservicerestaurant,27030.0
G5600010,retailstandalone,166684.0
G5600010,retailstripmall,115904.0
G5600010,secondaryschool,312585.0
G5600010,smalloffice,320399.0
G5600010,warehouse,354251.0
