state,county,building_type,floorarea[sf]
AZ,Apache,apartment,142100
AZ,Apache,full_service_restaurant,20600
AZ,Apache,hotel,319500
AZ,Apache,no_match,300800
AZ,Apache,office,157900
AZ,Apache,outpatient,5400
AZ,Apache,quick_service_restaurant,11200
AZ,Apache,retail,431800
AZ,Apache,school,5400
AZ,Apache,strip_mall,13900
AZ,Apache,supermarket,85400
AZ,Apache,warehouse,85900
AZ,Cochise,apartment,4679900
AZ,Cochise,full_service_restaurant,310800
AZ,Cochise,hospital,92500
AZ,Cochise,hotel,1581700
AZ,Cochise,no_match,1321900
AZ,Cochise,office,1267200
AZ,Cochise,outpatient,336100
AZ,Cochise,quick_service_restaurant,80500
AZ,Cochise,retail,5430300
AZ,Cochise,school,184600
AZ,Cochise,strip_mall,233000
AZ,Cochise,supermarket,245200
AZ,Cochise,warehouse,1486500
AZ,Coconino,apartment,10393700
AZ,Coconino,full_service_restaurant,288100
AZ,Coconino,hospital,790800
AZ,Coconino,hotel,3448700
AZ,Coconino,no_match,2461300
AZ,Coconino,office,1891000
AZ,Coconino,outpatient,395200
AZ,Coconino,quick_service_restaurant,60400
AZ,Coconino,retail,5956300
AZ,Coconino,school,320800
AZ,Coconino,strip_mall,680300
AZ,Coconino,supermarket,253400
AZ,Coconino,warehouse,2988600
AZ,Gila,apartment,1088900
AZ,Gila,full_service_restaurant,131600
AZ,Gila,hospital,94800
AZ,Gila,hotel,393800
AZ,Gila,no_match,986000
AZ,Gila,office,317500
AZ,Gila,outpatient,121100
AZ,Gila,quick_service_restaurant,39400
AZ,Gila,retail,1739600
AZ,Gila,school,32400
AZ,Gila,strip_mall,124900
AZ,Gila,supermarket,159200
AZ,Gila,warehouse,309600
AZ,Graham,apartment,650900
AZ,Graham,full_service_restaurant,45900
AZ,Graham,hotel,211300
AZ,Graham,no_match,107000
AZ,Graham,office,129600
AZ,Graham,outpatient,24000
AZ,Graham,quick_service_restaurant,17200
AZ,Graham,retail,1065300
AZ,Graham,strip_mall,31800
AZ,Graham,warehouse,72400
AZ,Greenlee,apartment,92300
AZ,Greenlee,full_service_restaurant,5900
AZ,Greenlee,hotel,6800
AZ,Greenlee,no_match,118600
AZ,Greenlee,office,2900
AZ,Greenlee,retail,113600
AZ,Greenlee,warehouse,4900
AZ,La Paz,apartment,218000
AZ,La Paz,full_service_restaurant,86600
AZ,La Paz,hotel,106800
AZ,La Paz,no_match,940800
AZ,La Paz,office,76400
AZ,La Paz,outpatient,2500
AZ,La Paz,quick_service_restaurant,7800
AZ,La Paz,retail,729200
AZ,La Paz,school,6800
AZ,La Paz,strip_mall,6200
AZ,La Paz,warehouse,220500
AZ,Maricopa,apartment,483314100
AZ,Maricopa,full_service_restaurant,9018500
AZ,Maricopa,hospital,18570900
AZ,Maricopa,hotel,49585900
AZ,Maricopa,no_match,161277600
AZ,Maricopa,office,192512900
AZ,Maricopa,outpatient,32488500
AZ,Maricopa,quick_service_restaurant,3339000
AZ,Maricopa,retail,194262500
AZ,Maricopa,school,12630500
AZ,Maricopa,strip_mall,13309300
AZ,Maricopa,supermarket,14721700
AZ,Maricopa,warehouse,297739100
AZ,Mohave,apartment,4266300
AZ,Mohave,full_service_restaurant,377000
AZ,Mohave,hospital,660800
AZ,Mohave,hotel,1225600
AZ,Mohave,no_match,3254300
AZ,Mohave,office,2282800
AZ,Mohave,outpatient,537000
AZ,Mohave,quick_service_restaurant,122700
AZ,Mohave,retail,8581800
AZ,Mohave,school,66300
AZ,Mohave,strip_mall,545800
AZ,Mohave,supermarket,523800
AZ,Mohave,warehouse,7197600
AZ,Navajo,apartment,1339000
AZ,Navajo,full_service_restaurant,303500
AZ,Navajo,hotel,1092600
AZ,Navajo,no_match,568500
AZ,Navajo,office,517800
AZ,Navajo,outpatient,529200
AZ,Navajo,quick_service_restaurant,40200
AZ,Navajo,retail,2991400
AZ,Navajo,school,162200
AZ,Navajo,strip_mall,140700
AZ,Navajo,supermarket,79600
AZ,Navajo,warehouse,870100
AZ,Pima,apartment,91720200
AZ,Pima,full_service_restaurant,2619400
AZ,Pima,hospital,4290300
AZ,Pima,hotel,11308900
AZ,Pima,no_match,29640600
AZ,Pima,office,23629100
AZ,Pima,outpatient,8475700
AZ,Pima,quick_service_restaurant,945600
AZ,Pima,retail,47184400
AZ,Pima,school,2192100
AZ,Pima,strip_mall,3903900
AZ,Pima,supermarket,2459900
