record_date,hour_id,utc_offset,power
2015-01-01,1,8,21717.1
2015-01-01,2,8,20995.4
2015-01-01,3,8,20252.6
2015-01-01,4,8,19605.6
2015-01-01,5,8,19325.2
2015-01-01,6,8,19635.9
2015-01-01,7,8,20011.8
2015-01-01,8,8,19828.0
2015-01-01,9,8,20205.7
2015-01-01,10,8,20308.3
2015-01-01,11,8,20825.4
2015-01-01,12,8,21059.9
2015-01-01,13,8,21011.0
2015-01-01,14,8,20773.7
2015-01-01,15,8,20644.2
2015-01-01,16,8,20743.4
2015-01-01,17,8,22121.9
2015-01-01,18,8,25227.6
2015-01-01,19,8,25833.8
2015-01-01,20,8,25860.1
2015-01-01,21,8,25366.4
2015-01-01,22,8,24700.9
2015-01-01,23,8,23127.5
2015-01-01,24,8,20976.7
2015-01-02,1,8,19478.1
2015-01-02,2,8,18642.4
2015-01-02,3,8,18090.2
2015-01-02,4,8,17938.2
2015-01-02,5,8,18291.6
2015-01-02,6,8,19578.4
2015-01-02,7,8,21156.2
2015-01-02,8,8,21936.4
2015-01-02,9,8,22785.5
2015-01-02,10,8,23521.4
2015-01-02,11,8,24350.1
2015-01-02,12,8,24383.3
2015-01-02,13,8,24176.3
2015-01-02,14,8,23787.7
2015-01-02,15,8,23732.5
2015-01-02,16,8,23884.5
2015-01-02,17,8,24786.3
2015-01-02,18,8,27517.6
2015-01-02,19,8,27806.9
2015-01-02,20,8,27453.2
2015-01-02,21,8,27107.5
2015-01-02,22,8,26112.0
2015-01-02,23,8,24466.5
2015-01-02,24,8,22311.7
2015-01-03,1,8,20592.5
2015-01-03,2,8,19505.3
2015-01-03,3,8,18862.6
2015-01-03,4,8,18453.0
2015-01-03,5,8,18534.6
2015-01-03,6,8,19354.6
2015-01-03,7,8,20374.4
2015-01-03,8,8,20672.9
2015-01-03,9,8,21484.6
2015-01-03,10,8,22314.2
2015-01-03,11,8,23012.7
2015-01-03,12,8,23378.8
2015-01-03,13,8,23422.4
2015-01-03,14,8,23060.8
2015-01-03,15,8,22616.8
2015-01-03,16,8,22661.0
2015-01-03,17,8,23864.3
2015-01-03,18,8,26700.4
2015-01-03,19,8,27135.0
2015-01-03,20,8,26901.2
2015-01-03,21,8,26436.5
2015-01-03,22,8,25491.3
2015-01-03,23,8,24047.1
2015-01-03,24,8,22230.4
2015-01-04,1,8,20471.5
2015-01-04,2,8,19431.4
2015-01-04,3,8,18756.8
2015-01-04,4,8,18446.7
2015-01-04,5,8,18445.3
2015-01-04,6,8,19105.3
2015-01-04,7,8,19650.8
2015-01-04,8,8,19738.4
2015-01-04,9,8,20488.4
2015-01-04,10,8,21265.5
2015-01-04,11,8,22201.0
2015-01-04,12,8,22487.4
2015-01-04,13,8,22347.8
2015-01-04,14,8,22336.6
2015-01-04,15,8,22225.9
2015-01-04,16,8,22485.3
2015-01-04,17,8,23614.8
2015-01-04,18,8,26740.6
2015-01-04,19,8,27342.7
2015-01-04,20,8,27502.2
2015-01-04,21,8,27099.1
2015-01-04,22,8,25711.5
2015-01-04,23,8,23511.4
2015-01-04,24,8,21239.5
2015-01-05,1,8,19861.3
2015-01-05,2,8,19050.5
2015-01-05,3,8,18710.5
2015-01-05,4,8,18585.2
2015-01-05,5,8,19381.0
2015-01-05,6,8,21380.4
2015-01-05,7,8,24660.7
2015-01-05,8,8,26240.9
2015-01-05,9,8,27066.0
2015-01-05,10,8,27177.0
2015-01-05,11,8,27483.4
2015-01-05,12,8,27687.7
2015-01-05,13,8,27929.5
2015-01-05,14,8,27846.6
2015-01-05,15,8,28753.4
2015-01-05,16,8,28625.8
2015-01-05,17,8,28876.2
2015-01-05,18,8,31083.1
2015-01-05,19,8,30964.5
2015-01-05,20,8,30774.9
2015-01-05,21,8,30367.1
2015-01-05,22,8,28686.9
2015-01-05,23,8,26046.0
2015-01-05,24,8,23231.9
2015-01-06,1,8,21463.2
2015-01-06,2,8,20380.0
2015-01-06,3,8,20292.6
2015-01-06,4,8,20149.7
2015-01-06,5,8,20579.9
2015-01-06,6,8,22277.0
2015-01-06,7,8,25818.1
2015-01-06,8,8,27218.3
2015-01-06,9,8,27074.3
2015-01-06,10,8,27028.3
2015-01-06,11,8,27413.8
2015-01-06,12,8,28174.6
2015-01-06,13,8,28473.2
2015-01-06,14,8,28938.2
2015-01-06,15,8,29484.6
2015-01-06,16,8,29244.7
2015-01-06,17,8,29088.6
2015-01-06,18,8,30775.8
2015-01-06,19,8,30681.4
2015-01-06,20,8,30560.4
2015-01-06,21,8,29625.9
2015-01-06,22,8,28105.4
2015-01-06,23,8,25818.5
2015-01-06,24,8,23411.3
2015-01-07,1,8,20823.2
2015-01-07,2,8,19934.1
2015-01-07,3,8,19704.4
2015-01-07,4,8,19193.6
2015-01-07,5,8,19740.8
2015-01-07,6,8,21281.8
2015-01-07,7,8,24348.6
2015-01-07,8,8,25912.8
2015-01-07,9,8,26519.4
2015-01-07,10,8,26779.8
2015-01-07,11,8,27537.2
2015-01-07,12,8,28238.4
2015-01-07,13,8,27800.8
2015-01-07,14,8,28292.0
2015-01-07,15,8,28425.8
2015-01-07,16,8,27808.8
2015-01-07,17,8,28124.5
2015-01-07,18,8,30252.0
2015-01-07,19,8,30679.8
2015-01-07,20,8,30520.7
2015-01-07,21,8,29371.1
2015-01-07,22,8,27661.2
2015-01-07,23,8,25108.9
2015-01-07,24,8,22541.8
2015-01-08,1,8,20429.8
2015-01-08,2,8,19571.5
2015-01-08,3,8,19643.5
2015-01-08,4,8,19355.0
2015-01-08,5,8,19888.0
2015-01-08,6,8,21334.5
2015-01-08,7,8,24019.1
2015-01-08,8,8,25221.8
2015-01-08,9,8,26104.4
2015-01-08,10,8,26151.8
2015-01-08,11,8,26643.2
2015-01-08,12,8,26847.6
2015-01-08,13,8,27170.3
2015-01-08,14,8,26936.3
2015-01-08,15,8,27283.8
2015-01-08,16,8,27346.3
2015-01-08,17,8,27686.9
2015-01-08,18,8,29852.7
2015-01-08,19,8,29813.7
2015-01-08,20,8,29972.8
2015-01-08,21,8,29074.2
2015-01-08,22,8,27236.2
2015-01-08,23,8,24811.6
2015-01-08,24,8,22270.7
2015-01-09,1,8,20094.9
2015-01-09,2,8,19272.6
2015-01-09,3,8,19084.9
2015-01-09,4,8,18934.8
2015-01-09,5,8,19494.2
2015-01-09,6,8,20506.5
2015-01-09,7,8,23445.1
2015-01-09,8,8,25727.6
2015-01-09,9,8,26711.6
2015-01-09,10,8,27248.2
2015-01-09,11,8,27520.7
2015-01-09,12,8,27330.1
2015-01-09,13,8,26958.3
2015-01-09,14,8,27257.8
2015-01-09,15,8,26924.2
2015-01-09,16,8,26906.2
2015-01-09,17,8,27808.6
2015-01-09,18,8,30009.9
2015-01-09,19,8,29974.8
2015-01-09,20,8,29008.6
2015-01-09,21,8,28235.3
2015-01-09,22,8,26521.1
2015-01-09,23,8,23918.1
2015-01-09,24,8,21885.6
2015-01-10,1,8,20416.2
2015-01-10,2,8,19462.7
2015-01-10,3,8,18815.6
2015-01-10,4,8,17944.6
2015-01-10,5,8,17956.7
2015-01-10,6,8,18657.7
