County,BuildingType,FloorArea,BuildingCount
CA-Riverside,FullServiceRestaurant,12.11,2003
CA-Riverside,HighriseApartment,376.48,14314
CA-Riverside,Hospital,70.51,220
CA-Riverside,IECC,2172.74,612430
CA-Riverside,LargeHotel,272.4,619
CA-Riverside,LargeOffice,119.09,5450
CA-Riverside,MediumOffice,306.72,34771
CA-Riverside,MidriseApartment,487.83,42310
CA-Riverside,Outpatient,44.28,2452
CA-Riverside,PrimarySchool,49.5,501
CA-Riverside,QuickServiceRestaurant,17.86,2887
CA-Riverside,RetailStandalone,109.6,11205
CA-Riverside,RetailStripmall,61.2,5615
CA-Riverside,SecondarySchool,85.21,903
CA-Riverside,SmallHotel,64.22,5495
CA-Riverside,SmallOffice,127.87,21075
CA-Riverside,Warehouse,138.25,2647
CA-Santa_Clara,FullServiceRestaurant,4.7,787
CA-Santa_Clara,HighriseApartment,355.11,9048
CA-Santa_Clara,Hospital,52.47,265
CA-Santa_Clara,IECC,1215.57,370227
CA-Santa_Clara,LargeHotel,204.35,797
CA-Santa_Clara,LargeOffice,171.42,6101
CA-Santa_Clara,MediumOffice,97.02,9112
CA-Santa_Clara,MidriseApartment,247.27,17784
CA-Santa_Clara,Outpatient,36.82,1811
CA-Santa_Clara,PrimarySchool,68.47,732
CA-Santa_Clara,QuickServiceRestaurant,5.54,881
CA-Santa_Clara,RetailStandalone,59.43,5701
CA-Santa_Clara,RetailStripmall,35.35,3011
CA-Santa_Clara,SecondarySchool,156.31,1657
CA-Santa_Clara,SmallHotel,21.55,1522
CA-Santa_Clara,SmallOffice,63.74,10224
CA-Santa_Clara,Warehouse,109.63,2437
CA-Orange,FullServiceRestaurant,11.64,1891
CA-Orange,HighriseApartment,874.14,23185
CA-Orange,Hospital,87.59,420
CA-Orange,IECC,1830.75,530722
CA-Orange,LargeHotel,340.74,1241
CA-Orange,LargeOffice,253.32,8887
CA-Orange,MediumOffice,447.44,41222
CA-Orange,MidriseApartment,714.24,50318
CA-Orange,Outpatient,54.26,2741
CA-Orange,PrimarySchool,76.15,807
CA-Orange,QuickServiceRestaurant,15.29,2358
CA-Orange,RetailStandalone,130.32,12382
CA-Orange,RetailStripmall,72.65,6194
CA-Orange,SecondarySchool,142.39,1497
CA-Orange,SmallHotel,94.97,6681
CA-Orange,SmallOffice,116.14,18205
CA-Orange,Warehouse,176.49,4183
