geocode,heating[MW/degC],cooling[MW/degC,solar[MW/W/m^2]
9wv4bb,0.041,0.035,-0.001
9wv9nk,0.02,0.017,-0.0
9wvjnk,0.025,0.026,-0.0
9wvrsq,0.029,0.022,-0.0
9wvsvk,0.033,0.022,-0.0
9wvzwv,0.058,0.043,-0.001
9wwh23,0.025,0.009,-0.0
9wwpxb,0.015,0.014,-0.0
9wwxy3,0.001,0.01,-0.0
9wxh68,0.02,0.006,-0.0
9wxpyn,0.026,0.025,-0.001
9wy1yt,0.015,0.011,-0.0
9wyfms,0.006,0.006,-0.0
9wymud,0.035,0.043,-0.0
9wzhcj,0.001,0.003,-0.0
9wzp95,0.038,0.046,-0.0
9x08j1,0.056,0.025,-0.0
9x0rm5,0.021,-0.005,-0.0
9x0s4z,0.018,0.006,-0.0
9x0vqq,0.018,0.011,-0.0
9x13eq,0.018,0.013,-0.0
9x1mpn,0.023,0.02,-0.0
9x21qy,0.023,-0.001,-0.0
9x26y1,0.021,-0.004,-0.0
9x29ub,0.028,0.012,-0.0
9x2t3j,0.022,0.004,-0.0
9x2uud,0.014,0.004,-0.0
9x30db,0.032,0.009,-0.0
9x36u5,0.024,-0.007,-0.0
9x4h7b,0.022,0.004,-0.0
9x5322,0.026,0.012,-0.0
9x553u,0.005,0.006,-0.0
9x5p12,0.04,0.029,-0.0
9x5ym3,0.035,0.019,-0.0
9x60s5,0.02,0.014,-0.0
9x6t42,0.039,0.02,-0.0
9x7vnx,0.047,0.03,-0.0
9x84yh,0.054,0.016,-0.0
9x8bd9,0.014,0.007,-0.0
9x8jf7,0.044,0.016,-0.0
9x8wgg,0.037,0.01,-0.0
9x921r,0.034,0.018,-0.0
9x9g6c,0.015,0.001,-0.0
9xc6x4,0.048,0.04,-0.0
9xdubt,0.055,0.031,-0.001
9xfbsr,0.026,0.016,-0.0
9xfj45,0.054,0.017,-0.0
9xg3tg,0.065,0.053,-0.001
9xgjq9,0.021,0.002,-0.0
9xgyzb,0.06,0.001,-0.0
9xh1kj,0.024,0.011,-0.0
9xh92u,0.044,0.068,-0.001
9xhcdv,0.018,0.016,-0.0
9xhfy8,0.014,0.014,-0.0
9xhrk6,0.001,0.003,-0.0
9xhs1q,0.05,0.068,-0.001
9xhzr9,0.031,0.02,-0.0
9xj1jj,0.027,0.02,-0.0
9xj6jq,0.041,0.024,-0.001
9xjc9c,0.031,0.022,-0.001
9xjfcf,0.028,0.019,-0.0
9xjh1e,0.022,0.009,-0.0
9xjy8w,0.033,0.016,-0.0
9xkv40,0.045,0.036,-0.0
9xmdfm,0.033,0.012,-0.0
9xmret,0.03,0.025,-0.0
9xmz3q,0.047,0.042,-0.0
9xne77,0.02,0.002,-0.0
9xnjj9,0.035,0.029,-0.0
9xnxwn,0.032,0.005,-0.0
