name,longitude_gen,latitude_gen,elevation[m]
251 Wind,-118.36441,35.077435,1555.224487
251 Wind,-118.363762,35.077908,1561.870239
251 Wind,-118.364197,35.077644,1558.125732
Air Force (Laramie),-104.884689,41.178291,1895.569824
Alite Wind Farm,-118.335289,35.037697,1235.620605
Alite Wind Farm,-118.345291,35.035194,1283.692139
Alite Wind Farm,-118.336891,35.037193,1255.062866
Alite Wind Farm,-118.343689,35.031494,1301.671753
Alite Wind Farm,-118.344887,35.030895,1305.312012
Alite Wind Farm,-118.338486,35.036594,1265.191284
Alite Wind Farm,-118.344086,35.035896,1279.395386
Alite Wind Farm,-118.339989,35.035995,1261.079346
Alta I,-118.386787,35.027794,1625.490112
Alta I,-118.366287,35.037796,1361.366089
Alta I,-118.360588,35.045395,1305.404419
Alta I,-118.375786,35.048294,1363.610229
Alta I,-118.37619,35.047295,1378.675781
Alta I,-118.370987,35.027596,1471.814209
Alta I,-118.361191,35.029594,1318.501465
Alta I,-118.36039,35.030296,1325.285278
Alta I,-118.391991,35.050694,1548.506836
Alta I,-118.369286,35.053295,1368.192261
Alta I,-118.367027,35.029114,1388.411865
Alta I,-118.3797,35.033554,1523.398804
Alta I,-118.355385,35.023594,1289.830933
Alta I,-118.378189,35.025795,1574.816772
Alta I,-118.359589,35.045994,1299.561401
Alta I,-118.39399,35.054794,1527.587769
Alta I,-118.374191,35.026196,1532.085205
Alta I,-118.353485,35.024895,1246.208008
Alta I,-118.394485,35.050095,1552.720581
Alta I,-118.367287,35.036995,1363.766968
Alta I,-118.348488,35.057297,1265.653076
Alta I,-118.380486,35.032696,1536.272705
Alta I,-118.379791,35.051094,1383.527466
Alta I,-118.358086,35.022095,1309.994385
Alta I,-118.387291,35.053795,1498.64978
Alta I,-118.349586,35.056793,1264.712891
Alta I,-118.360291,35.020996,1306.644287
Alta I,-118.354187,35.034195,1277.216553
Alta I,-118.388985,35.024197,1671.454102
Alta I,-118.367584,35.028294,1398.966187
Alta I,-118.364891,35.043396,1356.668335
Alta I,-118.362091,35.028996,1307.925415
Alta I,-118.381485,35.043694,1380.730469
Alta I,-118.356987,35.022694,1298.835938
Alta I,-118.364388,35.034294,1355.910156
Alta I,-118.388885,35.052197,1525.459473
Alta I,-118.382385,35.043095,1369.987793
Alta I,-118.369286,35.035694,1399.904419
Alta I,-118.389687,35.051296,1528.710815
Alta I,-118.393288,35.050396,1544.717529
