powerplant,generator,fuel,startup,shutdown,model,costs
ABIQUIU_DAM,HT,WATER,0.0,0.0,1,"0,0"
ACE_COGENERATION_FACILITY,,,0.0,0.0,1,"0,0"
ADAMS_E,PV,SUN,0.0,0.0,1,"0,0"
ADAMS_NIELSON_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
ADAMS_SOLAR_CENTER,PV,SUN,0.0,0.0,1,"0,0"
ADELANTO_I,PV,SUN,0.0,0.0,1,"0,0"
ADELANTO_SOLAR_PROJECT,PV,SUN,0.0,0.0,1,"0,0"
ADERA,PV,SUN,0.0,0.0,1,"0,0"
ADOBE,PV,SUN,0.0,0.0,1,"0,0"
AES_ALAMITOS_LLC,CT|ST,NG|NG,0.0,0.0,1,"0,0"
AES_HUNTINGTON_BEACH_LLC,CT|ST,NG|NG,0.0,0.0,1,"0,0"
AES_REDONDO_BEACH_LLC,ST,NG,0.0,0.0,1,"0,0"
AFTON_GENERATING_STATION,CC,NG,0.0,0.0,1,"0,0"
AGNEWS_POWER_PLANT,CC,NG,0.0,0.0,1,"0,0"
AGUA_CALIENTE_SOLAR_PROJECT,PV,SUN,0.0,0.0,1,"0,0"
AGUA_FRIA,ST|CT|PV,NG|NG|SUN,0.0,0.0,1,"0,0"
AGUA_MANSA_POWER_PLANT,CT,NG,0.0,0.0,1,"0,0"
AIDLIN_GEOTHERMAL_POWER_PLANT,ST,GEO,0.0,0.0,1,"0,0"
AIRPORT_INDUSTRIAL,ST,OIL,0.0,0.0,1,"0,0"
AIRPORT_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
ALAMEDA,CT,NG,0.0,0.0,1,"0,0"
ALAMO,HT,WATER,0.0,0.0,1,"0,0"
ALAMOSA,CT,NG,0.0,0.0,1,"0,0"
ALAMO_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
ALBENI_FALLS,HT,WATER,0.0,0.0,1,"0,0"
ALCOVA,HT,WATER,0.0,0.0,1,"0,0"
ALDER,HT,WATER,0.0,0.0,1,"0,0"
ALGONQUIN_POWER_SANGER_LLC,CC,NG,0.0,0.0,1,"0,0"
