system_id,geocode,Bus  Number,Bus  Name,bus_latitude,bus_longitude,county,state,tzoffset,facility,plant_latitude,plant_longitude,plant_fractional_capacity_MW,generator,plant_capacity_MW,aggregated_bus_fractional_capacity_MW,min_measured_date,max_measured_date,turbine_rating_MW,rotor_diameter_m,hub_height_m,max_rotor_tip_speed,tip_speed_ratio,max_cp,drivetrain_design,cut_in_wind_speed_m/s,cut_out_wind_speed_m/s,shear_exponent,altitude_m,num_turbines,calculated_capacity_MW,capacity_diff_MW
1,9mtzm4,2000,MEXICO,32.227887,-115.436076,9mvgzn,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
2,9muccv,2201,MIGUEL,32.680823,-116.982615,9mugye,CA,-8,KUMEYAAY_WIND,32.7056,-116.3425,50.0,WT,50.0,50.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,18,50.4,-0.3999999999999986
3,9mudw2,2203,MISSION,32.784153,-117.137829,9mugye,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
4,9mumuf,2503,S.ONOFRE,33.370212,-117.557619,9mupxf,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
5,9mupsy,2610,HAYNES,33.697565,-117.911364,9mupxf,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
6,9mvffm,2301,IMPRLVLY,32.856407,-115.56459,9mvgzn,CA,-8,OCOTILLO_EXPRESS_LLC,32.7528,-116.0447,265.4,WT,265.4,265.4,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,95,266.0,-0.6000000000000227
7,9mvgw4,2100,IMPERIAL,32.971469,-115.394435,9mvgzn,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
8,9mzqxj,1401,PALOVRDE,33.513802,-113.239936,9tbj8n,AZ,-7,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
9,9pr8ne,3601,HUMBOLDT,40.801944,-124.163611,9ppzef,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
10,9q5bwz,2407,LITEHIPE,33.879856,-118.175222,9q5fsc,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
11,9q5cts,2613,RIVER,34.037697,-118.230212,9q5fsc,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
12,9q5cw0,2605,STA B1,34.015353,-118.204015,9q5fsc,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
13,9q5dy2,2618,STA J,34.234263,-118.550256,9q5fsc,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
14,9q5epc,2601,RINALDI,34.285768,-118.484219,9q5fsc,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
15,9q5epx,2405,SYLMAR S,34.317296,-118.495046,9q5fsc,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
16,9q5evq,2410,PARDEE,34.442694,-118.58844,9q5fsc,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
17,9q5f6t,2602,STA E,34.176429,-118.360306,9q5fsc,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
18,9q5fj1,2617,STA G,34.10948,-118.254629,9q5fsc,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
19,9q5fm0,2609,GLENDAL,34.146111,-118.255,9q5fsc,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
20,9q5fq8,2406,EAGLROCK,34.150436,-118.184526,9q5fsc,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
21,9q5g0q,2611,OLIVE,34.31131,-118.455696,9q5fsc,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
22,9q5sgb,2608,CASTAIC,34.589863,-118.663274,9q573n,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MANZANA_WIND_LLC,34.9349,-118.4612,189.0,WT,189.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,PINYON_PINE_I,35.0434,-118.2118,168.0,WT,168.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,ALTA_WIND_ENERGY_CENTER_V,35.0086,-118.2422,168.0,WT,168.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,ALTA_WIND_ENERGY_CENTER_IV,35.0086,-118.2422,168.0,WT,168.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,ALTA_WIND_ENERGY_CENTER_V,35.0086,-118.2422,102.0,WT,102.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
