,state,county,name,year,model,capacity[MW],hub_height[m],rotor_diameter[m],longitude_gen,latitude_gen,latitude_county,longitude_county
0,CA,Kern,251 Wind,1987.0,,0.095,,,-118.36441,35.077435,35.369809,-118.941786
1,CA,Kern,251 Wind,1987.0,,0.095,,,-118.363762,35.077908,35.369809,-118.941786
2,CA,Kern,251 Wind,1987.0,,0.095,,,-118.364197,35.077644,35.369809,-118.941786
3,WY,Laramie,Air Force (Laramie),2009.0,G87-2.0,2.0,78.0,87.0,-104.884689,41.178291,41.153937,-104.771336
4,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.335289,35.037697,35.369809,-118.941786
5,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.345291,35.035194,35.369809,-118.941786
6,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.336891,35.037193,35.369809,-118.941786
7,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.343689,35.031494,35.369809,-118.941786
8,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.344887,35.030895,35.369809,-118.941786
9,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.338486,35.036594,35.369809,-118.941786
10,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.344086,35.035896,35.369809,-118.941786
11,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.339989,35.035995,35.369809,-118.941786
12,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.386787,35.027794,35.369809,-118.941786
13,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.366287,35.037796,35.369809,-118.941786
14,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.360588,35.045395,35.369809,-118.941786
15,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.375786,35.048294,35.369809,-118.941786
16,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.37619,35.047295,35.369809,-118.941786
17,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.370987,35.027596,35.369809,-118.941786
18,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.361191,35.029594,35.369809,-118.941786
19,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.36039,35.030296,35.369809,-118.941786
20,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.391991,35.050694,35.369809,-118.941786
21,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.369286,35.053295,35.369809,-118.941786
22,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.367027,35.029114,35.369809,-118.941786
23,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.3797,35.033554,35.369809,-118.941786
24,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.355385,35.023594,35.369809,-118.941786
25,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.378189,35.025795,35.369809,-118.941786
26,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.359589,35.045994,35.369809,-118.941786
27,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.39399,35.054794,35.369809,-118.941786
28,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.374191,35.026196,35.369809,-118.941786
29,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.353485,35.024895,35.369809,-118.941786
30,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.394485,35.050095,35.369809,-118.941786
31,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.367287,35.036995,35.369809,-118.941786
32,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.348488,35.057297,35.369809,-118.941786
33,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.380486,35.032696,35.369809,-118.941786
34,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.379791,35.051094,35.369809,-118.941786
35,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.358086,35.022095,35.369809,-118.941786
36,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.387291,35.053795,35.369809,-118.941786
37,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.349586,35.056793,35.369809,-118.941786
38,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.360291,35.020996,35.369809,-118.941786
39,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.354187,35.034195,35.369809,-118.941786
40,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.388985,35.024197,35.369809,-118.941786
41,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.367584,35.028294,35.369809,-118.941786
42,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.364891,35.043396,35.369809,-118.941786
43,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.362091,35.028996,35.369809,-118.941786
44,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.381485,35.043694,35.369809,-118.941786
45,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.356987,35.022694,35.369809,-118.941786
46,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.364388,35.034294,35.369809,-118.941786
47,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.388885,35.052197,35.369809,-118.941786
