bus,county,latitude,longitude,area[m^2],name,year,gentype,axis,azimuth[deg],tilt[deg],battery,capacity[MW],p_tech_sec
9mudw2,San Diego CA,33.233067,-117.001487,102751,Valley Center 2,2013,PV,SINGLE_AXIS,180,0.0,,5.0,c-si
9mudw2,San Diego CA,33.26524,-116.327979,162688,"Desert Green Solar Farm, LLC",2014,PV,DUAL_AXIS,180,,,6.3,cpv
9mudw2,San Diego CA,33.293521,-116.352258,514184,Solar Borrego I,2013,PV,SINGLE_AXIS,180,0.0,,26.0,c-si
9mudw2,San Diego CA,33.010667,-116.874251,111465,Ramona 2,2013,PV,SINGLE_AXIS,180,0.0,,5.0,c-si
9mudw2,San Diego CA,33.210648,-117.178261,10117,SDCWA-Twin Oaks,2011,PV,FIXED_TILT,180,20.0,,1.1,c-si
9mudw2,San Diego CA,33.249653,-117.02176,57927,Valley Center,2016,PV,SINGLE_AXIS,180,0.0,,2.3,c-si
9mudw2,San Diego CA,33.269396,-117.057731,87943,Granger,2016,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9mudw2,San Diego CA,32.618331,-116.132302,311698,Jacumba Solar Farm,2017,PV,FIXED_TILT,180,25.0,,20.0,c-si
9mudw2,San Diego CA,33.210674,-117.176837,12336,Vallecitos Water District,2021,PV,FIXED_TILT,180,,,1.4,
9mudw2,San Diego CA,33.212308,-117.301917,25951,Genentech-Oceanside Hybrid,2016,PV,SINGLE_AXIS,180,0.0,batteries,4.5,c-si
9mudw2,San Diego CA,33.081506,-116.085629,1037788,Ocotillo Wells,2023,PV,SINGLE_AXIS,180,,,50.0,
9mudw2,San Diego CA,33.010432,-116.872109,31317,Ramona 1,2013,PV,SINGLE_AXIS,180,0.0,,2.0,c-si
9mudw2,San Diego CA,33.230008,-117.003108,45645,Valley Center 1,2013,PV,SINGLE_AXIS,180,0.0,,2.5,c-si
9mudw2,San Diego CA,33.019293,-116.860202,50130,Ramona Solar Energy,2017,PV,FIXED_TILT,180,20.0,,3.7,c-si
9mupsy,San Bernardino CA,34.584613,-117.342225,41889,Expressway Solar C2,2014,PV,FIXED_TILT,193,25.0,,1.5,c-si
9mupsy,San Bernardino CA,34.550338,-117.192742,49408,"Navajo Solar Power Generation Station 1, LLC",2013,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9mupsy,San Bernardino CA,34.58338,-117.341455,39717,Expressway Solar B,2014,PV,FIXED_TILT,193,25.0,,2.0,c-si
9mupsy,San Bernardino CA,34.496399,-117.143443,40550,"Powhatan Solar Power Generation Station 1, LLC",2013,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9mupsy,San Bernardino CA,34.582289,-117.341622,35635,Expressway Solar A,2014,PV,FIXED_TILT,193,25.0,batteries,2.0,c-si
9mupsy,San Bernardino CA,34.038508,-117.565779,45551,"PVN Milliken, LLC",2017,PV,FIXED_TILT,180,22.0,,3.0,c-si
9mupsy,San Bernardino CA,34.042263,-117.361811,14491,"Colton Solar Two, LLC",2015,PV,SINGLE_AXIS,180,0.0,,1.0,c-si
9mupsy,San Bernardino CA,34.094045,-117.319013,34843,"Colton Solar One, LLC",2015,PV,FIXED_TILT,180,1.0,,2.5,c-si
9mupsy,San Bernardino CA,34.765216,-117.323349,46558,"Mitchell Solar, LLC",2014,PV,SINGLE_AXIS,45,0.0,,1.5,c-si
9mupsy,San Bernardino CA,34.544533,-117.192798,20010,"Otoe Solar Power Generation Station 1, LLC",2013,PV,FIXED_TILT,198,20.0,,1.5,c-si
9mupsy,San Bernardino CA,35.587142,-115.428453,4538817,Stateline Solar,2016,PV,FIXED_TILT,180,25.0,,299.5,thin-film
9mupsy,San Bernardino CA,34.189891,-116.091639,255267,SEPV9 Power Plant,2013,PV,SINGLE_AXIS,180,0.0,,8.5,c-si
9mupsy,San Bernardino CA,34.853599,-116.683863,40277,"Newberry Solar 1, LLC",2013,PV,DUAL_AXIS,180,,,1.5,c-si
9mupsy,San Bernardino CA,34.547517,-117.440508,139299,Adelanto Solar Project,2012,PV,FIXED_TILT,180,30.0,,10.0,c-si
9mupsy,San Bernardino CA,34.398252,-116.869667,166077,"Lone Valley Solar Park I, LLC",2014,PV,SINGLE_AXIS,180,0.0,,10.0,c-si
9mupsy,San Bernardino CA,34.51231,-117.481927,449618,"RE Victor Phelan Solar One, LLC",2013,PV,SINGLE_AXIS,180,0.0,,17.5,c-si
9mupsy,San Bernardino CA,34.480112,-117.257817,26560,Victor Valley CC CPV Solar,2010,PV,DUAL_AXIS,180,,,1.0,c-si
9mupsy,San Bernardino CA,34.174111,-116.152878,60191,SEPV 2,2012,PV,SINGLE_AXIS,180,0.0,,2.0,c-si
9mupsy,San Bernardino CA,34.043323,-117.097058,31599,Crafton Hills College Solar Farm,2012,PV,DUAL_AXIS,180,,,1.3,c-si
9mupsy,San Bernardino CA,34.766753,-117.323333,46163,"Rudy Solar, LLC",2014,PV,SINGLE_AXIS,45,0.0,,1.5,c-si
9mupsy,San Bernardino CA,34.601219,-117.643653,61009,Watts 3115,2013,PV,SINGLE_AXIS,112,0.0,,2.0,c-si
9mupsy,San Bernardino CA,34.594302,-117.194878,29356,SunEdison Walmart Apple Valley DC,2009,PV,SINGLE_AXIS,180,0.0,,0.9,c-si
9mupsy,San Bernardino CA,34.166356,-116.235876,484286,Cascade Solar,2014,PV,SINGLE_AXIS,181,0.0,,18.5,c-si
9mupsy,San Bernardino CA,34.50918,-117.153822,29298,Nunn,2013,PV,SINGLE_AXIS,180,0.0,,1.0,c-si
9mupsy,San Bernardino CA,34.171191,-116.153642,323372,SEPV 8,2013,PV,SINGLE_AXIS,180,0.0,,12.0,c-si
9mupsy,San Bernardino CA,34.768035,-117.323327,30397,"Madelyn Solar, LLC",2014,PV,SINGLE_AXIS,45,0.0,,1.0,c-si
9mupsy,San Bernardino CA,34.553839,-117.369657,96515,"Adelanto Solar II, LLC",2015,PV,SINGLE_AXIS,180,0.0,,7.0,c-si
9mupsy,San Bernardino CA,34.412889,-117.469435,29744,SCE-Snowline-White Road (South),2014,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9mupsy,San Bernardino CA,34.471409,-117.561967,20769,SCE-Snowline-Duncan Road (South),2014,PV,SINGLE_AXIS,180,0.0,,1.0,c-si
9mupsy,San Bernardino CA,34.571844,-117.575966,59404,Sheep Creek Community Solar Farm,2022,PV,SINGLE_AXIS,180,,,3.0,
9mupsy,San Bernardino CA,34.509602,-117.387321,32421,Victor Mesa Linda D2,2014,PV,FIXED_TILT,180,20.0,,1.6,c-si
9mupsy,San Bernardino CA,34.511014,-117.387081,17358,Victor Mesa Linda C2,2014,PV,FIXED_TILT,180,20.0,,1.6,c-si
9mupsy,San Bernardino CA,34.512587,-117.387399,47573,Victor Mesa Linda B2,2014,PV,FIXED_TILT,180,20.0,,1.6,c-si
9mupsy,San Bernardino CA,34.497624,-117.470659,65710,Victor Dry Farm Ranch A,2015,PV,FIXED_TILT,193,15.0,,5.0,c-si
9mupsy,San Bernardino CA,34.497824,-117.4723,41336,Victor Dry Farm Ranch B,2015,PV,FIXED_TILT,193,15.0,,5.0,c-si
9mupsy,San Bernardino CA,34.862847,-116.831184,795053,Sunray 3,1985,PV,SINGLE_AXIS,180,0.0,,13.8,c-si
9mupsy,San Bernardino CA,34.858925,-116.814282,431633,Sunray 2,2017,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9mupsy,San Bernardino CA,35.027723,-117.356338,1548154,"Lockhart Solar PV, LLC",2023,PV,SINGLE_AXIS,180,,,85.0,
9mupsy,San Bernardino CA,33.947505,-117.639748,22786,CA Institute for Women,2020,PV,SINGLE_AXIS,180,0.0,,1.0,c-si
9mupsy,San Bernardino CA,34.904059,-117.103149,550484,"Longboat Solar, LLC",2016,PV,SINGLE_AXIS,181,0.0,,20.0,c-si
9mupsy,San Bernardino CA,34.112021,-117.273426,51904,Target Shafter,2018,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9mupsy,San Bernardino CA,34.578988,-117.579412,14360,Phelan Pinon Hills CSD Solar,2015,PV,SINGLE_AXIS,180,0.0,,1.1,c-si
9mupsy,San Bernardino CA,34.625739,-117.369334,2025689,Hudson-High Desert Hybrid,2021,PV,SINGLE_AXIS,180,,batteries,100.0,
9mupsy,San Bernardino CA,34.685814,-117.345262,416868,Alamo Solar,2015,PV,SINGLE_AXIS,180,0.0,,18.7,c-si
9mupsy,San Bernardino CA,34.406096,-116.862059,369464,"Lone Valley Solar Park II, LLC",2014,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9mupsy,San Bernardino CA,34.553793,-117.377244,586986,"Adelanto Solar, LLC",2015,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
