Year,Month,State,Data Status,Residential Capacity (MW),Commercial Capacity (MW),Industrial Capacity (MW),Total Capacity (MW),Residential Generation (MWh),Commercial Generation (MWh),Industrial Generation (MWh),Total Generation (MWh)
2018,1,CA,Final,"4,162.804","1,558.903",934.243,"6,655.950","414,336.817","169,236.099","101,465.549","685,038.465"
2018,2,CA,Final,"4,222.677","1,585.727",939.872,"6,748.276","460,476.790","184,107.351","105,995.608","750,579.748"
2018,3,CA,Final,"4,301.335","1,616.959",952.253,"6,870.547","629,467.197","258,134.461","156,242.979","1,043,844.638"
2018,4,CA,Final,"4,364.027","1,661.678",966.805,"6,992.510","726,868.421","289,930.709","170,135.050","1,186,934.180"
2018,5,CA,Final,"4,434.547","1,698.904",976.641,"7,110.092","798,404.977","320,015.994","188,739.190","1,307,160.161"
2018,6,CA,Final,"4,496.312","1,718.972",990.190,"7,205.474","821,549.258","324,155.398","191,260.807","1,336,965.462"
2018,7,CA,Final,"4,564.592","1,746.191",996.539,"7,307.322","829,902.606","331,426.361","197,450.706","1,358,779.673"
2018,8,CA,Final,"4,636.844","1,778.014","1,003.864","7,418.722","802,926.530","322,070.386","192,574.359","1,317,571.276"
2018,9,CA,Final,"4,702.802","1,808.605","1,019.630","7,531.037","722,663.653","296,286.900","176,362.561","1,195,313.113"
2018,10,CA,Final,"4,778.130","1,835.343","1,027.966","7,641.439","657,178.263","273,668.622","161,556.466","1,092,403.351"
2018,11,CA,Final,"4,844.113","1,858.002","1,046.206","7,748.321","518,472.369","219,708.097","125,939.688","864,120.153"
2018,12,CA,Final,"4,919.381","1,880.786","1,069.106","7,869.273","469,100.053","199,120.300","111,719.878","779,940.230"
2019,1,CA,Final,"4,994.600","1,882.178","1,083.277","7,960.055","492,840.129","203,833.891","117,156.969","813,830.990"
2019,2,CA,Final,"5,056.849","1,898.058","1,090.804","8,045.711","522,512.550","210,307.694","122,603.280","855,423.524"
2019,3,CA,Final,"5,134.023","1,923.445","1,108.998","8,166.466","761,509.684","305,801.483","181,660.124","1,248,971.292"
2019,4,CA,Final,"5,200.990","1,937.739","1,118.552","8,257.281","863,241.566","341,783.475","196,661.973","1,401,687.014"
2019,5,CA,Final,"5,274.465","1,941.441","1,136.397","8,352.303","946,329.869","359,141.368","219,441.726","1,524,912.962"
2019,6,CA,Final,"5,344.038","1,954.068","1,150.038","8,448.144","972,486.552","365,341.063","222,108.682","1,559,936.298"
2019,7,CA,Final,"5,414.661","1,971.433","1,155.510","8,541.604","1,010,988.610","385,897.287","229,026.387","1,625,912.284"
2019,8,CA,Final,"5,500.752","1,993.173","1,165.438","8,659.363","983,743.916","367,852.270","223,575.663","1,575,171.849"
2019,9,CA,Final,"5,583.156","2,010.664","1,181.041","8,774.861","864,374.843","329,249.854","204,203.129","1,397,827.827"
2019,10,CA,Final,"5,666.233","2,025.650","1,188.886","8,880.769","788,381.178","303,547.300","186,544.953","1,278,473.432"
2019,11,CA,Final,"5,752.195","2,047.368","1,199.717","8,999.280","611,237.038","238,287.702","143,680.410","993,205.150"
2019,12,CA,Final,"5,847.027","2,085.084","1,218.726","9,150.837","544,484.977","215,212.114","126,456.518","886,153.609"
