,state,county,name,year,model,capacity[MW],hub_height[m],rotor_diameter[m],longitude_gen,latitude_gen,latitude_county,longitude_county,geohash
0,CA,Kern,251 Wind,1987.0,,0.095,,,-118.36441,35.077435,35.369809,-118.941786,9q5sgb
1,CA,Kern,251 Wind,1987.0,,0.095,,,-118.363762,35.077908,35.369809,-118.941786,9q5sgb
2,CA,Kern,251 Wind,1987.0,,0.095,,,-118.364197,35.077644,35.369809,-118.941786,9q5sgb
3,WY,Laramie,Air Force (Laramie),2009.0,G87-2.0,2.0,78.0,87.0,-104.884689,41.178291,41.153937,-104.771336,9xkgmv
4,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.335289,35.037697,35.369809,-118.941786,9q5sgb
5,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.345291,35.035194,35.369809,-118.941786,9q5sgb
6,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.336891,35.037193,35.369809,-118.941786,9q5sgb
7,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.343689,35.031494,35.369809,-118.941786,9q5sgb
8,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.344887,35.030895,35.369809,-118.941786,9q5sgb
9,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.338486,35.036594,35.369809,-118.941786,9q5sgb
10,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.344086,35.035896,35.369809,-118.941786,9q5sgb
11,CA,Kern,Alite Wind Farm,2008.0,V90-3.0,3.0,80.0,90.0,-118.339989,35.035995,35.369809,-118.941786,9q5sgb
12,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.386787,35.027794,35.369809,-118.941786,9q5sgb
13,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.366287,35.037796,35.369809,-118.941786,9q5sgb
14,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.360588,35.045395,35.369809,-118.941786,9q5sgb
15,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.375786,35.048294,35.369809,-118.941786,9q5sgb
16,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.37619,35.047295,35.369809,-118.941786,9q5sgb
17,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.370987,35.027596,35.369809,-118.941786,9q5sgb
18,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.361191,35.029594,35.369809,-118.941786,9q5sgb
19,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.36039,35.030296,35.369809,-118.941786,9q5sgb
20,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.391991,35.050694,35.369809,-118.941786,9q5sgb
21,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.369286,35.053295,35.369809,-118.941786,9q5sgb
22,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.367027,35.029114,35.369809,-118.941786,9q5sgb
23,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.3797,35.033554,35.369809,-118.941786,9q5sgb
24,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.355385,35.023594,35.369809,-118.941786,9q5sgb
25,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.378189,35.025795,35.369809,-118.941786,9q5sgb
26,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.359589,35.045994,35.369809,-118.941786,9q5sgb
27,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.39399,35.054794,35.369809,-118.941786,9q5sgb
28,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.374191,35.026196,35.369809,-118.941786,9q5sgb
29,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.353485,35.024895,35.369809,-118.941786,9q5sgb
30,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.394485,35.050095,35.369809,-118.941786,9q5sgb
31,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.367287,35.036995,35.369809,-118.941786,9q5sgb
32,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.348488,35.057297,35.369809,-118.941786,9q5sgb
33,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.380486,35.032696,35.369809,-118.941786,9q5sgb
34,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.379791,35.051094,35.369809,-118.941786,9q5sgb
35,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.358086,35.022095,35.369809,-118.941786,9q5sgb
36,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.387291,35.053795,35.369809,-118.941786,9q5sgb
37,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.349586,35.056793,35.369809,-118.941786,9q5sgb
38,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.360291,35.020996,35.369809,-118.941786,9q5sgb
39,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.354187,35.034195,35.369809,-118.941786,9q5sgb
40,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.388985,35.024197,35.369809,-118.941786,9q5sgb
41,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.367584,35.028294,35.369809,-118.941786,9q5sgb
42,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.364891,35.043396,35.369809,-118.941786,9q5sgb
43,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.362091,35.028996,35.369809,-118.941786,9q5sgb
44,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.381485,35.043694,35.369809,-118.941786,9q5sgb
45,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.356987,35.022694,35.369809,-118.941786,9q5sgb
46,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.364388,35.034294,35.369809,-118.941786,9q5sgb
47,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.388885,35.052197,35.369809,-118.941786,9q5sgb
48,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.382385,35.043095,35.369809,-118.941786,9q5sgb
49,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.369286,35.035694,35.369809,-118.941786,9q5sgb
50,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.389687,35.051296,35.369809,-118.941786,9q5sgb
51,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.393288,35.050396,35.369809,-118.941786,9q5sgb
52,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.374687,35.050495,35.369809,-118.941786,9q5sgb
53,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.36869,35.027496,35.369809,-118.941786,9q5sgb
54,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.381882,35.030018,35.369809,-118.941786,9q5sgb
55,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.375191,35.049294,35.369809,-118.941786,9q5sgb
56,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.373688,35.051094,35.369809,-118.941786,9q5sgb
57,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.375305,35.038174,35.369809,-118.941786,9q5sgb
58,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.357689,35.032295,35.369809,-118.941786,9q5sgb
59,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.356491,35.047894,35.369809,-118.941786,9q5sgb
60,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.358185,35.030697,35.369809,-118.941786,9q5sgb
61,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.370186,35.052494,35.369809,-118.941786,9q5sgb
62,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.377388,35.046894,35.369809,-118.941786,9q5sgb
63,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.388191,35.053097,35.369809,-118.941786,9q5sgb
64,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.38739,35.026894,35.369809,-118.941786,9q5sgb
65,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.371887,35.034595,35.369809,-118.941786,9q5sgb
66,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.355339,35.033531,35.369809,-118.941786,9q5sgb
67,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.39209,35.017696,35.369809,-118.941786,9q5sgb
68,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.368286,35.036194,35.369809,-118.941786,9q5sgb
69,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.34729,35.057693,35.369809,-118.941786,9q5sgb
70,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.357391,35.047195,35.369809,-118.941786,9q5sgb
71,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.391586,35.022095,35.369809,-118.941786,9q5sgb
72,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.39566,35.049759,35.369809,-118.941786,9q5sgb
73,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.396889,35.049496,35.369809,-118.941786,9q5sgb
74,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.387886,35.025394,35.369809,-118.941786,9q5sgb
75,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.370285,35.035095,35.369809,-118.941786,9q5sgb
