file_name,eia_id,total_eia_production_mwh,total_pvwatts_production_mwh,difference_mwh_eia_pvwatts
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mudw2_Desert_Green_Solar_Farm,_LLC_33.26524_-116.327979.csv",57959,66028.01999999999,79242.33006126623,-13214.310061266238
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mudw2_Genentech-Oceanside_Hybrid_33.212308_-117.301917.csv,60231,34316.049999999996,54447.919881530834,-20131.869881530838
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mudw2_Granger_33.269396_-117.057731.csv,60516,37047.990000000005,36239.70443118328,808.2855688167256
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mudw2_Jacumba_Solar_Farm_32.618331_-116.132302.csv,60947,216426.01000000004,222693.03356197916,-6267.02356197912
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mudw2_Ramona_1_33.010432_-116.872109.csv,58909,26006.02,25025.024935710873,980.9950642891272
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mudw2_Ramona_2_33.010667_-116.874251.csv,58911,45985.03,62562.577386709745,-16577.547386709746
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mudw2_Ramona_Solar_Energy_33.019293_-116.860202.csv,60995,23159.860000000004,38449.44079461264,-15289.580794612633
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mudw2_SDCWA-Twin_Oaks_33.210648_-117.178261.csv,59139,6824.029999999999,11035.259968840728,-4211.229968840729
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mudw2_Solar_Borrego_I_33.293521_-116.352258.csv,57455,335165.05,333990.3745752273,1174.675424772664
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mudw2_Vallecitos_Water_District_33.210674_-117.176837.csv,64438,4675.030000000001,5644.695257404968,-969.6652574049676
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mudw2_Valley_Center_1_33.230008_-117.003108.csv,58906,28507.03,30877.777170355534,-2370.7471703555348
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mudw2_Valley_Center_2_33.233067_-117.001487.csv,58907,58105.07,61754.558544464046,-3649.488544464046
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mudw2_Valley_Center_33.249653_-117.02176.csv,60509,29165.019999999997,28290.174972326742,874.8450276732547
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Adelanto_Solar,_LLC_34.553793_-117.377244.csv",59441,281117.01,260235.86964622766,20881.140353772353
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Adelanto_Solar_II,_LLC_34.553839_-117.369657.csv",59440,87416.04000000001,91082.47312051566,-3666.4331205156486
