datetime,price[$/MBtu]
2018-01-01 00:00:00+00:00,3.69
2018-01-02 00:00:00+00:00,6.24
2018-01-03 00:00:00+00:00,6.24
2018-01-04 00:00:00+00:00,4.65
2018-01-08 00:00:00+00:00,2.89
2018-01-09 00:00:00+00:00,2.93
2018-01-10 00:00:00+00:00,3.16
2018-01-11 00:00:00+00:00,3.16
2018-01-12 00:00:00+00:00,4.06
2018-01-13 00:00:00+00:00,4.06
2018-01-14 00:00:00+00:00,4.06
2018-01-15 00:00:00+00:00,4.06
2018-01-16 00:00:00+00:00,5.46
2018-01-17 00:00:00+00:00,3.92
2018-01-18 00:00:00+00:00,3.92
2018-01-19 00:00:00+00:00,3.2
2018-01-20 00:00:00+00:00,3.2
2018-01-21 00:00:00+00:00,3.2
2018-01-22 00:00:00+00:00,3.13
2018-01-23 00:00:00+00:00,3.35
2018-01-24 00:00:00+00:00,3.54
2018-01-25 00:00:00+00:00,3.54
2018-01-26 00:00:00+00:00,3.58
2018-01-27 00:00:00+00:00,3.58
2018-01-28 00:00:00+00:00,3.58
2018-01-29 00:00:00+00:00,3.6
2018-01-30 00:00:00+00:00,3.6
2018-01-31 00:00:00+00:00,3.34
2018-02-01 00:00:00+00:00,3.06
2018-02-02 00:00:00+00:00,2.91
2018-02-03 00:00:00+00:00,2.91
2018-02-04 00:00:00+00:00,2.91
2018-02-05 00:00:00+00:00,2.85
2018-02-06 00:00:00+00:00,2.75
2018-02-07 00:00:00+00:00,2.74
2018-02-08 00:00:00+00:00,2.74
2018-02-09 00:00:00+00:00,2.66
2018-02-10 00:00:00+00:00,2.66
2018-02-11 00:00:00+00:00,2.66
2018-02-12 00:00:00+00:00,2.6
2018-02-13 00:00:00+00:00,2.58
2018-02-14 00:00:00+00:00,2.53
2018-02-15 00:00:00+00:00,2.49
2018-02-16 00:00:00+00:00,2.49
2018-02-17 00:00:00+00:00,2.49
2018-02-18 00:00:00+00:00,2.49
2018-02-19 00:00:00+00:00,2.49
2018-02-20 00:00:00+00:00,2.61
2018-02-21 00:00:00+00:00,2.65
2018-02-22 00:00:00+00:00,2.65
2018-02-23 00:00:00+00:00,2.58
2018-02-24 00:00:00+00:00,2.58
2018-02-25 00:00:00+00:00,2.58
2018-02-26 00:00:00+00:00,2.6
2018-02-27 00:00:00+00:00,2.59
2018-02-28 00:00:00+00:00,2.66
2018-03-01 00:00:00+00:00,2.67
2018-03-02 00:00:00+00:00,2.67
2018-03-03 00:00:00+00:00,2.67
2018-03-04 00:00:00+00:00,2.67
2018-03-05 00:00:00+00:00,2.7
2018-03-06 00:00:00+00:00,2.7
2018-03-07 00:00:00+00:00,2.8
2018-03-08 00:00:00+00:00,2.8
2018-03-09 00:00:00+00:00,2.71
2018-03-10 00:00:00+00:00,2.71
2018-03-11 00:00:00+00:00,2.71
2018-03-12 00:00:00+00:00,2.78
2018-03-13 00:00:00+00:00,2.76
2018-03-14 00:00:00+00:00,2.69
