bus,fips,name,year,gentype,capacity[MW],hub_height[m],rotor_diameter[m],longitude,latitude,county,elevation[m],cut_in_wind_speed[m/s],rated_wind_speed[m/s],cut_out_wind_speed[m/s],max_rotor_speed[rd/min],drivetrain_design
9mudw2,6073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.346985,32.725296,San Diego CA,1400.673706054688,4.0,13.0,25.0,19.0,3 Stage Planetary
9mudw2,6073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.330589,32.707096,San Diego CA,1324.554443359375,4.0,13.0,25.0,19.0,3 Stage Planetary
9mudw2,6073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.34079,32.717796,San Diego CA,1347.093383789062,4.0,13.0,25.0,19.0,3 Stage Planetary
9mudw2,6073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.345688,32.730595,San Diego CA,1388.054321289062,4.0,13.0,25.0,19.0,3 Stage Planetary
9mudw2,6073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.346115,32.72879,San Diego CA,1397.812377929688,4.0,13.0,25.0,19.0,3 Stage Planetary
9mudw2,6073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.331787,32.708195,San Diego CA,1325.761352539062,4.0,13.0,25.0,19.0,3 Stage Planetary
9mudw2,6073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.344841,32.733913,San Diego CA,1390.6904296875,4.0,13.0,25.0,19.0,3 Stage Planetary
9mudw2,6073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.34539,32.732296,San Diego CA,1397.837646484375,4.0,13.0,25.0,19.0,3 Stage Planetary
9mudw2,6073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.337685,32.713997,San Diego CA,1329.6376953125,4.0,13.0,25.0,19.0,3 Stage Planetary
9mudw2,6073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.329491,32.705894,San Diego CA,1305.431030273438,4.0,13.0,25.0,19.0,3 Stage Planetary
9mudw2,6073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.338692,32.715294,San Diego CA,1336.995483398438,4.0,13.0,25.0,19.0,3 Stage Planetary
9mudw2,6073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.346786,32.727097,San Diego CA,1404.627075195312,4.0,13.0,25.0,19.0,3 Stage Planetary
9mudw2,6073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.336586,32.712795,San Diego CA,1330.36962890625,4.0,13.0,25.0,19.0,3 Stage Planetary
