datetime,9mudw2,9mupsy,9mvgw4,9q5fm0,9q713t,9q92vz,9q9fy1,9q9m24,9q9wtp,9qbbed,9qc0p1,9qc63x,9qj152,9qndpr,9r1jcf,9rb6wg,9rg8bx,9rn2tf,9rpbwn,9rwgcr,9rx7st,9w1wf0,9w1zzg,9w3h8n,9wbmjr,9wdb95,9wdr2q,9we1bp,9wve62,9x0gc5,9x0ryy,9x3mfn,9x5w98,9xkgmv,c21g7y,c237sz,c245ue,c26crp,c2kx95,c82vu4,c8h5zm
2018-01-01 07:00:00+00:00,,,,,,,,,,,,,,0.0,,,,,4971.93,7438.54,13093.54,8724.43,18385.74,440.72,12523.99,2781.24,28656.97,116918.89,819455.43,3477.51,0.0,23052.56,167052.22,328189.16,,,,,,195708.36,4023.74
2018-01-01 08:00:00+00:00,4848.05,0.0,0.0,695.25,2037659.26,3009.67,0.0,0.0,0.0,0.0,0.0,0.0,71747.34,0.0,0.0,0.0,100568.62,29130.59,5166.39,22677.39,19061.02,7069.3,28748.25,4453.14,9289.14,3279.03,21157.19,194334.6,1252372.28,1734.82,0.0,21377.66,200762.9,459616.78,368764.87,3438.42,558931.33,138049.98,130528.23,188170.21,5136.35
2018-01-01 09:00:00+00:00,3855.55,49.04,0.0,1446.82,2127459.24,3369.18,0.0,0.0,0.0,0.0,0.0,0.0,33554.94,0.0,0.0,0.0,100748.34,17624.46,1278.38,47991.2,73951.64,3697.66,47862.86,0.0,4578.25,4581.96,7331.14,255190.58,1316441.89,305.04,0.0,9391.3,159847.02,572711.37,522961.52,4622.42,685765.89,184644.55,122099.56,170704.6,4117.41
2018-01-01 10:00:00+00:00,3780.48,162.59,0.0,764.8,2444126.56,3504.67,0.0,0.0,0.0,0.0,0.0,0.0,2.27,1551.02,0.0,0.0,100324.96,2696.93,1633.38,53828.19,79082.61,4232.09,50400.0,0.0,5224.61,33929.64,17923.27,245376.03,1503726.94,677.35,0.0,22617.37,175255.42,626756.06,541951.38,5193.05,538502.93,175908.09,169243.53,166233.64,2333.45
2018-01-01 11:00:00+00:00,0.0,42.71,0.0,331.17,1742374.63,2444.86,0.0,0.0,0.0,0.0,0.0,0.0,4602.84,2956.67,0.0,0.0,100815.97,0.0,224.96,70194.93,110596.33,4259.54,50400.0,0.0,640.42,54855.96,42612.7,239000.11,1499068.48,0.0,0.0,24289.83,181915.03,647037.7,417993.42,5742.93,296173.31,181475.54,78174.56,151513.82,2006.68
2018-01-01 12:00:00+00:00,0.0,25.94,0.0,86.92,911396.14,2407.37,0.0,0.0,0.0,0.0,0.0,0.0,3068.74,2435.16,0.0,0.0,98620.59,0.0,0.0,64304.14,113772.6,10235.35,3787.63,0.0,0.0,37389.35,40473.95,192651.24,1655887.65,0.0,0.0,49073.38,192552.0,661352.51,256246.58,5361.28,227850.98,112548.44,56392.11,79806.22,60.57
2018-01-01 13:00:00+00:00,0.0,0.0,0.0,22.8,255158.0,1800.36,0.0,0.0,0.0,0.0,0.0,29.27,130.9,1471.19,150.49,0.0,97219.86,4297.12,0.0,65541.28,133919.65,8108.28,9913.21,8.4,0.0,22858.32,28793.82,140018.41,1748930.66,0.0,306.68,75954.85,185292.78,676015.65,324375.24,4585.92,190380.1,163640.2,55543.32,74405.35,2698.07
2018-01-01 14:00:00+00:00,0.0,0.0,0.0,10.21,135307.24,1348.93,0.0,0.0,0.0,0.0,0.0,295.96,208.89,2270.23,181.04,0.0,85126.19,10401.89,0.0,105370.52,160015.06,3293.79,8816.05,0.0,0.0,17710.45,28040.08,103144.44,1686883.66,0.0,170.98,116503.11,191559.72,516176.28,285878.75,3746.39,175622.88,118884.72,31523.4,56453.96,4256.7
2018-01-01 15:00:00+00:00,0.0,8.63,0.0,0.0,47459.12,841.6,4334.38,0.0,0.0,0.0,0.0,2466.87,186.05,1556.94,559.96,14.29,91317.9,14656.02,0.0,93936.47,177219.73,1342.73,0.0,0.0,0.0,14565.8,13389.29,65178.81,1679499.41,0.0,215.25,151198.49,207831.75,473574.62,141200.49,2978.5,97002.9,125197.15,125631.84,29023.33,2822.94
2018-01-01 16:00:00+00:00,0.0,28.29,0.0,0.0,11260.45,1363.9,0.0,0.0,0.0,0.0,0.0,1348.49,57.43,4394.43,202.86,18.65,79464.83,23059.23,0.0,140636.24,142176.54,487.86,4258.45,0.0,0.0,8133.52,13367.15,24375.21,1544839.34,0.0,0.0,123667.15,232847.88,539325.67,122235.06,3022.9,37805.85,105572.76,156581.57,39216.61,4564.68
2018-01-01 17:00:00+00:00,18.19,1.15,0.0,0.0,28264.62,149.66,0.0,0.0,0.0,0.0,0.0,586.27,17.99,3973.49,1135.18,23.52,77412.65,24347.1,0.0,115577.05,130885.89,0.0,26454.75,123.79,0.0,8740.1,12886.79,13573.41,1401785.4,0.0,0.0,148474.32,236642.28,620535.3,78502.74,2511.3,41664.3,74672.9,45848.24,63858.25,14502.63
2018-01-01 18:00:00+00:00,0.0,28.42,0.0,0.0,102309.6,255.2,0.0,0.0,0.0,0.0,0.0,4094.72,77.33,5692.07,3098.33,12.19,72126.54,15182.92,643.42,101288.98,125441.86,0.0,6881.54,264.81,1162.82,12631.49,6579.45,4538.26,1397477.01,0.0,4.64,146275.0,236877.44,637463.9,84278.64,2247.1,99458.39,49531.36,50828.58,47925.72,1824.93
