bus,fips,name,year,gentype,capacity[MW],hub_height[m],rotor_diameter[m],longitude,latitude,county
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.29908,32.760899,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.346985,32.725296,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.330589,32.707096,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.34079,32.717796,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.345688,32.730595,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.346115,32.72879,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.284233,32.749065,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.333107,32.777653,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.329414,32.78981,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.276443,32.722862,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.331787,32.708195,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.306526,32.774254,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.300179,32.772335,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.263664,32.738239,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.328232,32.787628,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.327248,32.785423,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.313568,32.783554,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.333061,32.780209,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.296799,32.772171,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.344841,32.733913,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.34539,32.732296,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.337685,32.713997,San Diego CA
9mudw2,06073,Golden Acorn Casino,2014.0,GE1.85-82.5,1.85,80.0,82.5,-116.351318,32.701496,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.329491,32.705894,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.338692,32.715294,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.317375,32.785416,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.346786,32.727097,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.336586,32.712795,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.251144,32.72707,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.339249,32.784554,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.334854,32.782314,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.275017,32.720901,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.294472,32.776768,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.277275,32.725357,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.320778,32.789234,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.282692,32.736179,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.30619,32.778351,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.280434,32.742283,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.338966,32.810207,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.297516,32.777542,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.33419,32.710495,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.288452,32.770554,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.282875,32.747116,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.285515,32.769958,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.332047,32.775333,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.339691,32.716595,San Diego CA
9mudw2,06073,Tule,2018.0,GE2.3-107,2.3,80.0,107.0,-116.281334,32.731361,San Diego CA
9mudw2,06073,Kumeyaay Phase I,2005.0,G87-2.0,2.0,67.0,87.0,-116.335289,32.711697,San Diego CA
