geocode,usps,county,heating_sens,heating_temp,heating_rmse,cooling_sens,cooling_temp,cooling_rmse
9w61k3,AZ,Apache County,-0.886708695678698,17.273994696322042,0.09611825660254525,0.41748932003355427,0.17692323724191447,0.05483522185175359
9t9vnh,AZ,Cochise County,-1.1339248878295816,33.161495049676354,0.1629861397413739,2.276947973833117,41.6701438932639,0.19606423053319094
9w2ebd,AZ,Coconino County,-0.7048839618684772,10.517224558087838,0.08082207231200358,2.2435219531255854,35.28345827914924,0.14875124545500054
9w10nr,AZ,Gila County,-0.9860335156062232,22.515281241028802,0.11206714485070593,0.9899912580076935,5.715907199676798,0.09719759115808135
9tcg7e,AZ,Graham County,-0.3333578919273812,2.9887374060399914,0.059506104085487926,0.6342522013455751,3.9544236957429537,0.050438373564754
9tfm44,AZ,Greenlee County,-0.1811012228413315,0.7137846848819063,0.021781014539753417,0.2809941489260604,1.0904372865640983,0.023152115632131286
9myzug,AZ,La Paz County,-0.10492604892104553,0.35809967821037875,0.02003839234073412,1.1392974849096218,18.227105477071163,0.09402531872805008
9tbj8n,AZ,Maricopa County,-20.564065411459495,12630.53521737395,2.996997877121751,130.0307444973039,233465.13305907074,6.835819314106666
9qr55w,AZ,Mohave County,-3.6496377960679975,363.42806736167665,0.5083000981128493,4.787670028882475,199.0882841080158,0.40982362000701716
9w393d,AZ,Navajo County,-0.9065581755761954,18.766178187806823,0.11601748006381138,1.2129269791741755,6.268408036115289,0.13009523821596314
9t8wb2,AZ,Pima County,-4.854604197235934,681.7437606064058,0.6936547210190583,29.00624255798692,10111.872538177824,2.050715997022064
9tbg3b,AZ,Pinal County,-1.2343654824925758,47.774694301260055,0.20990920136682914,13.532374102841445,2794.3145389892466,0.7896108768060242
9t95me,AZ,Santa Cruz County,-0.2429767406693702,1.39837191792867,0.04317503621739477,0.6599267116178422,4.060232224576486,0.0559790415868685
9qpvn0,AZ,Yavapai County,-2.8925968894760503,194.58518743692252,0.30482002718796053,3.110258654080996,54.82259455669463,0.2947083115195403
9myfry,AZ,Yuma County,-0.7329228767854885,16.40774737429082,0.11925645139585471,8.002418499420342,978.5299943435539,0.46855172630907954
9q9q1v,CA,Alameda County,-11.27257873656106,2375.185991283785,0.4869299101123152,11.642020185234239,1206.912521736331,0.32321085243964015
9qfg9y,CA,Alpine County,-0.05526171181017746,0.05786572956558891,0.007212693217978641,0.018280103601980752,-0.0005170969739829446,0.004187880164982881
9qf4wq,CA,Amador County,-0.4797221749330858,3.9956898539594916,0.04375948472779088,0.19276407046206792,-0.03915195336081988,0.027124414735153656
9r198u,CA,Butte County,-1.5478054137066435,57.39525491130078,0.15391699460770483,4.8791448918726035,240.82440204478917,0.33203632835952607
9qf30x,CA,Calaveras County,-0.7179539425176171,9.516885430585647,0.08139120869521817,0.2264708593493497,-0.05776557665652939,0.03608212738228407
9qcnfk,CA,Colusa County,-0.07747303739962148,0.1497726773555799,0.010492775081068445,0.3064551386905543,0.86571167265889,0.026230860758359672
