system_id,geocode,Bus  Number,Bus  Name,latitude,longitude,county,state,tzoffset,azimuth,tilt,power,tracking,module_type,min_measured_date,max_measured_date,backtracking,mount_type
15,9q5epx,2405,SYLMAR S,34.317296,-118.495046,9q5fsc,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
16,9q5evq,2410,PARDEE,34.442694,-118.58844,9q5fsc,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
17,9q5f6t,2602,STA E,34.176429,-118.360306,9q5fsc,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
18,9q5fj1,2617,STA G,34.10948,-118.254629,9q5fsc,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
19,9q5fm0,2609,GLENDAL,34.146111,-118.255,9q5fsc,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
20,9q5fq8,2406,EAGLROCK,34.150436,-118.184526,9q5fsc,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
21,9q5g0q,2611,OLIVE,34.31131,-118.455696,9q5fsc,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
22,9q5sgb,2608,CASTAIC,34.589863,-118.663274,9q573n,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
24,9q603v,3801,DIABLO,35.230747,-120.855104,9q6371,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
25,9q613c,3806,MORROBAY,35.38543,-120.858669,9q6371,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
26,9q6tde,3802,GATES,36.144321,-120.124187,9q6v1w,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
27,9q713t,3803,MIDWAY,35.408481,-119.456003,9q6v1w,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
28,9q8yqr,3102,MARTIN,37.704337,-122.410274,9q8uz7,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
29,9q8yyc,3105,POTRERO,37.75843,-122.398,9q8uz7,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
30,9q8yyz,3101,EMBRCDRD,37.788555,-122.395045,9q8uz7,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
31,9q92vz,3902,MOSSLAND,36.737604,-121.732796,9q94x9,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
32,9q97v8,3301,METCALF,37.222363,-121.746496,9q97wz,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
33,9q9fy1,3901,LOSBANOS,37.054001,-121.022616,9qd5sg,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
34,9q9hgh,3302,JEFFERSN,37.4198065,-122.2042168,9q8uz7,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
35,9q9hq4,3304,MONTAVIS,37.322286,-122.0737899,9q8uz7,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
36,9q9jb9,3103,SANMATEO,37.582985,-122.318546,9q8uz7,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
37,9q9jk9,3305,RAVENSWD,37.494231,-122.138182,9q9q1v,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
38,9q9m24,3203,NEWARK,37.501131,-121.987444,9q9q1v,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
39,9q9peh,3205,SOBRANTE,37.905327,-122.208867,9q9r8z,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
40,9q9pk4,3202,MORAGA,37.848161,-122.16088,9q9r8z,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
41,9q9w99,3903,TESLA,37.71247,-121.565283,9q9q1v,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
42,9q9wtp,8002,TRACY,37.74752,-121.416448,9q9zb3,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
43,9qbbed,3914,IGNACIO,38.070278,-122.538611,9qb8qz,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
44,9qbcde,3915,LAKEVILE,38.249937,-122.583996,9qb8qz,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
45,9qben2,3501,FULTON,38.497952,-122.761324,9qbe4t,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
46,9qc0p1,3201,C.COSTA,37.978056,-122.031111,9q9r8z,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
47,9qc26h,3204,PITSBURG,38.037129,-121.897096,9q9r8z,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
48,9qc63x,3904,VACA-DIX,38.40437,-121.918134,9qc39n,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
