,state,county,latitude_gen,longitude_gen,area[m^2],name,year,gentype,axis,azimuth[deg],tilt[deg],battery,capacity[MW],latitude_county,longitude_county,geohash
0,AZ,Maricopa,33.340897,-112.950745,3536609,"Mesquite Solar 3, LLC",2016,PV,single-axis,90.0,52.0,,154.0,33.490147,-112.044016,9mzqxj
1,AZ,Pinal,33.158993,-111.481621,408286,"Poseidon Solar, LLC",2011,PV,single-axis,0.0,0.0,,20.0,33.069323,-111.602135,9w01f3
2,AZ,Yavapai,34.724117,-112.432266,552527,Chino Solar Valley,2012,PV,single-axis,0.0,0.0,batteries,19.0,34.628734,-112.273841,9w01f3
3,AZ,Yavapai,34.690319,-112.40448,277805,Prescott Solar Plant,2011,PV,single-axis,0.0,0.0,,10.4,34.628734,-112.273841,9w01f3
4,AZ,Mohave,35.022823,-114.162453,217560,"Black Mountain Solar, LLC",2012,PV,single-axis,180.0,,,9.0,35.034511,-114.262415,9qndpr
5,AZ,Maricopa,33.498169,-112.813278,364331,Badger 1,2013,PV,single-axis,90.0,,,14.8,33.490147,-112.044016,9mzqxj
6,AZ,Pima,32.145813,-110.87957,274954,Valencia Solar,2013,PV,single-axis,0.0,0.0,,9.0,32.216427,-110.95803,9w01f3
7,AZ,Yuma,32.975842,-113.494888,7321254,Agua Caliente Solar Project,2014,PV,fixed-tilt,195.0,15.0,,290.0,32.641391,-114.605444,9mzqxj
8,AZ,Santa Cruz,31.496433,-111.006905,92813,Rio Rico Solar,2014,PV,fixed-tilt,180.0,25.0,,6.0,31.439234,-110.945948,9mzqxj
9,AZ,Pima,32.042664,-110.959068,438244,Avalon Solar II,2016,PV,single-axis,180.0,,,16.0,32.216427,-110.95803,9w01f3
10,AZ,Pima,32.030869,-110.958588,760619,Avalon Solar,2014,PV,single-axis,90.0,,,29.0,32.216427,-110.95803,9w01f3
11,AZ,Maricopa,32.948589,-112.769775,1024980,Gila Bend Hybrid,2014,PV,single-axis,0.0,0.0,batteries,37.1,33.490147,-112.044016,9mzqxj
12,AZ,Maricopa,33.143986,-112.662712,278308,Desert Star Hybrid,2015,PV,single-axis,0.0,0.0,batteries,11.2,33.490147,-112.044016,9mzqxj
13,AZ,Maricopa,33.525059,-112.382462,269322,Luke Solar,2015,PV,single-axis,180.0,,,11.2,33.490147,-112.044016,9w01f3
14,AZ,Maricopa,33.020905,-112.661697,502333,Paloma Solar Hybrid,2011,PV,fixed-tilt,190.0,25.0,batteries,17.6,33.490147,-112.044016,9mzqxj
15,AZ,Yavapai,34.588615,-113.173943,382216,"RE Bagdad Solar I, LLC",2011,PV,single-axis,180.0,,,15.0,34.628734,-112.273841,9w01f3
16,AZ,Maricopa,33.381248,-113.184517,439241,Saddle Mountain Solar I,2012,PV,single-axis,0.0,0.0,,15.0,33.490147,-112.044016,9mzqxj
17,AZ,Pima,32.370827,-111.238243,638610,"Picture Rocks Solar, LLC",2012,PV,single-axis,180.0,0.0,,20.0,32.216427,-110.95803,9w01f3
18,AZ,Pima,32.371834,-111.283241,811849,Avra Valley Solar,2013,PV,single-axis,180.0,0.0,,26.5,32.216427,-110.95803,9w01f3
19,AZ,Pima,32.101006,-110.81572,128673,Tech Park Solar,2012,PV,fixed-tilt,0.0,0.0,,5.1,32.216427,-110.95803,9w01f3
20,AZ,Maricopa,33.34222,-112.919899,2740768,Mesquite Solar 1,2012,PV,fixed-tilt,180.0,20.0,,170.0,33.490147,-112.044016,9mzqxj
21,AZ,Yuma,32.6395,-114.431351,1291273,Foothills Solar Plant Hybrid,2013,PV,single-axis,0.0,0.0,batteries,37.4,32.641391,-114.605444,9mvgw4
22,AZ,Maricopa,33.304535,-112.833298,3315504,Arlington Valley Solar Energy II,2013,PV,single-axis,90.0,,,129.0,33.490147,-112.044016,9mzqxj
23,AZ,Apache,34.294476,-109.271538,377463,Springerville,2014,PV,"fixed-tilt,single-axis",180.0,25.0,,13.6,35.543654,-109.419015,9w1zzg
