UNIT NAME,UNIT CODE,COUNTY,INSTALLED CAPACITY RATING (MW)
7V SOLAR,7RNCHSLR_UNIT1,FAYETTE,139.5
7V SOLAR U2,7RNCHSLR_UNIT2,FAYETTE,95.54
7V SOLAR U3,7RNCHSLR_UNIT3,FAYETTE,5.57
ACACIA SOLAR,ACACIA_UNIT_1,PRESIDIO,10.0
ALEXIS SOLAR,ALEXIS_ALEXIS,BROOKS,10.0
ANDROMEDA SOLAR U1,ANDMDSLR_UNIT1,SCURRY,158.8
ANDROMEDA SOLAR U2,ANDMDSLR_UNIT2,SCURRY,162.4
ANGELO SOLAR,ANG_SLR_UNIT1,TOM GREEN,195.41
ANSON SOLAR U1,ANSON1_UNIT1,JONES,100.8
ANSON SOLAR U2,ANSON1_UNIT2,JONES,100.8
ARAGORN SOLAR,ARAGORN_UNIT1,CULBERSON,188.2
AUREOLA SOLAR U1,AURO_SLR_UNIT1,MILAM,201.66
AZURE SKY SOLAR U1,AZURE_SOLAR1,HASKELL,74.9
AZURE SKY SOLAR U2,AZURE_SOLAR2,HASKELL,153.5
BHE SOLAR PEARL PROJECT (SIRIUS 2),SIRIUS_UNIT2,PECOS,50.0
BIG ELM SOLAR,BELM_SLR_UNIT1,BELL,200.99
BLUEBELL SOLAR (CAPRICORN RIDGE SOLAR),CAPRIDG4_BB_PV,STERLING,30.0
BLUEBELL SOLAR II 1 (CAPRICORN RIDGE 4),CAPRIDG4_BB2_PV1,STERLING,100.0
BLUEBELL SOLAR II 2 (CAPRICORN RIDGE 4),CAPRIDG4_BB2_PV2,STERLING,15.0
BNB LAMESA SOLAR (PHASE I),LMESASLR_UNIT1,DAWSON,101.6
BNB LAMESA SOLAR (PHASE II),LMESASLR_IVORY,DAWSON,50.0
BOVINE SOLAR LLC,BOVINE_BOVINE,AUSTIN,5.0
BOVINE SOLAR LLC,BOVINE2_BOVINE2,AUSTIN,5.0
BPL FILES SOLAR,FILESSLR_PV1,HILL,146.09
BRIGHTSIDE SOLAR,BRIGHTSD_UNIT1,BEE,53.4
BRONSON SOLAR I,BRNSN_BRNSN,FORT BEND,5.0
BRONSON SOLAR II,BRNSN2_BRNSN2,FORT BEND,5.0
CASTLE GAP SOLAR,CASL_GAP_UNIT1,UPTON,180.0
CATAN SOLAR,CS10_CATAN,KARNES,10.0
CHISUM SOLAR,CHISUM_CHISUM,LAMAR,10.0
COMMERCE_SOLAR,X443PV1_SWRI_PV1,BEXAR,5.0
CONIGLIO SOLAR,CONIGLIO_UNIT1,FANNIN,125.7
CORAL SOLAR U1,CORALSLR_SOLAR1,FALLS,97.7
