UNIT NAME,UNIT CODE,COUNTY,INSTALLED CAPACITY RATING (MW)
CORAL SOLAR U2,CORALSLR_SOLAR2,FALLS,56.3
CORAZON SOLAR PHASE I,CORAZON_UNIT1,WEBB,202.6
CROWN SOLAR,CRWN_SLR_UNIT1,FALLS,101.3
DANCIGER SOLAR U1,DAG_UNIT1,BRAZORIA,101.4
DANCIGER SOLAR U2,DAG_UNIT2,BRAZORIA,101.4
DILEO SOLAR,DILEOSLR_UNIT1,BOSQUE,71.4
EAST BLACKLAND SOLAR (PFLUGERVILLE SOLAR),E_BLACK_UNIT_1,TRAVIS,144.0
EDDY SOLAR II,EDDYII_EDDYII,MCLENNAN,10.0
EIFFEL SOLAR,EIFSLR_UNIT1,LAMAR,241.0
ELARA SOLAR,ELARA_SL_UNIT1,FRIO,132.4
ELLIS SOLAR,ELLISSLR_UNIT1,ELLIS,81.3
EMERALD GROVE SOLAR (PECOS SOLAR POWER I),EGROVESL_UNIT1,CRANE,109.5
EUNICE SOLAR U1,EUNICE_PV1,ANDREWS,189.6
EUNICE SOLAR U2,EUNICE_PV2,ANDREWS,237.1
FENCE POST SOLAR U1,FENCESLR_SOLAR1,NAVARRO,138.88
FENCE POST SOLAR U2,FENCESLR_SOLAR2,NAVARRO,97.98
FIFTH GENERATION SOLAR 1,FIFTHGS1_FGSOLAR1,TRAVIS,6.8
FIVE WELLS SOLAR U1,FIVEWSLR_UNIT1,BELL,194.42
FIVE WELLS SOLAR U2,FIVEWSLR_UNIT2,BELL,126.97
FOWLER RANCH,FWLR_SLR_UNIT1,CRANE,152.5
FRYE SOLAR U1,FRYE_SLR_UNIT1,SWISHER,250.9
FRYE SOLAR U2,FRYE_SLR_UNIT2,SWISHER,251.1
FS BARILLA SOLAR-PECOS,HOVEY_UNIT1,PECOS,22.0
FS EAST PECOS SOLAR,BOOTLEG_UNIT1,PECOS,126.0
GALLOWAY 1 SOLAR,GALLOWAY_SOLAR1,CONCHO,250.0
GALLOWAY 2 SOLAR,GALLOWAY_SOLAR2,CONCHO,111.1
GOLINDA SOLAR,GOLINDA_UNIT1,FALLS,101.1
GREASEWOOD SOLAR 1,GREASWOD_UNIT1,PECOS,126.3
GREASEWOOD SOLAR 2,GREASWOD_UNIT2,PECOS,132.2
GRIFFIN SOLAR,GRIFFIN_GRIFFIN,MCLENNAN,5.0
GRIZZLY RIDGE SOLAR,GRIZZLY_SOLAR1,HAMILTON,101.7
HALO SOLAR,HALO_SLR_UNIT1,BELL,251.15
HIGHWAY 56,HWY56_HWY56,GRAYSON,5.3
HM SEALY SOLAR 1,SEALY_1UNIT,AUSTIN,1.6
HOLLYWOOD SOLAR U1,HOL_UNIT1,WHARTON,176.14
HOLLYWOOD SOLAR U2,HOL_UNIT2,WHARTON,178.95
HOLSTEIN SOLAR 1,HOLSTEIN_SOLAR1,NOLAN,102.2
HOLSTEIN SOLAR 2,HOLSTEIN_SOLAR2,NOLAN,102.3
HOPKINS SOLAR U1,HOPKNSLR_UNIT1,HOPKINS,175.35
HOPKINS SOLAR U2,HOPKNSLR_UNIT2,HOPKINS,76.17
HORIZON SOLAR,HRZN_SLR_UNIT1,FRIO,203.5
IMPACT SOLAR,IMPACT_UNIT1,LAMAR,198.5
JADE SOLAR U1,JADE_SLR_UNIT1,SCURRY,158.8
JADE SOLAR U2,JADE_SLR_UNIT2,SCURRY,162.4
JUNO SOLAR PHASE I,JUNO_UNIT1,BORDEN,162.1
JUNO SOLAR PHASE II,JUNO_UNIT2,BORDEN,143.5
KELLAM SOLAR,KELAM_SL_UNIT1,VAN ZANDT,59.8
LAPETUS SOLAR,LAPETUS_UNIT_1,ANDREWS,100.7
LEON,LEON_LEON,HUNT,10.0
LILY SOLAR,LILY_SOLAR1,KAUFMAN,147.6
LONG DRAW SOLAR U1,LGDRAW_S_UNIT1_1,BORDEN,98.5
LONG DRAW SOLAR U2,LGDRAW_S_UNIT1_2,BORDEN,128.3
LONGBOW SOLAR,LON_SOLAR1,BRAZORIA,78.2
MANDORLA SOLAR,MAND_SLR_UNIT1,MILAM,251.45
MARLIN,MARLIN_MARLIN,FALLS,5.3
MARS SOLAR (DG),MARS_MARS,WEBB,10.0
MCLEAN (SHAKES) SOLAR,MCLNSLR_UNIT1,DIMMIT,207.4
MISAE SOLAR U1,MISAE_UNIT1,CHILDRESS,121.4
MISAE SOLAR U2,MISAE_UNIT2,CHILDRESS,118.6
MUSTANG CREEK SOLAR U1,MUSTNGCK_SOLAR1,JACKSON,61.0
MUSTANG CREEK SOLAR U2,MUSTNGCK_SOLAR2,JACKSON,91.25
NEBULA SOLAR (RAYOS DEL SOL) U1,NEBULA_UNIT1,CAMERON,137.5
NOBLE SOLAR U1,NOBLESLR_SOLAR1,DENTON,148.8
NOBLE SOLAR U2,NOBLESLR_SOLAR2,DENTON,130.2
NORTH GAINESVILLE,NGNSVL_NGAINESV,COOKE,5.2
OCI ALAMO 1 SOLAR,OCI_ALM1_UNIT1,BEXAR,39.18
OCI ALAMO 4 SOLAR-BRACKETVILLE,ECLIPSE_UNIT1,KINNEY,37.62
OCI ALAMO 5 (DOWNIE RANCH),HELIOS_UNIT1,UVALDE,100.0
OCI ALAMO 6 (SIRIUS/WEST TEXAS),SIRIUS_UNIT1,PECOS,110.2
OCI ALAMO 7 (PAINT CREEK),SOLARA_UNIT1,HASKELL,112.0
PHOEBE SOLAR 1,PHOEBE_UNIT1,WINKLER,125.14
PHOEBE SOLAR 2,PHOEBE_UNIT2,WINKLER,128.05
PHOENIX SOLAR,PHOENIX_UNIT1,FANNIN,83.9
PISGAH RIDGE SOLAR U1,PISGAH_SOLAR1,NAVARRO,189.4
PISGAH RIDGE SOLAR U2,PISGAH_SOLAR2,NAVARRO,64.4
PITTS DUDIK SOLAR U1,PITTSDDK_UNIT1,HILL,49.6
PORTER SOLAR U1,PORT_SLR_UNIT1,DENTON,245.83
POWERFIN KINGSBERY,PFK_PFKPV,TRAVIS,2.6
PROSPERO SOLAR 1 U1,PROSPERO_UNIT1,ANDREWS,153.6
PROSPERO SOLAR 1 U2,PROSPERO_UNIT2,ANDREWS,150.0
PROSPERO SOLAR 2 U1,PRSPERO2_UNIT1,ANDREWS,126.5
PROSPERO SOLAR 2 U2,PRSPERO2_UNIT2,ANDREWS,126.4
QUEEN SOLAR U1,QUEEN_SL_SOLAR1,UPTON,102.5
QUEEN SOLAR U2,QUEEN_SL_SOLAR2,UPTON,102.5
QUEEN SOLAR U3,QUEEN_SL_SOLAR3,UPTON,97.5
QUEEN SOLAR U4,QUEEN_SL_SOLAR4,UPTON,107.5
RADIAN SOLAR U1,RADN_SLR_UNIT1,BROWN,161.41
RADIAN SOLAR U2,RADN_SLR_UNIT2,BROWN,166.02
RAMBLER SOLAR,RAMBLER_UNIT1,TOM GREEN,211.19
RATLIFF SOLAR (CONCHO VALLEY SOLAR),RATLIFF_SOLAR1,TOM GREEN,162.43
RE ROSEROCK SOLAR 1,REROCK_UNIT1,PECOS,78.75
RE ROSEROCK SOLAR 2,REROCK_UNIT2,PECOS,78.75
REDBARN SOLAR 1 (RE MAPLEWOOD 2A SOLAR),REDBARN_UNIT_1,PECOS,222.0
REDBARN SOLAR 2 (RE MAPLEWOOD 2B SOLAR),REDBARN_UNIT_2,PECOS,28.0
RENEWABLE ENERGY ALTERNATIVES-CCS1,COSERVSS_CSS1,DENTON,2.0
RIGGINS (SE BUCKTHORN WESTEX SOLAR),RIGGINS_UNIT1,PECOS,155.44
RIPPEY SOLAR,RIPPEY_UNIT1,COOKE,59.8
ROWLAND SOLAR I,ROW_UNIT1,FORT BEND,101.7
ROWLAND SOLAR II,ROW_UNIT2,FORT BEND,200.7
SOLAIREHOLMAN 1,LASSO_UNIT1,BREWSTER,50.0
SPARTA SOLAR U1,SPARTA_UNIT1,BEE,147.5
SPARTA SOLAR U2,SPARTA_UNIT2,BEE,104.9
SP-TX-12-PHASE B,SPTX12B_UNIT1,UPTON,157.5
STERLING,STRLING_STRLING,HUNT,10.0
STRATEGIC SOLAR 1,STRATEGC_UNIT1,ELLIS,135.0
SUN VALLEY U1,SUNVASLR_UNIT1,HILL,165.75
SUN VALLEY U2,SUNVASLR_UNIT2,HILL,86.19
SUNRAY,SUN_SLR_UNIT_1,UVALDE,203.5
TAVENER U1 (FORT BEND SOLAR)                                                                                                                                                                                                                                   ,TAV_UNIT1,FORT BEND,149.5
TAVENER U2 (FORT BEND SOLAR)                                                                                                                                                                                                                                   ,TAV_UNIT2,FORT BEND,100.4
TAYGETE SOLAR 1 U1,TAYGETE_UNIT1,PECOS,125.9
TAYGETE SOLAR 1 U2,TAYGETE_UNIT2,PECOS,128.9
TAYGETE SOLAR 2 U1,TAYGETE2_UNIT1,PECOS,101.9
TAYGETE SOLAR 2 U2,TAYGETE2_UNIT2,PECOS,101.9
TEXAS SOLAR NOVA U1,NOVA1SLR_UNIT1,KENT,126.81
TEXAS SOLAR NOVA U2,NOVA1SLR_UNIT2,KENT,126.7
TIERRA BONITA SOLAR U1,TRBT_SLR_PV1,PECOS,150.0
TIERRA BONITA SOLAR U2,TRBT_SLR_PV2,PECOS,156.9
TITAN SOLAR (IP TITAN) U1,TI_SOLAR_UNIT1,CULBERSON,136.8
TITAN SOLAR (IP TITAN) U2,TI_SOLAR_UNIT2,CULBERSON,131.1
TPE ERATH SOLAR,ERATH_ERATH21,ERATH,10.0
TRUE NORTH SOLAR U1,TNS_SLR_UNIT1,FALLS,119.35
TRUE NORTH SOLAR U2,TNS_SLR_UNIT2,FALLS,119.45
VANCOURT SOLAR,VANCOURT_UNIT1,CAMERON,45.7
VISION SOLAR 1,VISION_UNIT1,NAVARRO,129.2
WAGYU SOLAR,WGU_UNIT1,BRAZORIA,120.0
WALNUT SPRINGS,WLNTSPRG_1UNIT,BOSQUE,10.0
WAYMARK SOLAR,WAYMARK_UNIT1,UPTON,182.0
WEBBERVILLE SOLAR,WEBBER_S_WSP1,TRAVIS,26.7
WEST MOORE II,WMOOREII_WMOOREII,GRAYSON,5.0
WEST OF PECOS SOLAR,W_PECOS_UNIT1,REEVES,100.0
WESTORIA SOLAR U1,WES_UNIT1,BRAZORIA,101.6
WESTORIA SOLAR U2,WES_UNIT2,BRAZORIA,101.6
WHITESBORO,WBORO_WHTSBORO,GRAYSON,5.0
WHITESBORO II,WBOROII_WHBOROII,GRAYSON,5.0
WHITEWRIGHT,WHTRT_WHTRGHT,FANNIN,10.0
YELLOW JACKET SOLAR,YLWJACKET_YLWJACKET,BOSQUE,5.0
ZIER SOLAR,ZIER_SLR_PV1,KINNEY,161.28
ASH CREEK SOLAR U1,ASCK_SLR_SOLAR1,HILL,206.8
ASH CREEK SOLAR U2,ASCK_SLR_SOLAR2,HILL,210.94
AZALEA SPRINGS SOLAR,AZSP_SLR_SOLAR1,ANGELINA,181.0
BAKER BRANCH SOLAR U1,BAKE_SLR_UNIT1,LAMAR,234.84
BAKER BRANCH SOLAR U2,BAKE_SLR_UNIT2,LAMAR,234.57
BIG STAR SOLAR U1,BIG_STAR_UNIT1,BASTROP,132.27
BIG STAR SOLAR U2,BIG_STAR_UNIT2,BASTROP,70.83
BLEVINS SOLAR U2,BLVN_SLR_SOLAR2,FALLS,132.02
BLEVINS SOLAR U3,BLVN_SLR_SOLAR3,FALLS,139.74
BLUE JAY SOLAR I,BLUEJAY_UNIT1,GRIMES,69.0
BLUE JAY SOLAR II,BLUEJAY_UNIT2,GRIMES,141.0
BRIGHT ARROW SOLAR U1,BR_ARROW_UNIT1,HOPKINS,127.3
BRIGHT ARROW SOLAR U2,BR_ARROW_UNIT2,HOPKINS,173.9
BUFFALO CREEK (OLD 300 SOLAR CENTER) U1,BCK_UNIT1,FORT BEND,217.5
BUFFALO CREEK (OLD 300 SOLAR CENTER) U2,BCK_UNIT2,FORT BEND,221.3
CHEVRON ALLEN SOLAR (HAYHURST TEXAS SOLAR),CHAL_SLR_SOLAR1,CULBERSON,25.22
CHILLINGHAM SOLAR U1,CHIL_SLR_SOLAR1,BELL,174.3
CHILLINGHAM SOLAR U2,CHIL_SLR_SOLAR2,BELL,178.1
COMPADRE SOLAR U1,CMPD_SLR_SOLAR1,HILL,195.17
COMPADRE SOLAR U2,CMPD_SLR_SOLAR2,HILL,211.37
COTTONWOOD BAYOU SOLAR I U1,CTW_SOLAR1,BRAZORIA,175.69
COTTONWOOD BAYOU SOLAR I U2,CTW_SOLAR2,BRAZORIA,175.71
DAMAZO (SECOND DIVISION) SOLAR,DMA_SOLAR1,BRAZORIA,100.2
DANISH FIELDS SOLAR U1,DAN_UNIT1,WHARTON,301.3
DANISH FIELDS SOLAR U2,DAN_UNIT2,WHARTON,151.0
DANISH FIELDS SOLAR U3,DAN_UNIT3,WHARTON,150.5
DELILAH SOLAR 1 U1,DELILA_1_G1,LAMAR,153.54
DELILAH SOLAR 1 U2,DELILA_1_G2,LAMAR,153.54
DELILAH SOLAR 2 U1,DELILA_2_G1,RED RIVER,107.09
DELILAH SOLAR 2 U2,DELILA_2_G2,RED RIVER,103.4
DELILAH SOLAR 2 U3,DELILA_2_G3,RED RIVER,107.09
DRY CREEK SOLAR I,DRCK_SLR_SOLAR1,HENDERSON,200.1
EASTBELL MILAM SOLAR,EBELLSLR_UNIT1,MILAM,244.86
EASTBELL MILAM SOLAR II,EBELLSL2_UNIT1,MILAM,150.6
ELIZA SOLAR,ELZA_SLR_SOLAR1,KAUFMAN,151.7
ESTONIAN SOLAR FARM U1,ESTONIAN_SOLAR1,DELTA,88.4
ESTONIAN SOLAR FARM U2,ESTONIAN_SOLAR2,DELTA,114.4
FIGHTING JAYS SOLAR U1,JAY_UNIT1,FORT BEND,179.6
FIGHTING JAYS SOLAR U2,JAY_UNIT2,FORT BEND,171.9
GRANSOLAR TEXAS ONE,GRAN_SLR_UNIT1,MILAM,50.19
GRIMES COUNTY SOLAR U1,GRIM_SLR_UNIT1,GRIMES,104.46
GRIMES COUNTY SOLAR U2,GRIM_SLR_UNIT2,GRIMES,79.87
GRIMES COUNTY SOLAR U3,GRIM_SLR_UNIT3,GRIMES,26.92
HORNET SOLAR U1,HRNT_SLR_UNIT1,SWISHER,202.09
HORNET SOLAR U2,HRNT_SLR_UNIT2,SWISHER,200.54
HORNET SOLAR U3,HRNT_SLR_UNIT3,SWISHER,201.18
HOVEY (BARILLA SOLAR 1B),HOVEY_UNIT2,PECOS,7.41
JUNGMANN SOLAR,JUNG_SLR_UNIT1,MILAM,40.21
MARKUM SOLAR,MRKM_SLR_PV1,MCLENNAN,161.5
MERCURY SOLAR U1,MERCURY_PV1,HILL,203.5
MERCURY SOLAR U2,MERCURY_PV2,HILL,203.5
MORROW LAKE SOLAR,MROW_SLR_SOLAR1,FRIO,202.2
MYRTLE SOLAR U1,MYR_UNIT1,BRAZORIA,171.6
MYRTLE SOLAR U2,MYR_UNIT2,BRAZORIA,149.6
ORANGE GROVE SOLAR,OGS_SLR_UNIT1,JIM WELLS,130.6
OUTPOST SOLAR U1,OUTP_SLR_UNIT1,WEBB,257.95
OUTPOST SOLAR U2,OUTP_SLR_UNIT2,WEBB,259.11
PEREGRINE SOLAR U1,PERE_SLR_UNIT1,GOLIAD,152.83
PEREGRINE SOLAR U2,PERE_SLR_UNIT2,GOLIAD,148.28
PHOTON SOLAR U1,PHO_SOLAR1,WHARTON,129.59
PHOTON SOLAR U2,PHO_SOLAR2,WHARTON,106.07
PHOTON SOLAR U3,PHO_SOLAR3,WHARTON,109.99
PHOTON SOLAR U4,PHO_SOLAR4,WHARTON,105.98
PLAINVIEW SOLAR (RAMSEY SOLAR) U1,PLN_UNIT1,WHARTON,270.0
PLAINVIEW SOLAR (RAMSEY SOLAR) U2,PLN_UNIT2,WHARTON,270.0
ROSELAND SOLAR U1,ROSELAND_SOLAR1,FALLS,254.0
ROSELAND SOLAR U2,ROSELAND_SOLAR2,FALLS,137.8
ROSELAND SOLAR U3,ROSELAND_SOLAR3,FALLS,116.2
SAMSON SOLAR 1 U1,SAMSON_1_G1,LAMAR,128.42
SAMSON SOLAR 1 U2,SAMSON_1_G2,LAMAR,128.42
SAMSON SOLAR 2 U1,SAMSON_1_G3,LAMAR,101.52
SAMSON SOLAR 2 U2,SAMSON_1_G4,LAMAR,101.52
SAMSON SOLAR 3 U1,SAMSON_3_G1,LAMAR,128.42
SAMSON SOLAR 3 U2,SAMSON_3_G2,LAMAR,128.42
SBRANCH SOLAR PROJECT,SBE_UNIT1,WHARTON,233.5
SIGNAL SOLAR,SIG_SLR_UNIT1,HUNT,51.6
STAMPEDE SOLAR U1,STAM_SLR_SOLAR1,HOPKINS,77.75
STAMPEDE SOLAR U2,STAM_SLR_SOLAR2,HOPKINS,178.55
STARR SOLAR RANCH U1,STAR_SLR_UNIT1,STARR,70.45
STARR SOLAR RANCH U2,STAR_SLR_UNIT2,STARR,66.28
STONERIDGE SOLAR U1,STRG_SLR_UNIT1,MILAM,184.1
STONERIDGE SOLAR U2,STRG_SLR_UNIT2,MILAM,17.5
SWIFT AIR SOLAR,SWFT_SLR_UNIT1,ECTOR,146.5
TEXAS SOLAR NOVA 2 U1,NOVA2SLR_UNIT1,KENT,202.37
TRES BAHIAS SOLAR,TREB_SLR_SOLAR1,CALHOUN,196.29
TULSITA SOLAR U1,TUL_SLR_UNIT1,GOLIAD,128.08
TULSITA SOLAR U2,TUL_SLR_UNIT2,GOLIAD,128.12
XE MURAT [ADLONG] SOLAR,ADL_SOLAR1,HARRIS,60.14
PHOEBE SOLAR 1,PHOEBE_UNIT1,WINKLER,125.04
PHOEBE SOLAR 2,PHOEBE_UNIT2,WINKLER,127.95
FIGHTING JAYS SOLAR U1,JAY_UNIT1,FORT BEND,179.5
FIGHTING JAYS SOLAR U2,JAY_UNIT2,FORT BEND,171.8
HORNET SOLAR U1,HRNT_SLR_UNIT1,SWISHER,200.65
CASCADE SOLAR I,CASCADE_CASCADE,WHARTON,5.0
CASCADE SOLAR II,CASCADE2_CASCADE2,WHARTON,5.0
LAMPWICK SOLAR,LAMPWICK_LAMPWICK,MENARD,7.5
MARLIN,MARLIN_MARLIN,FALLS,5.28
TPE ERATH SOLAR,ERATH_ERATH21,ERATH,9.99
CASCADE SOLAR I,CASCADE_CASCADE,WHARTON,177.52
BLUE WING 1 SOLAR,DG_BROOK_1UNIT,BEXAR,7.6
BLUE WING 2 SOLAR,DG_ELMEN_1UNIT,BEXAR,7.3
OCI ALAMO 2 SOLAR-ST. HEDWIG,DG_STHWG_UNIT1,BEXAR,4.4
OCI ALAMO 3-WALZEM SOLAR,DG_WALZM_UNIT1,BEXAR,5.5
SUNEDISON CPS3 SOMERSET 1 SOLAR,DG_SOME1_1UNIT,BEXAR,5.6
SUNEDISON RABEL ROAD SOLAR,DG_VALL1_1UNIT,BEXAR,9.9
SUNEDISON SOMERSET 2 SOLAR,DG_SOME2_1UNIT,BEXAR,5.0
SUNEDISON VALLEY ROAD SOLAR,DG_VALL2_1UNIT,BEXAR,9.9
WHITNEY SOLAR,DG_WHITNEY_SOLAR1,BOSQUE,10.0
7V SOLAR U1,7RNCHSLR_UNIT1,FAYETTE,139.66
7V SOLAR,7RNCHSLR_UNIT1,FAYETTE,139.66
COMPADRE SOLAR U1,CMPD_SLR_SOLAR1,HILL,194.5
COMPADRE SOLAR U2,CMPD_SLR_SOLAR2,HILL,211.2
EASTBELL MILAM SOLAR II,EBELLSL2_UNIT1,MILAM,150.0
PEREGRINE SOLAR U1,PERE_SLR_UNIT1,GOLIAD,152.2
PEREGRINE SOLAR U2,PERE_SLR_UNIT2,GOLIAD,147.7
PHOTON SOLAR U4,PHO_SOLAR4,WHARTON,105.7
SIGNAL SOLAR,SIG_SLR_UNIT1,HUNT,50.0
XE MURAT [ADLONG] SOLAR,ADL_SOLAR1,HARRIS,60.0
JACKALOPE SOLAR U1,JKLP_SLR_PV1,SAN PATRICIO,81.38
JACKALOPE SOLAR U2,JKLP_SLR_PV2,SAN PATRICIO,71.74
TEXAS BLUEBONNET SOLAR,BONETSLR_UNIT1,MCLENNAN,9.75
