Substation ID,Substation Name,Alias,Status,Owner,Map Owner,Map Part,Engineering ID,12kV T 32kV,110kV To 161kV,Highest_kV,Postal City,County,Zip Code,State,Comments,33kV To 92kV,220kV To 287kV,345kV To 500kV
"SS0003","Jenney"," ","Operational","Other","Other","M"," ","YES","YES","110kV to 161kV","Alameda","Alameda","94501","CA"," ","","",""
"SS0004","Corona"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Petaluma","Sonoma","94954","CA"," ","YES","",""
"SS0005","South Bay 1"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Byron","Alameda","94514","CA"," ","YES","",""
"SS0007","Altamont"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Livermore","Alameda","94551","CA"," ","YES","",""
"SS0008","Castro Valley"," ","Operational","PG&E","PG&E","M"," ","","","220kV to 287kV","Castro Valley","Alameda","94546","CA"," ","","YES",""
"SS0009","Claremont K","STA. K","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Oakland","Alameda","94618","CA"," ","","",""
"SS0010","Cryogenics"," ","Operational","Other","Other","M"," ","","YES","110kV to 161kV","Union City","Alameda","94587","CA"," ","","",""
"SS0011","Kekawaka"," ","Operational","PG&E","PG&E","U"," ","","","33kV to 92kV","Zenia","Trinity","95595","CA"," ","YES","",""
"SS0012","Dumbarton"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Fremont","Alameda","94555","CA"," ","","",""
"SS0013","Eastshore"," ","Operational","PG&E","PG&E","M"," ","","YES","220kV to 287kV","Hayward","Alameda","94545","CA"," ","","YES",""
"SS0014","Edes"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Oakland","Alameda","94603","CA"," ","","",""
"SS0015","Fremont"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Fremont","Alameda","94538","CA"," ","","",""
"SS0016","Nummi","GENERAL MOTORS","Operational","Other","Other","M"," ","","YES","110kV to 161kV","Fremont","Alameda","94538","CA"," ","","",""
"SS0017","Grant"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","San Lorenzo","Alameda","94580","CA"," ","","",""
"SS0018","Grizzly","U.C. BERKELEY","Operational","Other","Other","M"," ","","","33kV to 92kV","Berkeley","Alameda","94720","CA"," ","YES","",""
"SS0019","Iuka"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Pleasanton","Alameda","94566","CA"," ","YES","",""
"SS0020","Jarvis"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Union City","Alameda","94587","CA"," ","","",""
"SS0021","Kaiser"," ","Operational","Other","Other","M"," ","","","33kV to 92kV","Dublin","Alameda","94568","CA"," ","YES","",""
"SS0022","Las Positas"," ","Operational","PG&E","PG&E","M"," ","","","220kV to 287kV","Livermore","Alameda","94551","CA"," ","YES","YES",""
"SS0023","Livermore"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Livermore","Alameda","94551","CA"," ","YES","",""
"SS0024","Mt. Eden"," ","Operational","PG&E","PG&E","M"," ","","","220kV to 287kV","Hayward","Alameda","94545","CA"," ","YES","YES",""
"SS0025","Newark"," ","Operational","PG&E","PG&E","M"," ","","YES","220kV to 287kV","Fremont","Alameda","94538","CA"," ","YES","YES",""
"SS0026","Parks"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Dublin","Alameda","94568","CA"," ","YES","",""
"SS0027","Radum"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Pleasanton","Alameda","94566","CA"," ","YES","",""
"SS0028","Ralph"," ","Operational","PG&E","PG&E","M"," ","","","220kV to 287kV","Byron","Alameda","94514","CA"," ","","YES",""
"SS0029","Ravenswood"," ","Operational","PG&E","PG&E","M"," ","","YES","220kV to 287kV","Menlo Park","San Mateo","94025","CA"," ","","YES",""
"SS0030","San Leandro U"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","San Leandro","Alameda","94578","CA"," ","","",""
"SS0033","Oakland J"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Oakland","Alameda","94621","CA"," ","","",""
"SS0036","Sunol"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Sunol","Alameda","94586","CA"," ","","",""
"SS0037","Tesla"," ","Operational","PG&E","PG&E","M"," ","","YES","345kV to 500kV","Livermore","Alameda","94550","CA"," ","","YES","YES"
"SS0039","Vallecitos"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Sunol","Alameda","94586","CA"," ","YES","",""
"SS0040","Vasco"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Livermore","Alameda","94551","CA"," ","YES","",""
"SS0041","Vineyard"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Pleasanton","Alameda","94566","CA"," ","YES","",""
"SS0043","Amfor"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Sutter Creek","Amador","95685","CA"," ","YES","",""
"SS0044","Clay"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Ione","Amador","95640","CA"," ","YES","",""
"SS0045","Ione"," ","Operational","Other","Other","M"," ","","","33kV to 92kV","Ione","Amador","95640","CA"," ","YES","",""
"SS0046","Ione Energy"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Ione","Amador","95640","CA"," ","YES","",""
"SS0047","Martell"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Jackson","Amador","95642","CA"," ","YES","",""
"SS0048","Nepco"," ","Operational","Other","Other","M"," ","","","33kV to 92kV","Sutter Creek","Amador","95685","CA"," ","YES","",""
"SS0049","Oleta"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Plymouth","Amador","95669","CA"," ","YES","",""
"SS0050","Salt Springs"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Pioneer","Amador","95666","CA"," ","","",""
"SS0051","Pine Grove"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Pine Grove","Amador","95665","CA"," ","YES","",""
"SS0052","Lammers","SCHULTE SW","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Tracy","San Joaquin","95377","CA"," ","","",""
"SS0055","A.P.T. Oro"," ","Operational","PG&E","PG&E","U"," ","","","33kV to 92kV","Oroville","Butte","95965","CA"," ","YES","",""
"SS0056","Gridley","CITY OF GRIDLEY","Operational","Other","Other","U"," ","","","33kV to 92kV","Gridley","Butte","95948","CA"," ","YES","",""
"SS0057","Louisiana Pacific (Oroville)"," ","Operational","Other","Other","U"," ","","","33kV to 92kV","Oroville","Butte","95965","CA"," ","YES","",""
"SS0058","City Of Biggs","BIGGS","Operational","Other","Other","U"," ","","","33kV to 92kV","Biggs","Butte","95917","CA"," ","YES","",""
"SS0059","Cabrillo"," ","Operational","PG&E","PG&E","L"," ","","YES","110kV to 161kV","Lompoc","Santa Barbara","93436","CA"," ","","",""
"SS0063","Anita"," ","Operational","Other","Other","U"," ","","","33kV to 92kV","Chico","Butte","95973","CA"," ","YES","",""
"SS0064","Bangor"," ","Operational","PG&E","PG&E","U"," ","","","33kV to 92kV","Bangor","Butte","95914","CA"," ","YES","",""
"SS0065","Big Bend"," ","Operational","PG&E","PG&E","U"," ","","YES","220kV to 287kV","Oroville","Butte","95965","CA"," ","","YES",""
"SS0066","Butte"," ","Operational","PG&E","PG&E","U"," ","","YES","110kV to 161kV","Chico","Butte","95928","CA"," ","YES","",""
"SS0068","Chico A"," ","Operational","PG&E","PG&E","U"," ","","YES","110kV to 161kV","Chico","Butte","95928","CA"," ","","",""
"SS0069","Chico B"," ","Operational","PG&E","PG&E","U"," ","","YES","110kV to 161kV","Chico","Butte","95928","CA"," ","","",""
"SS0071","Ramon"," ","Operational","IID","IID","L"," ","","","220kV to 287kV","Thousand Palms","Riverside","92276","CA"," ","","YES",""
"SS0075","Esquon"," ","Operational","PG&E","PG&E","U"," ","","YES","110kV to 161kV","Durham","Butte","95938","CA"," ","","",""
"SS0077","Hamilton A"," ","Operational","PG&E","PG&E","U"," ","","","33kV to 92kV","Hamilton City","Glenn","95951","CA"," ","YES","",""
"SS0078","Honcut"," ","Operational","PG&E","PG&E","U"," ","","YES","110kV to 161kV","Oroville","Butte","95965","CA"," ","","",""
"SS0079","Kanaka"," ","Operational","Other","Other","U"," ","","YES","110kV to 161kV","Oroville","Butte","95966","CA"," ","","",""
"SS0081","Nord"," ","Operational","PG&E","PG&E","U"," ","","YES","110kV to 161kV","Chico","Butte","95973","CA"," ","","",""
"SS0082","Oro Fino"," ","Operational","PG&E","PG&E","U"," ","","","33kV to 92kV","Magalia","Butte","95954","CA"," ","YES","",""
"SS0083","Oroville"," ","Operational","PG&E","PG&E","U"," ","","","33kV to 92kV","Oroville","Butte","95965","CA"," ","YES","",""
"SS0084","Palermo"," ","Operational","PG&E","PG&E","U"," ","","YES","220kV to 287kV","Oroville","Butte","95966","CA"," ","","YES",""
"SS0085","Paradise"," ","Operational","PG&E","PG&E","U"," ","","","33kV to 92kV","Paradise","Butte","95969","CA"," ","YES","",""
"SS0086","Peachton"," ","Operational","PG&E","PG&E","U"," ","","","33kV to 92kV","Gridley","Butte","95948","CA"," ","YES","",""
"SS0088","Sycamore Creek"," ","Operational","PG&E","PG&E","U"," ","","YES","110kV to 161kV","Chico","Butte","95973","CA"," ","","",""
"SS0089","Table Mt."," ","Operational","PG&E","PG&E","U"," ","","YES","345kV to 500kV","Oroville","Butte","95965","CA"," ","YES","YES","YES"
"SS0091","Tres Vias"," ","Operational","PG&E","PG&E","U"," ","","YES","110kV to 161kV","Oroville","Butte","95965","CA"," ","","",""
"SS0092","Wyandotte"," ","Operational","PG&E","PG&E","U"," ","","YES","110kV to 161kV","Oroville","Butte","95966","CA"," ","","",""
"SS0094","Cataract (Calaveras Cement Co.)","CALAVERAS CEMENT","Operational","Other","Other","M"," ","","","33kV to 92kV","San Andreas","Calaveras","95249","CA"," ","YES","",""
"SS0095","Cataract"," ","Operational","Other","Other","M"," ","","YES","110kV to 161kV","Columbia","Tuolumne","95310","CA"," ","","",""
"SS0096","Corral"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Linden","Calaveras","95236","CA"," ","YES","",""
"SS0097","Frogtown"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Angels Camp","Calaveras","95222","CA"," ","","",""
