State,BuildingType,latitude,longitude,state,county,floorarea[Msf],WindowWallRatio[pu],Height[ft],GroundArea[ksf]
CA,FullServiceRestaurant,34.241394,-117.295068,CA,San Bernardino,8.897,0.17,21.8,4.065
CA,HighriseApartment,34.182643,-117.231087,CA,San Bernardino,341.121,0.33,121.3,7.105
CA,Hospital,34.103083,-117.477216,CA,San Bernardino,139.023,0.15,53.0,448.065
CA,IECC,34.228195,-117.290606,CA,San Bernardino,1809.326,0.14,20.4,2.571
CA,LargeHotel,34.088582,-117.474794,CA,San Bernardino,576.973,0.27,50.1,462.967
CA,LargeOffice,34.171676,-117.23434,CA,San Bernardino,103.431,0.38,121.5,29.137
CA,MediumOffice,34.178144,-117.220105,CA,San Bernardino,168.925,0.33,56.4,3.352
CA,MidriseApartment,34.17721,-117.222609,CA,San Bernardino,265.955,0.15,56.3,3.316
CA,Outpatient,34.214845,-117.353373,CA,San Bernardino,29.783,0.19,23.7,9.599
CA,PrimarySchool,34.235461,-117.344777,CA,San Bernardino,67.324,0.35,27.3,227.718
CA,QuickServiceRestaurant,34.241507,-117.305721,CA,San Bernardino,11.689,0.14,22.4,4.191
CA,RetailStandalone,34.225926,-117.323891,CA,San Bernardino,71.42,0.07,22.7,9.505
CA,RetailStripmall,34.22727,-117.326483,CA,San Bernardino,40.108,0.11,23.3,9.469
CA,SecondarySchool,34.151019,-117.409763,CA,San Bernardino,121.842,0.33,28.5,233.383
CA,SmallHotel,34.176983,-117.211486,CA,San Bernardino,34.17,0.11,55.8,3.341
CA,SmallOffice,34.241199,-117.295384,CA,San Bernardino,84.523,0.21,22.0,4.12
CA,Warehouse,34.203826,-117.35937,CA,San Bernardino,177.091,0.01,26.1,231.21
CA,FullServiceRestaurant,34.080633,-118.243203,CA,Los Angeles,24.619,0.17,23.8,4.117
CA,HighriseApartment,34.102794,-118.334566,CA,Los Angeles,4074.529,0.33,134.7,34.131
CA,Hospital,34.035625,-118.251207,CA,Los Angeles,333.004,0.15,55.2,184.156
CA,IECC,34.082475,-118.227404,CA,Los Angeles,4925.964,0.14,21.4,2.581
