geocode,Bus  Name,Lat,Long,county,state,tzoffset
9mtzm4,MEXICO,32.227887,-115.436076,9mvgzn,CA,-8
9muccv,MIGUEL,32.680823,-116.982615,9mugye,CA,-8
9mudw2,MISSION,32.784153,-117.137829,9mugye,CA,-8
9mumuf,S.ONOFRE,33.370212,-117.557619,9mupxf,CA,-8
9mupsy,HAYNES,33.697565,-117.911364,9mupxf,CA,-8
9mvffm,IMPRLVLY,32.856407,-115.56459,9mvgzn,CA,-8
9mvgw4,IMPERIAL,32.971469,-115.394435,9mvgzn,CA,-8
9mzqxj,PALOVRDE,33.513802,-113.239936,9tbj8n,AZ,-7
9pr8ne,HUMBOLDT,40.801944,-124.163611,9ppzef,CA,-8
9q5bwz,LITEHIPE,33.879856,-118.175222,9q5fsc,CA,-8
9q5cts,RIVER,34.037697,-118.230212,9q5fsc,CA,-8
9q5cw0,STA B1,34.015353,-118.204015,9q5fsc,CA,-8
9q5dy2,STA J,34.234263,-118.550256,9q5fsc,CA,-8
9q5epc,RINALDI,34.285768,-118.484219,9q5fsc,CA,-8
9q5epx,SYLMAR S,34.317296,-118.495046,9q5fsc,CA,-8
9q5evq,PARDEE,34.442694,-118.58844,9q5fsc,CA,-8
9q5f6t,STA E,34.176429,-118.360306,9q5fsc,CA,-8
9q5fj1,STA G,34.10948,-118.254629,9q5fsc,CA,-8
9q5fm0,GLENDAL,34.146111,-118.255,9q5fsc,CA,-8
9q5fq8,EAGLROCK,34.150436,-118.184526,9q5fsc,CA,-8
9q5g0q,OLIVE,34.31131,-118.455696,9q5fsc,CA,-8
9q5sgb,CASTAIC,34.589863,-118.663274,9q573n,CA,-8
9q5zqv,MOHAVE,35.0525,-118.173889,9q7944,CA,-8
9q603v,DIABLO,35.230747,-120.855104,9q6371,CA,-8
9q613c,MORROBAY,35.38543,-120.858669,9q6371,CA,-8
9q6tde,GATES,36.144321,-120.124187,9q6v1w,CA,-8
9q713t,MIDWAY,35.408481,-119.456003,9q6v1w,CA,-8
9q8yqr,MARTIN,37.704337,-122.410274,9q8uz7,CA,-8
9q8yyc,POTRERO,37.75843,-122.398,9q8uz7,CA,-8
9q8yyz,EMBRCDRD,37.788555,-122.395045,9q8uz7,CA,-8
9q92vz,MOSSLAND,36.737604,-121.732796,9q94x9,CA,-8
9q97v8,METCALF,37.222363,-121.746496,9q97wz,CA,-8
9q9fy1,LOSBANOS,37.054001,-121.022616,9qd5sg,CA,-8
9q9hgh,JEFFERSN,37.4198065,-122.2042168,9q8uz7,CA,-8
9q9hq4,MONTAVIS,37.322286,-122.0737899,9q8uz7,CA,-8
9q9jb9,SANMATEO,37.582985,-122.318546,9q8uz7,CA,-8
9q9jk9,RAVENSWD,37.494231,-122.138182,9q9q1v,CA,-8
9q9m24,NEWARK,37.501131,-121.987444,9q9q1v,CA,-8
9q9peh,SOBRANTE,37.905327,-122.208867,9q9r8z,CA,-8
9q9pk4,MORAGA,37.848161,-122.16088,9q9r8z,CA,-8
9q9w99,TESLA,37.71247,-121.565283,9q9q1v,CA,-8
9q9wtp,TRACY,37.74752,-121.416448,9q9zb3,CA,-8
9qbbed,IGNACIO,38.070278,-122.538611,9qb8qz,CA,-8
9qbcde,LAKEVILE,38.249937,-122.583996,9qb8qz,CA,-8
9qben2,FULTON,38.497952,-122.761324,9qbe4t,CA,-8
9qc0p1,C.COSTA,37.978056,-122.031111,9q9r8z,CA,-8
9qc26h,PITSBURG,38.037129,-121.897096,9q9r8z,CA,-8
9qc63x,VACA-DIX,38.40437,-121.918134,9qc39n,CA,-8
9qcbq0,BELLOTA,38.01622,-121.015147,9q9zb3,CA,-8
9qcem3,BRIGHTON,38.547942,-121.407942,9qcdwz,CA,-8
9qcf5u,RNCHSECO,38.344823,-121.123005,9qcdwz,CA,-8
9qcggm,GOLDHILL,38.657961,-121.137023,9qcdwz,CA,-8
9qcjcp,CORTINA,39.018333,-122.290278,9qcnfk,CA,-8
9qct8r,WILSON,38.978333,-121.625833,9qcqnd,CA,-8
9qcts0,RIO OSO,38.93608,-121.463992,9qcqnd,CA,-8
9qcxqg,COLGATE,39.2617,-121.337,9qcxqs,CA,-8
9qd2ds,PANOCHE,36.675814,-120.46628,9qd5sg,CA,-8
9qd9xh,GREGG,36.850535,-119.92442,9qdcjh,CA,-8
9qdbm8,MC CALL,36.609214,-119.639632,9qdcjh,CA,-8
9qe6tq,HELMS PP,37.039937,-118.946978,9q7w15,CA,-8
9qh0rw,SERRANO,33.828436,-117.79013,9mupxf,CA,-8
9qh18k,MESA CAL,34.037233,-118.11012,9q5fsc,CA,-8
9qh3ky,MIRALOMA,34.008174,-117.564527,9mupxf,CA,-8
9qh8k2,VALLEY,33.796667,-117.224444,9mupxf,CA,-8
9qhe90,LUGO,34.369347,-117.368876,9mupxf,CA,-8
9qhh0n,VINCENT,34.488498,-118.12147,9q5fsc,CA,-8
9qhkxd,ADELANTO,34.552197,-117.437004,9mupxf,CA,-8
9qhsdk,VICTORVL,34.565195,-117.32157,9mupxf,CA,-8
9qj152,DEVERS,33.927377,-116.57522,9mvxbk,CA,-8
