gentype,capacity[MW],hub_height[m],rotor_diameter[m],cut_in_wind_speed[m/s],rated_wind_speed[m/s],cut_out_wind_speed[m/s],max_rotor_speed[rd/min],drivetrain_design
1.5-70.5,1.5,56.5,77,3.5,12,25,20.4,3 Stage Planetary
1.5-70.5,1.5,56.5,70.5,3,13,24,22,3 Stage Planetary
108,0.108,,,4,14,30,31,
108,0.105,,,,,,,
120,0.12,24,19.4,,,,,
120,0.12,,19.4,,,,,
180,0.108,,,,,,,
250KW,0.25,,,5.5,12.5,24,48,3 Stage Planetary
29-STALL-225,0.225,30,29.1,4,16,25,37.6,
40/500,0.5,39.5,40,4.5,17,25,32,3 Stage Parallel
500/41,0.5,40,41,4,14,25,27,3 Stage Planetary
60,0.06,,,,,,,
65,0.065,24,15.3,3,13,28,,2 Stage Hollow Shaft
65kW,0.065,22.8,16.5,3.6,13.5,25,,
75/L7,0.075,,,,,,,
A-1500,1.5,80,77,3,11.8,20,19,3 Stage Planetary
AW77/1500,1.5,80,77,3.5,11.1,25,18.3,3 Stage Planetary
AWE54-900,0.9,75,54,2.5,13,25,28,Direct Drive
B62,1.3,60,62,3,15,25,19,3 Stage Planetary
C93,2.5,80,93,4,12.5,25,15.5,2 Stage Spur
C99,2.5,80,99,4,12.5,25,15.5,2 Stage Spur
EW 1.5S,1.5,,,,,,,
FD-77-1500,1.5,80,77,2.5,10,25,16,3 Stage Planetary
G114-2.0,2,80,114,1,11.5,25,14.8,3 Stage Planetary
G114-2.1,2.1,80,114,3,12.5,20,30.8,3 Stage Planetary
G58-0.85,0.85,55,58,3.5,12,25,19,3 Stage Planetary
G80-2.0,2,67,80,4,13,25,19,3 Stage Planetary
G87-2.0,2,67,87,4,13,25,19,3 Stage Planetary
G87-2.0,2,78,87,4,13,25,19,3 Stage Planetary
G90-2.0,2,78,90,3,11,21,19,3 Stage Planetary
G97-2.0,2,90,97,3,11,25,17.8,3 Stage Planetary
GE 1.5-70.5,1.5,65,70.5,3,13,24,22,3 Stage Planetary
GE 1.5-77,1.5,80,77,3.5,12,25,20.4,3 Stage Planetary
GE 1.7-100,1.7,80,100,3.5,11,23,17.9,3 Stage Planetary
GE 1.7-77,1.5,65,77,3.5,12,25,20.4,3 Stage Planetary
GE 2.5-127,2.5,89,127,3,,,,
GE1.5-65,1.5,65,65,,,,,
GE1.5-70.5,1.5,80,70.5,3,13,24,22,3 Stage Planetary
GE1.5-70.5,1.5,65,70.5,3,13,24,22,3 Stage Planetary
GE1.5-77,1.5,80,77,3.5,12,25,20.4,3 Stage Planetary
GE1.5-77,1.5,65,77,3.5,12,25,20.4,3 Stage Planetary
GE1.5-82.5,1.5,80,82.5,3.5,12,20,16.8,3 Stage Planetary
GE1.5-87,1.5,80,87,,,,,
