Unnamed: 0,state,county,name,year,model,capacity[MW],hub_height[m],rotor_diameter[m],longitude_gen,latitude_gen,latitude_county,longitude_county,geohash,elevation[m],gentype,cut_in_wind_speed[m/s],rated_wind_speed[m/s],cut_out_wind_speed[m/s],max_rotor_speed[rd/min],drivetrain_design,min_measured_date,max_measured_date
106,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.375389,35.025696,35.369809,-118.941786,9q5sgb,1536.5625,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
107,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.362442,35.044006,35.369809,-118.941786,9q5sgb,1327.475708,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
108,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.358986,35.036297,35.369809,-118.941786,9q5sgb,1321.088989,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
109,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.356888,35.032993,35.369809,-118.941786,9q5sgb,1300.113892,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
110,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.351585,35.055496,35.369809,-118.941786,9q5sgb,1261.694092,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
111,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.361588,35.044796,35.369809,-118.941786,9q5sgb,1317.953857,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
112,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.382599,35.050255,35.369809,-118.941786,9q5sgb,1412.188232,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
113,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.235176,35.017097,35.369809,-118.941786,9qhh0n,921.4169312,V90-3.0,4.0,15.0,25.0,18.4,3 Stage Planetary,1/1/2018,12/30/2022
114,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.223885,35.008194,35.369809,-118.941786,9qhh0n,900.3459473,V90-3.0,4.0,15.0,25.0,18.4,3 Stage Planetary,1/1/2018,12/30/2022
115,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.234787,35.033295,35.369809,-118.941786,9qhh0n,919.02948,V90-3.0,4.0,15.0,25.0,18.4,3 Stage Planetary,1/1/2018,12/30/2022
116,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.225861,35.031601,35.369809,-118.941786,9qhh0n,902.0401001,V90-3.0,4.0,15.0,25.0,18.4,3 Stage Planetary,1/1/2018,12/30/2022
117,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.236786,35.032696,35.369809,-118.941786,9qhh0n,921.9852295,V90-3.0,4.0,15.0,25.0,18.4,3 Stage Planetary,1/1/2018,12/30/2022
118,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.22979,35.034695,35.369809,-118.941786,9qhh0n,912.4386597,V90-3.0,4.0,15.0,25.0,18.4,3 Stage Planetary,1/1/2018,12/30/2022
119,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.224388,35.017796,35.369809,-118.941786,9qhh0n,902.0466309,V90-3.0,4.0,15.0,25.0,18.4,3 Stage Planetary,1/1/2018,12/30/2022
120,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.234406,35.00824,35.369809,-118.941786,9qhh0n,918.8536987,V90-3.0,4.0,15.0,25.0,18.4,3 Stage Planetary,1/1/2018,12/30/2022
121,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.223885,35.009495,35.369809,-118.941786,9qhh0n,901.8074951,V90-3.0,4.0,15.0,25.0,18.4,3 Stage Planetary,1/1/2018,12/30/2022
122,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.225487,35.016994,35.369809,-118.941786,9qhh0n,903.3014526,V90-3.0,4.0,15.0,25.0,18.4,3 Stage Planetary,1/1/2018,12/30/2022
123,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.222588,35.032894,35.369809,-118.941786,9qhh0n,898.7698364,V90-3.0,4.0,15.0,25.0,18.4,3 Stage Planetary,1/1/2018,12/30/2022
