Unnamed: 0,state,county,name,year,model,capacity[MW],hub_height[m],rotor_diameter[m],longitude_gen,latitude_gen,latitude_county,longitude_county,geohash,elevation[m],gentype,cut_in_wind_speed[m/s],rated_wind_speed[m/s],cut_out_wind_speed[m/s],max_rotor_speed[rd/min],drivetrain_design,min_measured_date,max_measured_date
32,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.348488,35.057297,35.369809,-118.941786,9q5sgb,1265.653076,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
33,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.380486,35.032696,35.369809,-118.941786,9q5sgb,1536.272705,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
34,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.379791,35.051094,35.369809,-118.941786,9q5sgb,1383.527466,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
35,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.358086,35.022095,35.369809,-118.941786,9q5sgb,1309.994385,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
36,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.387291,35.053795,35.369809,-118.941786,9q5sgb,1498.64978,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
37,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.349586,35.056793,35.369809,-118.941786,9q5sgb,1264.712891,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
38,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.360291,35.020996,35.369809,-118.941786,9q5sgb,1306.644287,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
39,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.354187,35.034195,35.369809,-118.941786,9q5sgb,1277.216553,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
40,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.388985,35.024197,35.369809,-118.941786,9q5sgb,1671.454102,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
41,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.367584,35.028294,35.369809,-118.941786,9q5sgb,1398.966187,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
42,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.364891,35.043396,35.369809,-118.941786,9q5sgb,1356.668335,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
43,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.362091,35.028996,35.369809,-118.941786,9q5sgb,1307.925415,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
44,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.381485,35.043694,35.369809,-118.941786,9q5sgb,1380.730469,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
45,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.356987,35.022694,35.369809,-118.941786,9q5sgb,1298.835938,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
46,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.364388,35.034294,35.369809,-118.941786,9q5sgb,1355.910156,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
47,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.388885,35.052197,35.369809,-118.941786,9q5sgb,1525.459473,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
48,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.382385,35.043095,35.369809,-118.941786,9q5sgb,1369.987793,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
49,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.369286,35.035694,35.369809,-118.941786,9q5sgb,1399.904419,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
50,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.389687,35.051296,35.369809,-118.941786,9q5sgb,1528.710815,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
51,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.393288,35.050396,35.369809,-118.941786,9q5sgb,1544.717529,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
52,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.374687,35.050495,35.369809,-118.941786,9q5sgb,1351.013184,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
53,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.36869,35.027496,35.369809,-118.941786,9q5sgb,1442.436523,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
54,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.381882,35.030018,35.369809,-118.941786,9q5sgb,1568.325562,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
55,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.375191,35.049294,35.369809,-118.941786,9q5sgb,1356.144043,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
56,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.373688,35.051094,35.369809,-118.941786,9q5sgb,1356.295532,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
