Q,H,gamma,q_target,objective,stress objective,stress total load shedding,stress total dispatched generation cost,stress total battery throughput,stress total curtailed non-dispatched generation,normal objective,normal total load shedding,normal total dispatched generation cost,normal total battery throughput,normal total curtailed non-dispatched generation
1,24,0.1,1.0,1.2461478478814239,9.41163763368,55.174697149313786,251.75184208157216,3.0034182072343643,4.281920541416742e-09,1.1096772665031744,102.06588382897588,7512.440057318843,722.1594292991123,2558.9469006093846
1,48,0.01,1.0,1.246147610170595,9.411637712932787,55.17469771968855,251.75184209228524,3.003417626498707,1.0989099204367065e-08,1.109677023494904,102.06588322659296,7512.438626663092,722.0943237142451,2558.946852423487
1,72,0.0001,0.5,1.2461476102917657,9.411637662017831,55.17469735167421,251.75184211528114,3.0034181802161495,1.6732901916768826e-08,1.1096770244690457,102.06588360525505,7512.438626565263,722.0944154933426,2558.946817092555
2,24,0.1,0.75,1.0374586131810584,9.330722619421344,54.57934819351095,252.0000000126459,3.7093313808796355,8.207378394330881e-09,0.8988525295113041,31.139965792629344,7107.769316244247,1394.4762172562514,2295.4775616876527
2,48,0.0001,0.5,1.037450419420982,9.330722496783984,54.579347310061216,252.00000001141876,3.709332425045634,7.663312681967303e-09,0.898844200857812,31.139966675062762,7107.708537450638,1393.3763639015135,2295.4776218319407
2,72,0.01,1.0,1.0374504193979857,9.330722526968115,54.57934752759063,252.00000000707274,3.709332452336345,5.62548349773394e-09,0.8988442003299612,31.139966398348946,7107.708539012607,1393.3763063360018,2295.477597035707
4,24,0.1,0.75,0.8763517372573469,9.06031623919136,52.631448307391686,251.99999998228205,5.657231344031131,1.354765157264972e-08,0.7395723862500932,2.612910819402603,6293.709871255597,2618.7592287153575,1856.3032418664857
4,48,0.01,1.0,0.8761632397880659,9.060316238679327,52.63144830368135,251.99999998316235,5.657231303388048,1.2585941611938604e-08,0.7393807384138387,2.612910876070425,6292.137250062994,2610.897458923066,1856.3032704389248
4,72,0.01,0.5,0.8761555132845582,9.060316159010952,52.63144772981718,251.99999998251494,5.657231871838995,1.3337611270068016e-08,0.7393728841080724,2.6129115114105566,6292.078336909875,2610.020233706631,1856.3032584167902
8,24,0.01,1.0,0.7510346344912069,8.54733389947152,48.93612780202651,251.9999999655697,9.352551779891314,1.5066154554533412e-08,0.6207343682241265,1.3378318364263921e-07,5305.51808444291,4272.922950050089,1280.8343626555106
8,48,0.01,0.5,0.7494161591656009,8.519630542806986,48.73656385177051,251.99999997182397,9.552115697169386,1.4589091080533886e-08,0.6195518519181125,3.366054878242405e-07,5295.595696595559,4246.305279878811,1280.834825286332
8,72,0.01,0.5,0.7492884558576279,8.519630554966412,48.73656393939042,251.99999997087556,9.552115647953016,1.4609824668699597e-08,0.619422014089793,2.3396743373986142e-07,5294.513744879143,4242.632383916537,1280.8348476326848
16,24,0.01,1.0,0.6805212057727562,7.466272451839213,41.14859161272131,251.99999993098146,17.14008794391938,2.0605382632016672e-08,0.5671103214373835,1.102377022304292e-07,4836.4128369092,4980.969039054206,939.452322435891
16,48,0.01,0.5,0.6616129920255852,7.438695332985375,40.94993702790639,251.9999999665593,17.338742520682903,1.5301418034594963e-08,0.5483469918981236,1.4335152459150811e-07,4674.622172292978,4993.550703422312,887.067627787793
16,72,0.001,1.0,0.6552393209057682,7.438695320832007,40.94993693991618,251.99999997481265,17.33874266728904,1.2116231917122904e-08,0.5418667972301207,1.748519576801548e-07,4618.374741293158,5034.958014452278,850.2162836097676
32,24,0.001,1.0,0.6258121303134248,8.782798907427882,50.63560223342306,251.9347581054644,7.623989568961903,2.0577899716297354e-08,0.4894836605009269,1.9885410157404522,4121.919039777695,5570.135878348324,506.95936531649585
32,48,0.001,1.0,0.5836759229561416,6.3529250757418545,33.12848045084585,251.99999989915952,25.1601990750363,1.657522313715582e-08,0.4872539315446811,9.109132683784172e-08,4142.360535398284,5581.933696886209,548.5332153061123
32,72,0.001,0.75,0.5650487159359862,5.3269337195694435,25.73764726607487,251.99999997383253,32.55103226699388,8.120178021891045e-09,0.48546289414824034,9.129905580374002e-08,4127.0395816095215,5570.871254573606,542.69153699374
