SCADA Averaged Hourly Analog Data ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Pacific Prevailing Time ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2021 00:00 To 09/15/2021 23:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
 ( as of 9/20/21 11:07 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,LACAMCPU,TWNTETH,TWNTETH,ENTRPRIS,CARBUNDM,WALNT_GR,VIEW,N_CAMAS,119TH_ST,ARCHERCC,BARBERTN,BATLGRND,BURNT_BR,BURTON,CAPLES,CARBUNDM,CHELATCH,CLARK_PD,ELLSWTH,ELMGREN,EVANSCLK,EVERGREN,FELIDA,FISHERS,FISHERS,FOURTH_P,GRAND,HEYE_MYR,HOCKNSON,AST,LM_JNS,MAC_HGTS,MANOR,MINNHAHA,OAKPARK,OAKPARK,ORCHARDS,RUNYAN,SARA,STKFRD,ST_HELN,UNION_CC,VANDYKE,VAN_SHIP,VAN_SHIP,AXFORD,CASCD_PK,CASCD_PK,HEISSON,SILICONC,SILICONC
Description,XFMR LOAD,XF1,XF2,XF1,CLARK3 LOAD,XF1,VIEW,N. CAMAS,XF1 LOAD,115 LOAD,115 LOAD,BATTLE GROUND LOAD,STAPLETN LOAD,BURTON LOAD,CAPLES LOAD,CLARK1 LOAD,CHELATCHIE LOAD,CLARK LOAD,ELLSWTH LOAD,ELMGREN LOAD,EVANS LOAD,EVERGREN LOAD,FELIDA LOAD,CLARK1 LOAD,CLARK2 LOAD,115 LOAD,GRAND_TAP LOAD,115 LOAD,HOCKINSON LOAD,AST LOAD,LMJONES LOAD,MAC LOAD,115 LOAD,MINHAHA LOAD,CLARK1 LOAD,CLARK2 LOAD,XFMR LOAD,XF1 LOAD,SARA LOAD,STOCKFORD LOAD,ST HELENS LOAD,UNION LOAD,XFMR LOAD,CCPUD1 LOAD,CCPUD2 LOAD,XFMR LOAD,XF1 LOAD,XF2 LOAD,XFMR LOAD,XF1 LOAD,XF2 LOAD
Voltage,115,115,115,115,115,138,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,12.5,12.5,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
Device Type,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    ,LD    
Point ID,104127,117409,117412,130653,141798,159034,42664,53061,98285,98290,98293,98296,98299,98302,98305,98308,98311,98314,98317,98320,98323,98326,98329,98332,98335,98338,98341,98344,98347,98350,98373,98376,98379,98383,98386,98389,98392,98403,98423,98429,98432,98435,98438,98441,98444,98484,98490,98493,98496,98510,98513
Unit,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  ,MW  
01/01/2021 00:00:00,11.54167,-0.000003,9.699997,,4.166667,6.796875,7.983334,7.512489,8.933333,8.408591,9.533558,9.899776,10.30891,8.221258,10.65127,5.875,6.525,8.562182,8.358776,6.487761,8.588807,9.477662,7.429128,4.129181,4.803367,8.858458,7.12364,11.35967,6.824014,10.88179,13.55,9.821226,7.179963,9.018833,6.175,7.891667,11.51501,8.911877,2.574591,11.08926,8.965355,8.689903,12.57479,9.522118,1.2,5.094385,7.25404,6.225493,5.401759,14.8305,14.68277
01/01/2021 01:00:00,10.75833,-0.000003,9.491663,,4.175,6.375,7.616667,7.149642,8.366667,8.050358,8.997407,9.437028,9.895736,7.886483,10.37874,5.525,6.341667,8.145115,7.973437,5.997376,8.235702,8.935532,6.869434,4.019049,4.469697,8.258812,6.692881,10.88609,6.55076,10.38657,13.1,9.28313,6.734194,8.526537,5.8,7.616667,11.07911,8.500164,2.42311,10.60099,8.588075,8.350718,11.84367,9.388056,1.183333,4.843841,6.898737,5.943449,5.154633,14.79357,14.65112
01/01/2021 02:00:00,10.34167,-0.000003,9.241664,,4.05,6.152344,7.433333,6.869979,7.95,7.780767,8.601407,9.175115,9.467175,7.436243,10.03515,5.525,6.066667,7.883033,7.718498,5.94339,7.956588,8.545764,6.507538,3.880597,4.218357,7.973854,6.558819,10.31914,6.305345,10.11112,12.69167,8.684671,6.595007,8.162443,5.783333,7.425,10.70182,8.310426,2.361873,10.46352,8.254016,7.837176,11.35797,8.808582,1.15,4.746408,6.569075,5.720743,5.125645,14.76719,14.60891
01/01/2021 03:00:00,9.941667,-0.000003,9.33333,,4.091667,6.046875,7.375,6.917702,7.908333,7.649635,8.396276,9.049657,9.500874,7.358514,9.829294,5.958333,6.15,7.667525,7.796885,5.754833,7.88919,8.37738,6.432082,3.845845,4.096293,7.800907,6.28996,10.18933,6.308275,9.998298,12.55,8.454777,6.525373,7.99688,5.625,7.358334,10.50036,8.193212,2.398205,10.37185,8.062079,7.686265,11.27372,8.815907,1.191667,4.825526,6.57054,5.567633,5.218244,14.65639,14.47173
