gamma,q_target,objective,total load shedding,total dispatched generation cost,total battery throughput,total curtailed non-dispatched generation,stress objective,stress total load shedding,stress total dispatched generation cost,stress total battery throughput,stress total curtailed non-dispatched generation,normal objective,normal total load shedding,normal total dispatched generation cost,normal total battery throughput,normal total curtailed non-dispatched generation,Q,H
0.1,1.0,1.0889791209341204,284.5929536629193,22930.56733084951,2208.039294320463,6619.397387909208,5.233527077898241,27.164009281539535,210.2457684169491,10.194516960684734,0.132941525997367,1.0661650954829416,257.4289443813797,22720.32156243256,2197.844777359778,6619.264446383211,1,24
0.0001,1.0,1.0889788083643428,284.59295367774433,22930.565434670058,2207.4066990735914,6619.3973771418205,5.225706126488711,27.107670262855578,210.24576819961908,10.250875764371063,0.13294152516657545,1.0662078323012731,257.4852834148887,22720.319666470437,2197.1558233092205,6619.264435616655,1,48
0.0001,0.75,1.0889788083884744,284.5929536768655,22930.56543419506,2207.40681180547,6619.397362937697,5.224986473715486,27.102486172228534,210.24576882997127,10.25599404880116,0.1329415170073606,1.0662117937169495,257.49046750463697,22720.319665365096,2197.1508177566693,6619.264421420689,1,72
0.1,0.75,0.9020684442592098,102.33006829738095,21638.604247023566,4280.274482307069,5840.003819808177,4.637293894127877,22.549066464754553,216.60033075391254,18.866070541072084,1.363668930828889e-08,0.8815075702232354,79.7810018326264,21422.003916269652,4261.408411765997,5840.00381979454,2,24
0.1,0.25,0.9020595196518845,102.3300682837057,21638.422329543915,4274.990970513865,5840.003807017752,4.619482022224302,22.420756830880368,216.60033135995826,18.994322273405565,1.475097954833873e-08,0.8815966434909353,79.90931145282534,21421.82199818396,4255.996648240459,5840.003807003001,2,48
0.01,0.75,0.9020594320368235,102.33006829108523,21638.42167989004,4274.825458486171,5840.003804576774,4.617453418378738,22.406143576060884,216.60033018721327,19.00905381072525,1.6957681561552744e-08,0.8816077220202626,79.92392471502433,21421.82134970283,4255.8164046754455,5840.003804559818,2,72
0.1,0.75,0.7545813888698353,26.095619856408398,19245.711541329416,8088.491437456181,4593.231304793654,4.094468434469209,18.43201251142891,220.6611497928002,30.205454218774108,1.403925400682856e-08,0.7361966895362607,7.663607344979491,19025.050391536617,8058.285983237408,4593.231304779615,4,24
0.01,1.0,0.7544171579798091,26.095619856310616,19241.665127214783,8061.139915990391,4593.231294135866,4.038406379045912,18.029889130981427,220.6275888933363,30.514706964644,1.0968183833643088e-08,0.7363401530932068,8.065730725329193,19021.03753832145,8030.625209025747,4593.231294124897,4,48
0.01,0.75,0.7544112965559745,26.095619857976217,19241.535074600404,8058.727284842613,4593.2312865104805,4.033505148015644,17.99458713181248,220.6273722317032,30.5626446299833,1.3080142177263284e-08,0.7363612386580313,8.101032726163726,19020.907702368702,8028.164640212628,4593.2312864974,4,72
0.01,1.0,0.6432823830951373,16.058366589807683,16470.4587393832,12927.373375513542,2970.991540265096,3.6440980226350095,15.184869835072375,220.66556135458765,38.71572034062624,1.2360223208106808e-08,0.6267641318683124,0.8734967547353153,16249.793178028614,12888.657655172914,2970.991540252735,8,24
0.01,0.5,0.6420437968731654,16.058366599359722,16438.377304235506,12877.539672903924,2970.960131518875,3.5746509955375907,14.704772506303389,220.26117942768974,39.311380365558335,1.4519579472260381e-08,0.6259010049539118,1.353594093056338,16218.116124807819,12838.228292538366,2970.960131504356,8,48
0.01,0.5,0.6418804127350123,16.058366605859362,16434.167579073535,12868.746539104188,2970.96012848479,3.575140958918904,14.708809100763578,220.24645892053158,39.765714851896206,1.1396386519687255e-08,0.6257340244073946,1.3495575050957835,16213.921120153003,12828.980824252292,2970.960128473393,8,72
0.01,0.5,0.584088419405756,10.076091286523026,15014.353717012324,14798.624130622298,1996.9718345333,2.920442776794884,9.971945248304102,220.66556703108367,43.92878612975477,8.770688655406008e-09,0.571227753218293,0.10414603821892433,14793.68814998124,14754.695344492542,1996.971834524529,16,24
0.001,1.0,0.5755767073416316,8.218366615841136,14826.510359167067,14909.20184303884,1909.9368989837863,2.6030451185422825,7.704961683872673,220.2832049809082,45.60584117269556,1.1031185077257545e-08,0.5644163307662152,0.5134049319684639,14606.227154186157,14863.596001866144,1909.9368989727552,16,48
0.001,1.0,0.5740249622400292,8.21836661552368,14785.665622320668,14911.965213058673,1910.6569765531294,2.590665899202508,7.617384022525309,220.24141243463782,46.67966000171749,9.258619925673706e-09,0.5629241864402359,0.6009825929983698,14565.42420988603,14865.285553056956,1910.6569765438708,16,72
0.001,1.0,0.5478638204508477,13.478640899733891,13983.574883503703,15786.22316407175,1290.1916400268306,2.9491285772797404,10.192428652502741,220.40732890037134,41.86131778564582,1.3402808473165549e-08,0.53464584931234,3.286212247231151,13763.16755460333,15744.361846286103,1290.1916400134278,32,24
0.001,0.75,0.5326436954492226,1.8726418067928159e-07,13851.17829848144,15948.146286962952,1309.7623433367846,1.4554632989267438,1.5040308513288817e-09,208.99821593048156,58.84990848889237,1.616241533701893e-08,0.5275639545126491,1.857601498279527e-07,13642.180082550958,15889.296378474059,1309.762343320622,32,48
0.001,0.75,0.5309966904078403,1.729409008291434e-07,13807.34914536364,15998.7795665372,1314.637134761134,1.429518598454474,1.4541977837138096e-09,205.25273136595115,59.79467824091517,1.546445747858096e-08,0.5260506982534551,1.7148670304542957e-07,13602.09641399769,15938.984888296285,1314.6371347456693,32,72
