geohash,   I,ID,      PG,        QG,        QT,        QB,     VS,    IREG,     MBASE,     ZR,         ZX,         RT,         XT,     GTAP,STAT, RMPCT,      PT,        PB,    O1,    F1,  O2,    F2,  O3,    F3,  O4,    F4,WMOD, WPF,NREG,Bus  Number,Bus  Name,Lat,Long
9q9w99,3933,NW,346.372,88.652,200.0,-200,1.02,3933,740.0,0.0,0.2,0.0,0.0,1,1,100,740.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,3933,TESLA,37.71247,-121.565283
9qc26h,3234,NW,1021.0,118.878,150.0,-110,1.01,3204,1740.0,0.0,0.2,0.0,0.0,1,1,100,1740.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,3234,PITSBURG,38.037129,-121.897096
9qh18k,2438,SW,704.0,32.102,561.0,-553,1.009,2408,3210.0,0.0,0.2,0.0,0.0,1,1,100,3210.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2438,MESA CAL,34.037233,-118.11012
9r3wzq,4031,W,208.8,-168.528,240.0,-240,1.08,4001,635.0,0.0,0.2,0.0,0.0,1,1,100,635.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,4031,MALIN,42.004704,-121.318052
9rkf69,6433,W,75.0,50.0,50.0,-50,1.11,6403,152.0,0.0,0.2,0.0,0.0,1,1,100,152.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,6433,VALMY,41.182805,-116.954457
9rwgcr,6132,W,503.1,-210.0,210.0,-210,1.03,6102,973.0,0.0,0.2,0.0,0.0,1,1,100,973.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,6132,MIDPOINT,42.888986,-114.199277
9we1bp,1034,W,1598.0,262.628,800.0,-800,1.03,1004,1682.0,0.0,0.2,0.0,0.0,1,1,100,1682.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,1034,SJUAN G4,36.910483,-108.278462
9wve62,7031,W,1098.0,380.609,1000.0,-1000,1.02,7001,3106.0,0.0,0.2,0.0,0.0,1,1,100,3106.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,7031,COLOEAST,38.542595,-104.660626
9x47er,6533,W,157.5,20.0,20.0,-20,1.065,6503,391.0,0.0,0.2,0.0,0.0,1,1,100,391.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,6533,EMERY,40.030278,-109.188333
9x6z6m,6333,W,919.8,330.576,350.0,-350,1.03,6303,1489.0,0.0,0.2,0.0,0.0,1,1,100,1489.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,6333,BRIDGER,42.083869,-108.529745
c21g7y,4039,W,712.8,380.224,500.0,-500,1.08,4009,1290.0,0.0,0.2,0.0,0.0,1,1,100,1290.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,4039,DALLES21,45.60664,-121.115583
c237sz,4232,W,316.8,-3.607,108.0,-108,1.06,4202,695.0,0.0,0.2,0.0,0.0,1,1,100,695.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,4232,WCASCADE,47.065363,-121.779859
c245ue,4035,W,697.5,-122.614,800.0,-800,1.08,4005,2578.0,0.0,0.2,0.0,0.0,1,1,100,2578.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,4035,JOHN DAY,45.677819,-120.733553
c26crp,4132,W,270.0,52.261,160.0,-160,1.096,4102,400.0,0.0,0.2,0.0,0.0,1,1,100,300.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,4132,HANFORD,46.669392,-119.573343
c2c10y,5032,W,331.2,271.0,271.0,-271,1.055,5002,541.0,0.0,0.2,0.0,0.0,1,1,100,541.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,5032,CMAIN GM,49.429986,-122.303722
c2e2u0,4131,W,555.3,120.0,120.0,-120,1.128,4101,790.0,0.0,0.2,0.0,0.0,1,1,100,790.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,4131,COULEE,47.947893,-118.996055
c82vu4,6235,W,280.8,49.769,195.0,-195,1.05,6205,720.0,0.0,0.2,0.0,0.0,1,1,100,720.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,6235,MONTA G1,47.432975,-111.260716
