,   I,ID,      PG,        QG,        QT,        QB,     VS,    IREG,     MBASE,     ZR,         ZX,         RT,         XT,     GTAP,STAT, RMPCT,      PT,        PB,    O1,    F1,  O2,    F2,  O3,    F3,  O4,    F4,WMOD, WPF,NREG,Bus  Number,Bus  Name,Lat,Long,geohash
14,1333,S,1266.0,217.32,1300.0,-1300,1.005,1303,2423.0,0.0,0.2,0.0,0.0,1,1,100,2423.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,1333,H ALLEN,36.649771,-115.134207,9qw0kp
15,1431,G,5129.0,409.166,3559.0,-3559,1.035,1401,9170.0,0.0,0.2,0.0,0.0,1,1,100,9170.0,0,1,1,,,,,,,,,,1431,PALOVRD2,33.513802,-113.239936,9mzqxj
16,1431,N,2355.0,409.166,2057.0,-2057,1.035,1401,4210.0,0.0,0.2,0.0,0.0,1,1,100,4210.0,0,1,1,,,,,,,,,,1431,PALOVRD2,33.513802,-113.239936,9mzqxj
17,1431,S,1353.0,409.166,1000.0,-1000,1.035,1401,2419.0,0.0,0.2,0.0,0.0,1,1,100,2419.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,1431,PALOVRD2,33.513802,-113.239936,9mzqxj
18,2030,E,605.0,142.477,350.0,-350,1.0,2000,699.0,0.0,0.2,0.0,0.0,1,1,100,699.0,0,1,1,,,,,,,,,,2030,MEXICO,32.227887,-115.436076,9mtzm4
19,2030,G,1853.0,142.477,1070.0,-1070,1.0,2000,2140.0,0.0,0.2,0.0,0.0,1,1,100,2140.0,0,1,1,,,,,,,,,,2030,MEXICO,32.227887,-115.436076,9mtzm4
20,2130,E,573.0,28.722,254.0,-254,1.035,2100,831.0,0.0,0.2,0.0,0.0,1,1,100,831.0,0,1,1,,,,,,,,,,2130,IMPERIAL,32.971469,-115.394435,9mvgw4
21,2130,G,404.0,28.722,200.0,-200,1.035,2100,586.0,0.0,0.2,0.0,0.0,1,1,100,586.0,0,1,1,,,,,,,,,,2130,IMPERIAL,32.971469,-115.394435,9mvgw4
22,2130,H,273.0,28.722,250.0,-250,1.035,2100,396.0,0.0,0.2,0.0,0.0,1,1,100,396.0,0,1,1,,,,,,,,,,2130,IMPERIAL,32.971469,-115.394435,9mvgw4
23,2130,S,79.0,28.722,86.0,-86,1.035,2100,115.0,0.0,0.2,0.0,0.0,1,1,100,115.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2130,IMPERIAL,32.971469,-115.394435,9mvgw4
24,2233,DG,285.0,125.466,304.0,-118,1.005,2203,1035.0,0.0,0.2,0.0,0.0,1,1,100,1035.0,0,1,1,,,,,,,,,,2233,MISSION,32.784153,-117.137829,9mudw2
25,2233,EG,506.0,125.466,611.0,-181,1.005,2203,1837.0,0.0,0.2,0.0,0.0,1,1,100,1837.0,0,1,1,,,,,,,,,,2233,MISSION,32.784153,-117.137829,9mudw2
26,2233,TG,202.0,125.466,206.0,-155,1.005,2203,733.0,0.0,0.2,0.0,0.0,1,1,100,733.0,0,1,1,,,,,,,,,,2233,MISSION,32.784153,-117.137829,9mudw2
27,2332,S,878.0,42.001,590.0,-364,1.035,2302,1333.0,0.0,0.2,0.0,0.0,1,1,100,1333.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2332,IMPRLVLY,32.856407,-115.56459,9mvffm
28,2431,S,500.0,-46.886,800.0,-800,1.05,2431,1666.0,0.0,0.2,0.0,0.0,1,1,100,1666.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2431,LUGO,34.369347,-117.368876,9qhe90
29,2434,S,500.0,-337.252,500.0,-500,1.02,2434,1489.0,0.0,0.2,0.0,0.0,1,1,100,1489.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2434,VINCENT,34.488498,-118.12147,9qhh0n
30,2438,EG,503.0,32.102,728.0,-454,1.009,2408,2292.0,0.0,0.2,0.0,0.0,1,1,100,2292.0,0,1,1,,,,,,,,,,2438,MESA CAL,34.037233,-118.11012,9qh18k
31,2438,ND,0.0,0.0,0.5,0,1.009,2408,100.0,0.0,0.2,0.0,0.0,1,0,100,0.0,-1006,1,1,,,,,,,,,,2438,MESA CAL,34.037233,-118.11012,9qh18k
32,2438,RG,1195.999,32.102,1902.0,-1168,1.009,2408,5451.0,0.0,0.2,0.0,0.0,1,1,100,5451.0,0,1,1,,,,,,,,,,2438,MESA CAL,34.037233,-118.11012,9qh18k
33,2438,S,251.0,32.102,800.0,-800,1.009,2408,1146.0,0.0,0.2,0.0,0.0,1,1,100,1146.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2438,MESA CAL,34.037233,-118.11012,9qh18k
34,2438,SG,901.0,32.102,2301.0,-1053,1.009,2408,4110.0,0.0,0.2,0.0,0.0,1,1,100,4110.0,0,1,1,,,,,,,,,,2438,MESA CAL,34.037233,-118.11012,9qh18k
35,2438,SH,233.0,32.102,659.0,-523,1.009,2408,1460.0,0.0,0.2,0.0,0.0,1,1,100,1460.0,0,1,1,,,,,,,,,,2438,MESA CAL,34.037233,-118.11012,9qh18k
36,2438,SW,704.0,32.102,561.0,-553,1.009,2408,3210.0,0.0,0.2,0.0,0.0,1,1,100,3210.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2438,MESA CAL,34.037233,-118.11012,9qh18k
37,2438,WG,1276.0,32.102,1910.0,-1150,1.009,2408,5817.0,0.0,0.2,0.0,0.0,1,1,100,5817.0,0,1,1,,,,,,,,,,2438,MESA CAL,34.037233,-118.11012,9qh18k
38,2439,S,1000.0,-242.186,800.0,-800,1.02,2409,1666.0,0.0,0.2,0.0,0.0,1,1,100,1666.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2439,MIRALOMA,34.008174,-117.564527,9qh3ky
39,2533,S,1899.0,127.613,1100.0,-820,1.009,2503,1999.0,0.0,0.2,0.0,0.0,1,1,100,1999.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2533,S.ONOFRE,33.370212,-117.557619,9mumuf
40,2630,G,2282.0,184.814,1346.0,-1346,1.004,2610,3947.0,0.0,0.2,0.0,0.0,1,1,100,3947.0,0,1,1,,,,,,,,,,2630,HAYNES3G,33.697565,-117.911364,9mupsy
41,2631,S,232.0,32.063,350.0,-350,1.015,2611,520.0,0.0,0.2,0.0,0.0,1,1,100,520.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,2631,OLIVE,34.31131,-118.455696,9q5g0q
42,2634,C,1537.0,-18.88,950.0,-950,1.03,2604,1900.0,0.0,0.2,0.0,0.0,1,1,100,1618.0,0,1,1,,,,,,,,,,2634,INTERM1G,39.500381,-112.580826,9rpbwn
43,2637,H,83.0,40.647,110.0,-110,1.01357,2612,200.0,0.0,0.2,0.0,0.0,1,1,100,87.0,0,1,1,,,,,,,,,,2637,OWENS G,34.285768,-118.484219,9q5epc
