   I,ID,      PG,        QG,        QT,        QB,     VS,    IREG,     MBASE,     ZR,         ZX,         RT,         XT,     GTAP,STAT, RMPCT,      PT,        PB,    O1,    F1,  O2,    F2,  O3,    F3,  O4,    F4,WMOD, WPF,NREG
3835,NG,229,28.865,662,-479,1.035,3805,2025,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,2025,0,1,1,,,,,,,,,
3835,S,150,28.865,500,-500,1.035,3805,1333,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1333,0,1,1,0,1,0,1,0,1,1,1,
3836,DG,679,-6.822,476,-352,1.019,3806,1497,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1497,0,1,1,,,,,,,,,
3931,NB,235,72.471,151,-115,1.07,3921,567,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,567,0,1,1,,,,,,,,,
3931,NH,1212,72.471,1284,-946,1.07,3921,2875,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,2875,0,1,1,,,,,,,,,
3932,S,1355,-242.757,1150,-500,1,3902,1426,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1426,0,1,1,0,1,0,1,0,1,1,1,
3933,CG,404.88,88.652,363,-82,1.02,3933,865,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,865,0,1,1,,,,,,,,,
3933,NB,161.484,77,77,-55,1.02,3933,345,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,345,0,1,1,,,,,,,,,
3933,ND,0,0,0.5,0,1.02,3933,100,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,0,100,0,-449,1,1,,,,,,,,,
3933,NG,901.97,88.652,500,-307,1.02,3933,1927,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1927,0,1,1,,,,,,,,,
3933,NH,1275.022,88.652,1256,-1041,1.02,3933,2774,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,2724,0,1,1,,,,,,,,,
