,9wdb95,9we1bp
2018-01-01 00:30:00-07:00,0.0,0.0
2018-01-01 00:30:00-07:00,0.0,0.0
2018-01-01 01:30:00-07:00,0.0,0.0
2018-01-01 01:30:00-07:00,0.0,0.0
2018-01-01 02:30:00-07:00,0.0,0.0
2018-01-01 02:30:00-07:00,0.0,0.0
2018-01-01 03:30:00-07:00,0.0,0.0
2018-01-01 03:30:00-07:00,0.0,0.0
2018-01-01 04:30:00-07:00,0.0,0.0
2018-01-01 04:30:00-07:00,0.0,0.0
2018-01-01 05:30:00-07:00,0.0,0.0
2018-01-01 05:30:00-07:00,0.0,0.0
2018-01-01 06:30:00-07:00,0.0,0.0
2018-01-01 06:30:00-07:00,0.0,0.0
2018-01-01 07:30:00-07:00,0.0,0.0
2018-01-01 07:30:00-07:00,0.0,0.0
2018-01-01 08:30:00-07:00,21772.506430210284,10187.494136748941
2018-01-01 08:30:00-07:00,2201.2995279448005,10187.494136748941
2018-01-01 09:30:00-07:00,39086.33712613028,18061.649110629118
2018-01-01 09:30:00-07:00,3951.8066392878277,18061.649110629118
2018-01-01 10:30:00-07:00,51121.00347525944,23524.783179327518
2018-01-01 10:30:00-07:00,5168.566199709982,23524.783179327518
2018-01-01 11:30:00-07:00,57913.69119537643,17871.303768740512
2018-01-01 11:30:00-07:00,5855.33785458121,17871.303768740512
2018-01-01 12:30:00-07:00,6023.2961905863385,15053.00795219955
2018-01-01 12:30:00-07:00,59574.92534559371,15053.00795219955
2018-01-01 13:30:00-07:00,5667.171938120596,25718.902310944268
2018-01-01 13:30:00-07:00,56052.58889008948,25718.902310944268
2018-01-01 14:30:00-07:00,4759.487480614137,21553.73156072038
2018-01-01 14:30:00-07:00,47074.907553778,21553.73156072038
2018-01-01 15:30:00-07:00,28405.43433892783,9720.595418946094
2018-01-01 15:30:00-07:00,2871.9187385145233,9720.595418946094
2018-01-01 16:30:00-07:00,667.1328461662855,6278.96463288889
2018-01-01 16:30:00-07:00,6598.445145046236,6278.96463288889
2018-01-01 17:30:00-07:00,0.0,0.0
2018-01-01 17:30:00-07:00,0.0,0.0
2018-01-01 18:30:00-07:00,0.0,0.0
2018-01-01 18:30:00-07:00,0.0,0.0
2018-01-01 19:30:00-07:00,0.0,0.0
