Q,objective,total load shedding,total dispatched generation cost,total battery throughput,total curtailed non-dispatched generation,stress objective,stress total load shedding,stress total dispatched generation cost,stress total battery throughput,stress total curtailed non-dispatched generation,normal objective,normal total load shedding,normal total dispatched generation cost,normal total battery throughput,normal total curtailed non-dispatched generation
1,1.0889788081332044,284.5929535973674,22930.565474628223,2207.4022560237136,6619.397293282998,5.225259452292851,27.10445260258684,210.24576905432738,10.254002410648308,0.13294151480520158,1.0662102908259037,257.48850099478057,22720.319705573896,2197.148253613065,6619.264351768193
2,0.9020594209834895,102.33006819912306,21638.42207124496,4274.757432228322,5840.003822911418,4.616864348610852,22.4019001580694,216.60033128956516,19.01317490095319,7.420836380364752e-09,0.8816109534919625,79.92816804105367,21421.821739955398,4255.744257327368,5840.0038229039965
4,0.7544106470006517,26.09561978070494,19241.523482273144,8058.17808179018,4593.231171886704,4.031957554437694,17.983438894250003,220.6273740299991,30.573592402882486,2.6105449216027973e-08,0.7363691043909065,8.112180886454935,19020.896108243145,8027.604489387297,4593.231171860598
8,0.6418373545477816,16.058366452987528,16433.10870020772,12861.374475738046,2971.365706350969,3.574271177657639,14.702987742702557,220.24057594018456,39.471878846442536,2.614688609216227e-09,0.6256955169893788,1.3553787102849755,16212.868124267534,12821.902596891605,2971.3657063483543
16,0.5734072079782747,8.218366689551111,14769.482209427655,14905.365544186074,1913.1854686447896,2.584936240208763,7.576212801547491,220.2405760098396,46.59865492723941,1.975340561987108e-08,0.5623345711036115,0.6421538880036206,14549.241633417816,14858.766889258834,1913.185468625036
32,0.5274083109961802,2.0455847941497085e-07,13713.122486307457,15982.572204489967,1293.670378073576,1.431347745660124,1.1737711190599032e-09,205.51432695884498,59.97483927374847,1.6675356052299083e-08,0.5224324975943603,2.0338470829591095e-07,13507.60815934861,15922.597365216214,1293.6703780569007
